,_step,_runtime,_timestamp,global_step,eval/mean_reward,eval/mean_ep_length,rollout/exploration_rate,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/loss,train/clip_loss,train/learning_rate,train/bound_violations,rollout/tot_ep_rew_mean,clip_method
0,0,3.764458656311035,1676684449.2072566,500,0.0,200.0,0.977951169013977,,,,,,,,,soft
1,1,4.643510818481445,1676684450.0863087,900,,,0.9602325558662416,917.0,225.0,6.75,,,,,,soft
2,4,4.88344669342041,1676684450.3262446,1900,,,0.9160465002059937,1555.0,237.5,11.8125,,,,,,soft
3,6,5.053682088851929,1676684450.49648,2500,0.0,200.0,0.8895790576934814,,,,,,,,,soft
4,7,5.085533142089844,1676684450.528331,2900,,,0.8718604445457458,2036.0,241.6666717529297,15.791666984558104,,,,,,soft
5,8,5.158557415008545,1676684450.6013553,3000,0.0,200.0,0.8674860596656799,,,,,,,,,soft
6,9,5.260411739349365,1676684450.7032096,3500,0.0,200.0,0.8453930020332336,,,,,,,,,soft
7,10,5.292263507843018,1676684450.7350614,3900,,,0.827674388885498,2392.0,243.75,13.8125,,,,,,soft
8,11,5.3631792068481445,1676684450.805977,4000,0.0,200.0,0.8233000040054321,,,,,,,,,soft
9,13,5.49449610710144,1676684450.937294,4900,,,0.783488392829895,2673.0,245.0,13.25,,,,,,soft
10,15,6.188005208969116,1676684451.630803,5500,0.0,200.0,0.7570209503173828,,,,1.3872599601745603,0.037987593561410904,0.0037320000119507313,-62.316165924072266,1676.3062744140625,soft
11,16,6.647486209869385,1676684452.090284,5900,,,0.7393023371696472,1976.0,245.8333282470703,12.666666984558104,1.8974632024765017,0.041390106081962585,0.0037320000119507313,-63.47797393798828,3000.812255859375,soft
12,17,6.835952520370483,1676684452.2787504,6000,0.0,200.0,0.7349278926849365,,,,1.445517659187317,0.04920051246881485,0.0037320000119507313,-73.75799560546875,3317.478759765625,soft
13,18,7.458401918411255,1676684452.9011998,6500,0.0,200.0,0.712834894657135,,,,1.9425523281097412,0.041661884635686874,0.0037320000119507313,-65.22125244140625,4851.1201171875,soft
14,19,7.953760862350464,1676684453.3965588,6900,,,0.6951162815093994,1608.0,246.42857360839844,12.517857551574709,2.0908379554748535,0.035565733909606934,0.0037320000119507313,-62.58409881591797,6084.8095703125,soft
