,_step,_runtime,_timestamp,global_step,eval/mean_reward,eval/mean_ep_length,rollout/exploration_rate,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/loss,train/clip_loss,train/learning_rate,train/bound_violations,rollout/tot_ep_rew_mean,clip_method
0,0,3.9732725620269775,1676684136.3954155,500,0.0,200.0,0.977951169013977,,,,,,,,,soft
1,1,4.865488529205322,1676684137.2876315,900,,,0.9602325558662416,899.0,225.0,5.125,,,,,,soft
2,2,4.9446775913238525,1676684137.3668206,1000,0.0,200.0,0.9558581113815308,,,,,,,,,soft
3,3,5.04920506477356,1676684137.471348,1500,0.0,200.0,0.9337651133537292,,,,,,,,,soft
4,4,5.081698894500732,1676684137.503842,1900,,,0.9160465002059937,1561.0,237.5,11.5,,,,,,soft
5,5,5.157411813735962,1676684137.5795548,2000,0.0,200.0,0.9116721153259276,,,,,,,,,soft
6,7,5.293327569961548,1676684137.7154706,2900,,,0.8718604445457458,2030.0,241.6666717529297,14.708333015441896,,,,,,soft
7,8,5.375297546386719,1676684137.7974403,3000,0.0,200.0,0.8674860596656799,,,,,,,,,soft
8,9,5.479815244674683,1676684137.9019582,3500,0.0,200.0,0.8453930020332336,,,,,,,,,soft
9,10,5.512184143066406,1676684137.9343271,3900,,,0.827674388885498,2367.0,243.75,16.125,,,,,,soft
10,11,5.586584568023682,1676684138.0087276,4000,0.0,200.0,0.8233000040054321,,,,,,,,,soft
11,12,5.690590143203735,1676684138.1127331,4500,0.0,200.0,0.8012070059776306,,,,,,,,,soft
12,13,5.723280191421509,1676684138.1454232,4900,,,0.783488392829895,2636.0,245.0,16.725000381469727,,,,,,soft
13,14,5.8009984493255615,1676684138.2231414,5000,0.0,200.0,0.7791139483451843,,,,,,,,,soft
14,15,6.472108364105225,1676684138.894251,5500,0.0,200.0,0.7570209503173828,,,,1.8117512464523315,0.05533585324883461,0.0037320000119507313,-75.5595703125,2274.96337890625,soft
15,16,6.923887014389038,1676684139.34603,5900,,,0.7393023371696472,1929.0,245.8333282470703,24.6875,2.0770628452301025,0.04892763867974281,0.0037320000119507313,-69.93768310546875,4422.64111328125,soft
16,18,7.783416032791138,1676684140.205559,6500,0.0,200.0,0.712834894657135,,,,2.21064829826355,0.0682307556271553,0.0037320000119507313,-85.76283264160156,8258.4345703125,soft
17,19,8.248107671737671,1676684140.670251,6900,,,0.6951162815093994,1574.0,246.42857360839844,27.23214340209961,1.839434504508972,0.0740935355424881,0.0037320000119507313,-89.99129486083984,10870.0439453125,soft
18,20,8.433900833129883,1676684140.8560438,7000,0.0,200.0,0.6907418370246887,,,,2.2406744956970215,0.0834193229675293,0.0037320000119507313,-93.26541900634766,11550.84765625,soft
19,21,9.083737850189207,1676684141.5058808,7500,0.0,200.0,0.6686488389968872,,,,2.037930488586426,0.06763822585344315,0.0037320000119507313,-82.8989486694336,15156.376953125,soft
20,22,9.544732809066772,1676684141.9668758,7900,,,0.6509302258491516,1391.0,246.875,32.3125,1.7750511169433594,0.06149576976895332,0.0037320000119507313,-79.77411651611328,18328.232421875,soft
21,23,9.734744548797607,1676684142.1568875,8000,0.0,200.0,0.6465558409690857,,,,2.6190967559814453,0.04626646265387535,0.0037320000119507313,-57.81623458862305,19136.044921875,soft
22,24,10.397060871124268,1676684142.819204,8500,0.0,200.0,0.6244627833366394,,,,2.536675930023194,0.05944192409515381,0.0037320000119507313,-76.83657836914062,23340.1953125,soft
23,26,11.068309307098389,1676684143.4904523,9000,0.0,200.0,0.6023697853088379,,,,2.0462646484375,0.04637118801474571,0.0037320000119507313,-65.14567565917969,27885.9296875,soft
24,28,12.239938735961914,1676684144.6620817,9900,,,0.562558114528656,1182.0,247.5,38.837501525878906,2.8436174392700195,0.09536387771368028,0.0037320000119507313,-98.26988220214844,36413.91796875,soft
