,_step,_runtime,_timestamp,global_step,eval/mean_reward,eval/mean_ep_length,rollout/exploration_rate,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/loss,train/clip_loss,train/learning_rate,train/bound_violations,rollout/tot_ep_rew_mean,clip_method
0,0,4.340406179428101,1676682046.7982645,500,0.0,200.0,0.977951169013977,,,,,,,,,soft
1,1,5.211050033569336,1676682047.668908,900,,,0.9602325558662416,917.0,225.0,4.125,,,,,,soft
2,2,5.288994073867798,1676682047.7468522,1000,0.0,200.0,0.9558581113815308,,,,,,,,,soft
3,3,5.394561767578125,1676682047.85242,1500,0.0,200.0,0.9337651133537292,,,,,,,,,soft
4,4,5.427535057067871,1676682047.8853931,1900,,,0.9160465002059937,1586.0,237.5,9.5625,,,,,,soft
5,5,5.501609802246094,1676682047.959468,2000,0.0,200.0,0.9116721153259276,,,,,,,,,soft
6,6,5.607128620147705,1676682048.0649867,2500,0.0,200.0,0.8895790576934814,,,,,,,,,soft
7,8,5.7148401737213135,1676682048.1726985,3000,0.0,200.0,0.8674860596656799,,,,,,,,,soft
8,9,5.82262659072876,1676682048.280485,3500,0.0,200.0,0.8453930020332336,,,,,,,,,soft
9,10,5.8610663414001465,1676682048.3189244,3900,,,0.827674388885498,2390.0,243.75,15.625,,,,,,soft
10,12,6.041928768157959,1676682048.4997869,4500,0.0,200.0,0.8012070059776306,,,,,,,,,soft
11,13,6.074897766113281,1676682048.532756,4900,,,0.783488392829895,2655.0,245.0,15.449999809265137,,,,,,soft
12,14,6.1489503383636475,1676682048.6068084,5000,0.0,200.0,0.7791139483451843,,,,,,,,,soft
13,15,6.800865173339844,1676682049.2587233,5500,0.0,200.0,0.7570209503173828,,,,1.793367624282837,0.052414149045944214,0.0037320000119507313,-73.79557037353516,1863.245849609375,soft
14,16,7.27386474609375,1676682049.7317228,5900,,,0.7393023371696472,1938.0,245.8333282470703,13.25,1.7108988761901855,0.038352303206920624,0.0037320000119507313,-63.211727142333984,3269.322998046875,soft
15,17,7.473093748092651,1676682049.9309518,6000,0.0,200.0,0.7349278926849365,,,,2.097855806350708,0.04550756886601448,0.0037320000119507313,-70.78367614746094,3600.572998046875,soft
16,18,8.14972734451294,1676682050.6075854,6500,0.0,200.0,0.712834894657135,,,,1.8402332067489624,0.05117745324969292,0.0037320000119507313,-74.35194396972656,5207.24609375,soft
17,19,8.702208757400513,1676682051.1600668,6900,,,0.6951162815093994,1543.0,246.42857360839844,12.232142448425291,1.9017701148986816,0.03136805072426796,0.0037320000119507313,-55.92570114135742,6457.8515625,soft
18,20,8.894315481185913,1676682051.3521736,7000,0.0,200.0,0.6907418370246887,,,,1.8427554368972776,0.046774450689554214,0.0037320000119507313,-69.08561706542969,6763.65478515625,soft
19,21,9.570477485656738,1676682052.0283356,7500,0.0,200.0,0.6686488389968872,,,,2.098295211791992,0.03700911998748779,0.0037320000119507313,-63.1048469543457,8251.1962890625,soft
20,23,10.256349563598633,1676682052.7142076,8000,0.0,200.0,0.6465558409690857,,,,2.071943998336792,0.07342430204153061,0.0037320000119507313,-90.51676940917967,9642.02734375,soft
21,25,11.459299087524414,1676682053.9171572,8900,,,0.6067441701889038,1231.0,247.22222900390625,10.208333015441896,2.0542919635772705,0.09467560052871704,0.0037320000119507313,-103.07845306396484,12025.0107421875,soft
22,26,11.656114101409912,1676682054.1139722,9000,0.0,200.0,0.6023697853088379,,,,2.190380334854126,0.0992600992321968,0.0037320000119507313,-106.67827606201172,12280.21875,soft
23,28,12.861215353012083,1676682055.3190734,9900,,,0.562558114528656,1147.0,247.5,9.1875,2.1917741298675537,0.05118589475750923,0.0037320000119507313,-70.91043090820312,14483.740234375,soft
24,29,13.061230182647703,1676682055.5190885,10000,0.0,200.0,0.5581837296485901,,,,2.246699333190918,0.08046925067901611,0.0037320000119507313,-93.83440399169922,14713.427734375,soft
25,30,13.767002582550049,1676682056.224861,10500,0.0,200.0,0.5360906720161438,,,,0.05903444439172745,0.006112950388342142,0.0037320000119507313,-20.29483985900879,16001.388671875,soft
26,33,16.142615795135498,1676682058.600474,11500,96.5,200.0,0.4919046461582184,,,,0.005537758581340313,0.0013493120204657316,0.0037320000119507313,-6.559650897979736,19819.49609375,soft
27,34,16.655279636383057,1676682059.1131375,11900,,,0.4741860330104828,957.0,247.9166717529297,22.46875,0.003609666833654046,0.0006842853617854416,0.0037320000119507313,-5.328910827636719,21814.5,soft
28,35,16.853769779205322,1676682059.311628,12000,96.5,200.0,0.4698116183280945,,,,0.006950977724045515,0.0006828239420428872,0.0037320000119507313,-4.32976770401001,22376.21875,soft
29,36,17.564894199371338,1676682060.0227523,12500,96.5,200.0,0.4477185904979706,,,,0.005877162329852581,0.0021992698311805725,0.0037320000119507313,-7.5480732917785645,25355.2734375,soft
30,37,18.083482265472412,1676682060.5413404,12900,,,0.4300000071525574,931.0,248.0769195556641,28.31730842590332,0.003836754709482193,0.001017592498101294,0.0037320000119507313,-4.952132225036621,28001.833984375,soft
31,38,18.28457546234131,1676682060.7424335,13000,96.5,200.0,0.42562559247016907,,,,0.003703640541061759,0.0013796426355838776,0.0037320000119507313,-5.135388374328613,28709.765625,soft
32,39,19.02074646949768,1676682061.4786046,13500,96.5,200.0,0.4035325646400452,,,,0.003923783544450998,0.0018582777120172975,0.0037320000119507313,-6.877476692199707,32394.98828125,soft
33,41,19.76419448852539,1676682062.2220526,14000,96.5,200.0,0.38143953680992126,,,,0.0027913921512663364,0.001006379839964211,0.0037320000119507313,-5.110706329345703,36410.65234375,soft
34,42,20.489906549453735,1676682062.9477646,14500,96.5,200.0,0.35934650897979736,,,,0.0031950182747095823,0.0018149784300476313,0.0037320000119507313,-7.54115629196167,40735.66796875,soft
35,43,21.016892671585083,1676682063.4747508,14900,,,0.34162789583206177,887.0,248.3333282470703,38.14166641235352,0.003497451078146696,0.0012251522857695818,0.0037320000119507313,-4.606528282165527,44396.171875,soft
36,44,21.23382544517517,1676682063.6916835,15000,96.5,200.0,0.33725348114967346,,,,0.004328212235122919,0.001965325092896819,0.0037320000119507313,-6.220047950744629,45349.71484375,soft
37,45,21.964771509170532,1676682064.4226296,15500,96.5,200.0,0.31516045331954956,,,,0.0022663539275527,0.0012642632937058806,0.0037320000119507313,-5.305257797241211,50248.01171875,soft
38,46,22.49807333946228,1676682064.9559314,15900,,,0.29744186997413635,870.0,248.4375,42.3046875,0.0033587238285690546,0.001124431611970067,0.0037320000119507313,-4.982109546661377,54351.13671875,soft
39,47,22.71416664123535,1676682065.1720247,16000,96.5,200.0,0.29306745529174805,,,,0.0032536215148866177,0.001049517304636538,0.0037320000119507313,-4.475180625915527,55408.75390625,soft
40,48,23.446911811828613,1676682065.90477,16500,96.5,200.0,0.27097442746162415,,,,0.00346079608425498,0.0012468750355765224,0.0037320000119507313,-4.872556209564209,60816.546875,soft
41,49,23.981507778167725,1676682066.439366,16900,,,0.25325581431388855,855.0,248.5294189453125,46.25,0.003499953541904688,0.0011098382528871298,0.0037320000119507313,-5.065569877624512,65314.94140625,soft
42,51,24.95490860939026,1676682067.4127667,17500,96.5,200.0,0.22678837180137632,,,,0.008661552332341671,0.001596910529769957,0.0037320000119507313,-6.03308629989624,72360.8203125,soft
43,52,25.50185537338257,1676682067.9597137,17900,,,0.2090697735548019,841.0,248.61111450195312,49.88888931274414,0.004023609217256308,0.0021214033477008343,0.0037320000119507313,-7.820908069610596,77232.3828125,soft
44,53,25.711682558059692,1676682068.1695406,18000,96.5,200.0,0.20469534397125244,,,,0.0027120744343847036,0.0005842018872499466,0.0037320000119507313,-3.209369659423828,78479.6015625,soft
45,54,26.45674777030945,1676682068.914606,18500,96.5,200.0,0.1826023310422897,,,,0.008266909047961235,0.0016881354385986924,0.0037320000119507313,-5.796835422515869,84811.890625,soft
46,55,27.002375841140747,1676682069.460234,18900,,,0.16488371789455414,829.0,248.6842041015625,53.144737243652344,0.0029738955199718475,0.001316743204370141,0.0037320000119507313,-5.737705707550049,90017.2265625,soft
