,_step,_runtime,_timestamp,global_step,eval/mean_reward,eval/mean_ep_length,rollout/exploration_rate,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/loss,train/clip_loss,train/learning_rate,train/bound_violations,rollout/tot_ep_rew_mean,clip_method
0,0,2.096390724182129,1676681430.6233597,500,0.0,200.0,0.977951169013977,,,,,,,,,soft
1,1,2.565985918045044,1676681431.0929549,900,,,0.9602325558662416,851.0,225.0,15.875,,,,,,soft
2,2,2.6399614810943604,1676681431.1669304,1000,0.0,200.0,0.9558581113815308,,,,,,,,,soft
3,3,3.1247382164001465,1676681431.6517072,1500,0.0,200.0,0.9337651133537292,,,,,,,,,soft
4,4,3.1437666416168213,1676681431.6707356,1900,,,0.9160465002059937,1161.0,237.5,19.0625,,,,,,soft
5,5,3.2197535037994385,1676681431.7467225,2000,0.0,200.0,0.9116721153259276,,,,,,,,,soft
6,6,3.315804243087769,1676681431.8427732,2500,0.0,200.0,0.8895790576934814,,,,,,,,,soft
7,7,3.334706544876098,1676681431.8616755,2900,,,0.8718604445457458,1588.0,241.6666717529297,20.5,,,,,,soft
8,8,3.409870147705078,1676681431.936839,3000,0.0,200.0,0.8674860596656799,,,,,,,,,soft
9,9,3.5350494384765625,1676681432.0620184,3500,0.0,200.0,0.8453930020332336,,,,,,,,,soft
10,11,3.627093315124512,1676681432.1540625,4000,0.0,200.0,0.8233000040054321,,,,,,,,,soft
11,12,3.717982769012451,1676681432.2449515,4500,0.0,200.0,0.8012070059776306,,,,,,,,,soft
12,13,3.736026525497437,1676681432.2629955,4900,,,0.783488392829895,2199.0,245.0,18.325000762939453,,,,,,soft
13,14,3.816428184509278,1676681432.3433971,5000,0.0,200.0,0.7791139483451843,,,,,,,,,soft
14,15,4.627526760101318,1676681433.1544957,5500,0.0,200.0,0.7570209503173828,,,,4.3905029296875,0.03344760462641716,0.0037320000119507313,-53.798095703125,2188.780029296875,soft
15,16,5.201050281524658,1676681433.7280192,5900,,,0.7393023371696472,1597.0,245.8333282470703,15.75,4.094766616821289,0.05984623730182648,0.0037320000119507313,-77.10137176513672,3820.697021484375,soft
16,17,5.377596855163574,1676681433.9045658,6000,0.0,200.0,0.7349278926849365,,,,5.2143120765686035,0.047407809644937515,0.0037320000119507313,-65.89037322998047,4214.44677734375,soft
17,18,6.164826393127441,1676681434.691795,6500,0.0,200.0,0.712834894657135,,,,5.097053050994873,0.07350962609052658,0.0037320000119507313,-87.41986083984375,6121.40869140625,soft
18,19,6.754492998123169,1676681435.281462,6900,,,0.6951162815093994,1315.0,246.42857360839844,13.571428298950195,5.871277809143066,0.059067122638225555,0.0037320000119507313,-78.53115844726562,7552.03515625,soft
19,20,6.927104473114014,1676681435.4540734,7000,0.0,200.0,0.6907418370246887,,,,5.603023529052734,0.05901460349559784,0.0037320000119507313,-79.60427856445312,7891.32080078125,soft
20,21,7.69647479057312,1676681436.2234435,7500,0.0,200.0,0.6686488389968872,,,,5.085948944091797,0.09165605902671814,0.0037320000119507313,-99.66793823242188,9541.7314453125,soft
21,23,8.444337844848633,1676681436.9713068,8000,0.0,200.0,0.6465558409690857,,,,5.27444314956665,0.06061448901891709,0.0037320000119507313,-76.49058532714844,11094.9990234375,soft
22,24,9.22200894355774,1676681437.748978,8500,0.0,200.0,0.6244627833366394,,,,5.121005058288574,0.11109189689159392,0.0037320000119507313,-109.88361358642578,12593.4873046875,soft
23,25,9.825531721115112,1676681438.352501,8900,,,0.6067441701889038,1070.0,247.22222900390625,10.916666984558104,5.562154769897461,0.1266985535621643,0.0037320000119507313,-116.8036117553711,13732.8564453125,soft
24,27,10.7954421043396,1676681439.322411,9500,0.0,200.0,0.5802767276763916,,,,6.418440818786621,0.09087591618299484,0.0037320000119507313,-99.0831527709961,15341.240234375,soft
25,28,11.42710542678833,1676681439.9540744,9900,,,0.562558114528656,998.0,247.5,9.824999809265137,5.702261924743652,0.12609721720218658,0.0037320000119507313,-117.3967514038086,16362.19140625,soft
26,29,11.68028450012207,1676681440.2072537,10000,0.0,200.0,0.5581837296485901,,,,6.141416549682617,0.10378020256757736,0.0037320000119507313,-107.64769744873048,16607.81640625,soft
27,30,12.652438879013062,1676681441.1794078,10500,0.0,200.0,0.5360906720161438,,,,0.2407042384147644,0.0853511318564415,0.0037320000119507313,-96.8383560180664,17848.85546875,soft
28,31,13.410434246063232,1676681441.9374032,10900,,,0.518372118473053,915.0,247.7272796630859,9.636363983154297,0.13179704546928406,0.02836577594280243,0.0037320000119507313,-44.2896842956543,18821.931640625,soft
29,32,13.717548131942747,1676681442.244517,11000,97.0,200.0,0.5139976739883423,,,,0.0778394490480423,0.01234834548085928,0.0037320000119507313,-25.642253875732425,19062.841796875,soft
30,33,15.867763757705688,1676681444.3947327,11500,97.0,200.0,0.4919046461582184,,,,0.04098795726895332,0.006743572652339935,0.0037320000119507313,-18.945213317871097,20492.546875,soft
31,35,17.277884244918823,1676681445.8048532,12000,97.0,200.0,0.4698116183280945,,,,0.05242415517568588,0.008316883817315102,0.0037320000119507313,-22.35201072692871,22436.775390625,soft
32,37,19.72192406654358,1676681448.248893,12900,,,0.4300000071525574,708.0,248.0769195556641,23.471153259277344,0.0502903051674366,0.012390057556331158,0.0037320000119507313,-30.106395721435547,27016.19921875,soft
33,38,19.90968155860901,1676681448.4366505,13000,97.0,200.0,0.42562559247016907,,,,0.041311781853437424,0.0068069626577198505,0.0037320000119507313,-17.955060958862305,27602.978515625,soft
34,40,22.959165334701535,1676681451.4861343,13900,,,0.3858139514923096,648.0,248.2142791748047,28.95535659790039,0.03559195250272751,0.010292518883943558,0.0037320000119507313,-25.970455169677734,33375.83203125,soft
35,42,25.034998416900635,1676681453.5619674,14500,97.0,200.0,0.35934650897979736,,,,0.05407718941569328,0.01761174201965332,0.0037320000119507313,-36.705589294433594,37873.75,soft
36,43,25.8503155708313,1676681454.3772843,14900,,,0.34162789583206177,612.0,248.3333282470703,34.13333511352539,0.0333290733397007,0.010340201668441296,0.0037320000119507313,-23.248313903808594,41116.21875,soft
37,46,29.189625024795532,1676681457.716594,15900,,,0.29744186997413635,574.0,248.4375,38.6953125,0.028375711292028427,0.009811528958380222,0.0037320000119507313,-24.08363914489746,50096.4140625,soft
38,47,29.548972606658936,1676681458.0759416,16000,97.0,200.0,0.29306745529174805,,,,0.03472447395324707,0.010077868588268757,0.0037320000119507313,-27.98427391052246,51063.796875,soft
39,48,31.21933960914612,1676681459.7463086,16500,97.0,200.0,0.27097442746162415,,,,0.030365942046046257,0.010599417611956596,0.0037320000119507313,-22.941293716430664,56024.78125,soft
40,50,32.90585279464722,1676681461.4328218,17000,97.0,200.0,0.24888139963150024,,,,0.027836645022034645,0.0074853976257145405,0.0037320000119507313,-15.69733428955078,61249.14453125,soft
41,52,35.907458782196045,1676681464.4344275,17900,,,0.2090697735548019,520.0,248.61111450195312,46.56944274902344,0.029615897685289383,0.01135216187685728,0.0037320000119507313,-24.019210815429688,71264.8125,soft
42,53,36.27288579940796,1676681464.7998548,18000,97.0,200.0,0.20469534397125244,,,,0.033718615770339966,0.011360087431967258,0.0037320000119507313,-25.148683547973633,72429.046875,soft
43,54,37.94902157783508,1676681466.4759903,18500,97.0,200.0,0.1826023310422897,,,,0.04585859924554825,0.015685858204960823,0.0037320000119507313,-31.333683013916016,78353.625,soft
44,55,39.229002475738525,1676681467.7559714,18900,,,0.16488371789455414,501.0,248.6842041015625,50.08552551269531,0.02747900597751141,0.005723806098103523,0.0037320000119507313,-13.48198699951172,83247.53125,soft
45,56,39.58822250366211,1676681468.1151917,19000,97.0,200.0,0.16050930321216583,,,,0.03921857848763466,0.0050108241848647594,0.0037320000119507313,-10.136320114135742,84499.671875,soft
