,_step,_runtime,_timestamp,global_step,eval/mean_reward,eval/mean_ep_length,rollout/exploration_rate,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/loss,train/clip_loss,train/learning_rate,train/bound_violations,rollout/tot_ep_rew_mean,clip_method
0,0,6.029998064041138,1676683335.352175,500,0.0,200.0,0.977951169013977,,,,,,,,,soft
1,1,7.777253150939941,1676683337.09943,900,,,0.9602325558662416,444.0,225.0,18.0,,,,,,soft
2,2,7.947675943374634,1676683337.2698529,1000,0.0,200.0,0.9558581113815308,,,,,,,,,soft
3,3,8.212292671203613,1676683337.5344696,1500,0.0,200.0,0.9337651133537292,,,,,,,,,soft
4,4,8.313081502914429,1676683337.6352584,1900,,,0.9160465002059937,742.0,237.5,13.25,,,,,,soft
5,5,8.490677833557129,1676683337.8128548,2000,0.0,200.0,0.9116721153259276,,,,,,,,,soft
6,6,8.760050296783447,1676683338.0822272,2500,0.0,200.0,0.8895790576934814,,,,,,,,,soft
7,7,8.862396240234375,1676683338.1845732,2900,,,0.8718604445457458,932.0,241.6666717529297,19.375,,,,,,soft
8,8,9.036773920059204,1676683338.3589509,3000,0.0,200.0,0.8674860596656799,,,,,,,,,soft
9,9,9.309706687927246,1676683338.6318836,3500,0.0,200.0,0.8453930020332336,,,,,,,,,soft
10,10,9.412279844284058,1676683338.7344568,3900,,,0.827674388885498,1065.0,243.75,19.625,,,,,,soft
11,11,9.58485198020935,1676683338.907029,4000,0.0,200.0,0.8233000040054321,,,,,,,,,soft
12,12,9.859081745147703,1676683339.181259,4500,0.0,200.0,0.8012070059776306,,,,,,,,,soft
13,16,14.079425573349,1676683343.4016025,5900,,,0.7393023371696472,708.0,245.8333282470703,15.729166984558104,1.964818835258484,0.04017309099435806,0.0037320000119507313,-65.42674255371094,3854.093505859375,soft
14,17,14.676224708557127,1676683343.9984016,6000,0.0,200.0,0.7349278926849365,,,,1.8656108379364016,0.031785860657691956,0.0037320000119507313,-58.29917526245117,4247.32275390625,soft
15,18,16.872524738311768,1676683346.1947017,6500,0.0,200.0,0.712834894657135,,,,1.8722058534622192,0.05094730481505394,0.0037320000119507313,-74.63815307617188,6157.68505859375,soft
