,_step,_runtime,_timestamp,global_step,eval/mean_reward,eval/mean_ep_length,rollout/exploration_rate,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/loss,train/clip_loss,train/learning_rate,train/bound_violations,rollout/tot_ep_rew_mean,clip_method
0,0,6.055261611938477,1676684366.3399236,500,0.0,200.0,0.977951169013977,,,,,,,,,soft
1,1,7.859400510787964,1676684368.1440625,900,,,0.9602325558662416,431.0,225.0,10.375,,,,,,soft
2,2,8.044882774353027,1676684368.3295448,1000,0.0,200.0,0.9558581113815308,,,,,,,,,soft
3,3,8.321607112884521,1676684368.6062691,1500,0.0,200.0,0.9337651133537292,,,,,,,,,soft
4,4,8.425914525985718,1676684368.7105763,1900,,,0.9160465002059937,716.0,237.5,15.3125,,,,,,soft
5,6,8.88999605178833,1676684369.174658,2500,0.0,200.0,0.8895790576934814,,,,,,,,,soft
6,7,8.994283199310303,1676684369.2789452,2900,,,0.8718604445457458,900.0,241.6666717529297,16.70833396911621,,,,,,soft
7,8,9.172239780426024,1676684369.4569018,3000,0.0,200.0,0.8674860596656799,,,,,,,,,soft
8,9,9.450681447982788,1676684369.7353437,3500,0.0,200.0,0.8453930020332336,,,,,,,,,soft
9,10,9.555102586746216,1676684369.8397646,3900,,,0.827674388885498,1031.0,243.75,15.90625,,,,,,soft
10,11,9.744340419769289,1676684370.0290024,4000,0.0,200.0,0.8233000040054321,,,,,,,,,soft
11,12,10.028302669525146,1676684370.312965,4500,0.0,200.0,0.8012070059776306,,,,,,,,,soft
12,13,10.131747245788574,1676684370.4164093,4900,,,0.783488392829895,1124.0,245.0,16.25,,,,,,soft
13,14,10.309597730636597,1676684370.5942595,5000,0.0,200.0,0.7791139483451843,,,,,,,,,soft
14,15,12.844998836517334,1676684373.1296608,5500,0.0,200.0,0.7570209503173828,,,,1.4310593605041504,0.06390389800071716,0.0037320000119507313,-81.9041748046875,2159.237060546875,soft
15,16,14.484206914901732,1676684374.768869,5900,,,0.7393023371696472,677.0,245.8333282470703,21.89583396911621,1.7848408222198486,0.04951911419630051,0.0037320000119507313,-72.07128143310547,4150.73876953125,soft
16,17,15.065287351608276,1676684375.3499494,6000,0.0,200.0,0.7349278926849365,,,,1.6893713474273682,0.05050986632704735,0.0037320000119507313,-70.16212463378906,4698.134765625,soft
17,18,17.315581560134888,1676684377.6002436,6500,0.0,200.0,0.712834894657135,,,,2.070842027664185,0.06338952481746674,0.0037320000119507313,-80.07421875,7628.88818359375,soft
18,19,18.960131883621216,1676684379.244794,6900,,,0.6951162815093994,523.0,246.42857360839844,29.875,2.002768039703369,0.04573504999279976,0.0037320000119507313,-65.71015930175781,10322.4775390625,soft
19,21,21.815139770507812,1676684382.0998018,7500,0.0,200.0,0.6686488389968872,,,,2.2264833450317383,0.05907591059803963,0.0037320000119507313,-75.11471557617188,14976.5654296875,soft
20,23,24.101170539855957,1676684384.3858323,8000,0.0,200.0,0.6465558409690857,,,,2.5895042419433594,0.08976178616285324,0.0037320000119507313,-95.1614761352539,19149.5625,soft
21,26,28.74288296699524,1676684389.027545,9000,0.0,200.0,0.6023697853088379,,,,2.3753156661987305,0.08300276845693588,0.0037320000119507313,-90.72924041748048,27987.84375,soft
22,27,31.10161328315735,1676684391.3862753,9500,0.0,200.0,0.5802767276763916,,,,2.550792694091797,0.05830109119415283,0.0037320000119507313,-73.36512756347656,32847.59375,soft
23,28,32.81493139266968,1676684393.0995934,9900,,,0.562558114528656,366.0,247.5,42.912498474121094,2.6883039474487305,0.06369610875844955,0.0037320000119507313,-75.26835632324219,36945.65234375,soft
24,30,35.78495764732361,1676684396.0696197,10500,97.0,200.0,0.5360906720161438,,,,0.035190120339393616,0.005916919559240341,0.0037320000119507313,-13.221734046936035,43464.78125,soft
25,31,39.21436262130737,1676684399.4990246,10900,,,0.518372118473053,325.0,247.7272796630859,46.69318008422851,0.02326655574142933,0.006687995512038469,0.0037320000119507313,-14.650327682495115,47987.3046875,soft
26,32,39.83502769470215,1676684400.1196897,11000,97.0,200.0,0.5139976739883423,,,,0.022648047655820847,0.007697631604969501,0.0037320000119507313,-18.354585647583008,49154.6328125,soft
27,33,42.18022775650024,1676684402.4648898,11500,97.0,200.0,0.4919046461582184,,,,0.02956390380859375,0.007396509870886803,0.0037320000119507313,-15.409781455993652,55130.35546875,soft
28,34,43.9378879070282,1676684404.22255,11900,,,0.4741860330104828,311.0,247.9166717529297,50.20833206176758,0.014804977923631668,0.0055411444045603275,0.0037320000119507313,-11.516546249389648,60108.10546875,soft
29,36,46.93939185142517,1676684407.224054,12500,0.0,200.0,0.4477185904979706,,,,0.011746129021048546,0.005326841492205858,0.0037320000119507313,-12.14374828338623,67689.96875,soft
