,_step,_runtime,_timestamp,global_step,eval/mean_reward,eval/mean_ep_length,rollout/exploration_rate,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/loss,train/clip_loss,train/learning_rate,train/bound_violations,rollout/tot_ep_rew_mean,clip_method
0,0,5.9782702922821045,1676681333.8563163,500,0.0,200.0,0.977951169013977,,,,,,,,,soft
1,1,7.754474878311157,1676681335.632521,900,,,0.9602325558662416,437.0,225.0,10.5,,,,,,soft
2,2,7.929307222366333,1676681335.8073533,1000,0.0,200.0,0.9558581113815308,,,,,,,,,soft
3,3,8.193737506866455,1676681336.0717835,1500,0.0,200.0,0.9337651133537292,,,,,,,,,soft
4,5,8.461615085601807,1676681336.3396611,2000,0.0,200.0,0.9116721153259276,,,,,,,,,soft
5,7,8.823670148849487,1676681336.7017162,2900,,,0.8718604445457458,927.0,241.6666717529297,16.25,,,,,,soft
6,8,8.993073463439941,1676681336.8711195,3000,0.0,200.0,0.8674860596656799,,,,,,,,,soft
7,9,9.256963968276978,1676681337.13501,3500,0.0,200.0,0.8453930020332336,,,,,,,,,soft
8,10,9.35590124130249,1676681337.2339473,3900,,,0.827674388885498,1066.0,243.75,16.375,,,,,,soft
9,12,9.837910652160645,1676681337.7159567,4500,0.0,200.0,0.8012070059776306,,,,,,,,,soft
10,13,9.948176622390749,1676681337.826223,4900,,,0.783488392829895,1153.0,245.0,16.325000762939453,,,,,,soft
11,15,12.518578052520752,1676681340.396624,5500,0.0,200.0,0.7570209503173828,,,,1.849872589111328,0.063587486743927,0.0037320000119507313,-83.56355285644531,2164.42724609375,soft
12,16,14.199410915374756,1676681342.077457,5900,,,0.7393023371696472,694.0,245.8333282470703,23.5625,1.9640352725982664,0.04990426450967789,0.0037320000119507313,-70.8680419921875,4173.814453125,soft
13,17,14.78170919418335,1676681342.6597552,6000,0.0,200.0,0.7349278926849365,,,,2.1385374069213867,0.054460301995277405,0.0037320000119507313,-72.97966766357422,4762.876953125,soft
14,18,16.967480659484863,1676681344.8455267,6500,0.0,200.0,0.712834894657135,,,,2.1716911792755127,0.06783238798379898,0.0037320000119507313,-82.63398742675781,7783.1943359375,soft
15,19,18.59729790687561,1676681346.475344,6900,,,0.6951162815093994,535.0,246.42857360839844,27.375,2.0704543590545654,0.06082308664917946,0.0037320000119507313,-78.21472930908203,10348.5791015625,soft
16,20,19.19355797767639,1676681347.071604,7000,0.0,200.0,0.6907418370246887,,,,1.8901233673095703,0.06659901887178421,0.0037320000119507313,-82.6810531616211,11032.9541015625,soft
17,22,23.1763596534729,1676681351.0544057,7900,,,0.6509302258491516,452.0,246.875,34.09375,2.759502410888672,0.05906820669770241,0.0037320000119507313,-72.4115982055664,17818.81640625,soft
18,24,26.09843397140503,1676681353.97648,8500,0.0,200.0,0.6244627833366394,,,,2.2293834686279297,0.08938322216272354,0.0037320000119507313,-96.89390563964844,22990.1640625,soft
19,25,27.82130455970764,1676681355.6993506,8900,,,0.6067441701889038,402.0,247.22222900390625,37.72222137451172,2.4252963066101074,0.09005065262317657,0.0037320000119507313,-94.80805206298828,26624.595703125,soft
20,27,30.782532691955566,1676681358.6605787,9500,0.0,200.0,0.5802767276763916,,,,2.7538950443267822,0.051633480936288834,0.0037320000119507313,-69.2820053100586,32418.521484375,soft
21,28,32.49745798110962,1676681360.375504,9900,,,0.562558114528656,369.0,247.5,42.025001525878906,2.6783008575439453,0.06420130282640457,0.0037320000119507313,-79.3365707397461,36486.671875,soft
22,29,33.13854932785034,1676681361.0165954,10000,0.0,200.0,0.5581837296485901,,,,3.1859171390533447,0.07137078791856766,0.0037320000119507313,-82.05384826660156,37537.296875,soft
23,30,35.49989891052246,1676681363.377945,10500,0.0,200.0,0.5360906720161438,,,,0.06046302616596222,0.008899700827896595,0.0037320000119507313,-20.362285614013672,42883.14453125,soft
24,31,37.25577473640442,1676681365.1338208,10900,,,0.518372118473053,345.0,247.7272796630859,45.647727966308594,0.03778259456157684,0.0058007799088954926,0.0037320000119507313,-12.469980239868164,47336.46875,soft
25,32,37.88863778114319,1676681365.7666838,11000,97.0,200.0,0.5139976739883423,,,,0.0393369197845459,0.011240154504776,0.0037320000119507313,-19.189023971557617,48477.66015625,soft
26,33,41.919503927230835,1676681369.79755,11500,96.0,200.0,0.4919046461582184,,,,0.016004588454961777,0.005428424570709467,0.0037320000119507313,-11.128069877624512,54298.89453125,soft
27,34,43.65709161758423,1676681371.5351377,11900,,,0.4741860330104828,313.0,247.9166717529297,49.34375,0.012985184788703918,0.003870645072311163,0.0037320000119507313,-9.202120780944824,59131.421875,soft
28,35,44.28732919692993,1676681372.1653752,12000,96.0,200.0,0.4698116183280945,,,,0.012521328404545784,0.001834842259995639,0.0037320000119507313,-5.1596269607543945,60365.015625,soft
29,37,48.44155788421631,1676681376.319604,12900,,,0.4300000071525574,301.0,248.0769195556641,53.096153259277344,0.02016315795481205,0.002863800385966897,0.0037320000119507313,-6.6105570793151855,71866.9765625,soft
30,39,51.47328877449035,1676681379.3513348,13500,96.0,200.0,0.4035325646400452,,,,0.013673270121216774,0.005564223509281874,0.0037320000119507313,-11.76235008239746,79934.6328125,soft
31,40,53.24963355064392,1676681381.1276796,13900,,,0.3858139514923096,292.0,248.2142791748047,56.49106979370117,0.022377191111445427,0.0029939801897853613,0.0037320000119507313,-7.293310165405273,85478.1328125,soft
32,41,53.87899708747864,1676681381.7570431,14000,96.0,200.0,0.38143953680992126,,,,0.010970843955874445,0.005732857622206211,0.0037320000119507313,-11.06362533569336,86890.4140625,soft
33,42,56.30030107498169,1676681384.178347,14500,96.0,200.0,0.35934650897979736,,,,0.01840340346097946,0.0031539935152977705,0.0037320000119507313,-6.930752277374268,94039.359375,soft
34,43,58.09852147102356,1676681385.9765675,14900,,,0.34162789583206177,284.0,248.3333282470703,59.31666564941406,0.018794849514961243,0.003532562404870987,0.0037320000119507313,-7.895657539367676,99879.5078125,soft
35,45,61.21409797668457,1676681389.092144,15500,96.0,200.0,0.31516045331954956,,,,0.013741309754550455,0.005447677336633205,0.0037320000119507313,-11.614715576171877,108862.1953125,soft
