,_step,_runtime,_timestamp,global_step,eval/mean_reward,eval/mean_ep_length,rollout/exploration_rate,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/loss,train/clip_loss,train/learning_rate,train/bound_violations,rollout/tot_ep_rew_mean,clip_method
0,0,3.789303779602051,1676681716.9590387,500,0.0,200.0,0.977951169013977,,,,,,,,,soft
1,1,4.667783975601196,1676681717.837519,900,,,0.9602325558662416,909.0,225.0,13.375,,,,,,soft
2,2,4.741858959197998,1676681717.911594,1000,0.0,200.0,0.9558581113815308,,,,,,,,,soft
3,3,4.847747564315796,1676681718.0174825,1500,0.0,200.0,0.9337651133537292,,,,,,,,,soft
4,4,4.888707637786865,1676681718.0584426,1900,,,0.9160465002059937,1568.0,237.5,12.375,,,,,,soft
5,5,4.962723255157471,1676681718.1324582,2000,0.0,200.0,0.9116721153259276,,,,,,,,,soft
6,6,5.067377090454102,1676681718.237112,2500,0.0,200.0,0.8895790576934814,,,,,,,,,soft
7,7,5.099940538406372,1676681718.2696755,2900,,,0.8718604445457458,2038.0,241.6666717529297,12.916666984558104,,,,,,soft
8,9,5.281536817550659,1676681718.4512718,3500,0.0,200.0,0.8453930020332336,,,,,,,,,soft
9,10,5.314507961273193,1676681718.484243,3900,,,0.827674388885498,2382.0,243.75,14.5,,,,,,soft
10,11,5.388401031494141,1676681718.558136,4000,0.0,200.0,0.8233000040054321,,,,,,,,,soft
11,12,5.490627765655518,1676681718.6603627,4500,0.0,200.0,0.8012070059776306,,,,,,,,,soft
12,13,5.523117542266846,1676681718.6928525,4900,,,0.783488392829895,2655.0,245.0,16.950000762939453,,,,,,soft
13,15,6.242001295089722,1676681719.4117362,5500,0.0,200.0,0.7570209503173828,,,,1.883496046066284,0.038113661110401154,0.0037320000119507313,-61.615535736083984,2043.4017333984375,soft
14,16,6.702665328979492,1676681719.8724003,5900,,,0.7393023371696472,1950.0,245.8333282470703,15.1875,1.657932996749878,0.04030614718794823,0.0037320000119507313,-63.939552307128906,3586.23779296875,soft
