,_step,_runtime,_timestamp,global_step,eval/mean_reward,eval/mean_ep_length,rollout/exploration_rate,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/loss,train/clip_loss,train/learning_rate,train/bound_violations,rollout/tot_ep_rew_mean,clip_method
0,0,6.037335157394409,1676685293.69476,500,0.0,200.0,0.977951169013977,,,,,,,,,soft
1,1,7.852217674255371,1676685295.5096426,900,,,0.9602325558662416,429.0,225.0,23.5,,,,,,soft
2,2,8.033830881118774,1676685295.6912558,1000,0.0,200.0,0.9558581113815308,,,,,,,,,soft
3,3,8.307844400405884,1676685295.965269,1500,0.0,200.0,0.9337651133537292,,,,,,,,,soft
4,4,8.412373542785645,1676685296.0697985,1900,,,0.9160465002059937,715.0,237.5,28.1875,,,,,,soft
5,5,8.586508989334106,1676685296.243934,2000,0.0,200.0,0.9116721153259276,,,,,,,,,soft
6,6,8.864256620407104,1676685296.5216815,2500,0.0,200.0,0.8895790576934814,,,,,,,,,soft
7,7,8.969408988952637,1676685296.626834,2900,,,0.8718604445457458,902.0,241.6666717529297,22.75,,,,,,soft
8,8,9.151113033294678,1676685296.808538,3000,0.0,200.0,0.8674860596656799,,,,,,,,,soft
9,10,9.530502080917358,1676685297.187927,3900,,,0.827674388885498,1033.0,243.75,19.6875,,,,,,soft
10,11,9.716392755508425,1676685297.3738177,4000,0.0,200.0,0.8233000040054321,,,,,,,,,soft
11,12,9.99300217628479,1676685297.650427,4500,0.0,200.0,0.8012070059776306,,,,,,,,,soft
12,13,10.098066568374634,1676685297.7554915,4900,,,0.783488392829895,1128.0,245.0,19.700000762939453,,,,,,soft
13,14,10.272762537002563,1676685297.9301877,5000,0.0,200.0,0.7791139483451843,,,,,,,,,soft
14,15,12.827585220336914,1676685300.48501,5500,0.0,200.0,0.7570209503173828,,,,1.7289419174194336,0.03834346681833267,0.0037320000119507313,-60.48453903198242,2432.020751953125,soft
15,18,17.245192527770996,1676685304.9026177,6500,0.0,200.0,0.712834894657135,,,,1.8015679121017456,0.0535040944814682,0.0037320000119507313,-74.45928192138672,6961.30322265625,soft
16,20,19.434425830841064,1676685307.0918508,7000,0.0,200.0,0.6907418370246887,,,,2.4454073905944824,0.05670712888240814,0.0037320000119507313,-78.0950698852539,9023.1953125,soft
17,21,21.660260915756226,1676685309.3176858,7500,0.0,200.0,0.6686488389968872,,,,2.028205156326294,0.05114385485649109,0.0037320000119507313,-73.097900390625,10981.22265625,soft
18,23,23.885066270828247,1676685311.5424912,8000,0.0,200.0,0.6465558409690857,,,,2.176079511642456,0.08847839385271072,0.0037320000119507313,-98.0498275756836,12822.8046875,soft
19,24,26.15320372581482,1676685313.810629,8500,0.0,200.0,0.6244627833366394,,,,2.4125895500183105,0.10958663374185562,0.0037320000119507313,-111.50000762939452,14551.9755859375,soft
20,25,27.81643962860107,1676685315.4738646,8900,,,0.6067441701889038,403.0,247.22222900390625,12.597222328186035,2.077958106994629,0.09205203503370284,0.0037320000119507313,-101.3699188232422,15866.744140625,soft
21,29,33.00481581687927,1676685320.6622407,10000,0.0,200.0,0.5581837296485901,,,,2.5917301177978516,0.057663679122924805,0.0037320000119507313,-80.29431915283203,19184.287109375,soft
22,30,35.29326772689819,1676685322.950693,10500,97.0,200.0,0.5360906720161438,,,,0.03439820185303688,0.002093673450872302,0.0037320000119507313,-9.290605545043944,20705.69140625,soft
23,31,38.67742872238159,1676685326.3348536,10900,,,0.518372118473053,331.0,247.7272796630859,17.375,0.020358439534902573,0.0029362374916672707,0.0037320000119507313,-12.207538604736328,22167.40234375,soft
24,32,39.29519701004028,1676685326.952622,11000,97.0,200.0,0.5139976739883423,,,,0.02666802704334259,0.0017975460505113006,0.0037320000119507313,-8.25969123840332,22601.77734375,soft
25,34,43.24084830284119,1676685330.8982732,11900,,,0.4741860330104828,317.0,247.9166717529297,23.90625,0.00708797387778759,0.0018971042009070516,0.0037320000119507313,-8.815898895263672,27135.380859375,soft
26,35,43.8523166179657,1676685331.5097415,12000,97.0,200.0,0.4698116183280945,,,,0.013775750994682312,0.0019932943396270275,0.0037320000119507313,-9.794384002685549,27733.037109375,soft
27,36,46.092740297317505,1676685333.7501652,12500,97.0,200.0,0.4477185904979706,,,,0.006745588034391403,0.0019915190059691668,0.0037320000119507313,-8.146076202392578,30876.47265625,soft
28,37,47.67938756942749,1676685335.3368125,12900,,,0.4300000071525574,307.0,248.0769195556641,29.5,0.005380328744649887,0.00175976799800992,0.0037320000119507313,-8.416167259216309,33637.921875,soft
29,38,48.26145839691162,1676685335.918883,13000,97.0,200.0,0.42562559247016907,,,,0.005209430120885372,0.0031034897547215223,0.0037320000119507313,-13.241704940795898,34375.421875,soft
30,39,50.42619800567627,1676685338.083623,13500,97.0,200.0,0.4035325646400452,,,,0.006812852341681719,0.002708991058170795,0.0037320000119507313,-10.123819351196287,38193.375,soft
31,40,52.022857427597046,1676685339.6802824,13900,,,0.3858139514923096,300.0,248.2142791748047,34.55356979370117,0.0059141977690160275,0.0028130770660936832,0.0037320000119507313,-10.300348281860352,41475.140625,soft
32,41,52.5958890914917,1676685340.253314,14000,97.0,200.0,0.38143953680992126,,,,0.006829023361206055,0.003478825790807605,0.0037320000119507313,-11.988996505737305,42338.98046875,soft
33,42,54.78187394142151,1676685342.4392989,14500,97.0,200.0,0.35934650897979736,,,,0.006122623570263386,0.0022061218041926622,0.0037320000119507313,-8.808647155761719,46740.9140625,soft
34,43,56.41092562675476,1676685344.0683506,14900,,,0.34162789583206177,294.0,248.3333282470703,38.63333511352539,0.01764916628599167,0.0024971638340502977,0.0037320000119507313,-9.643866539001465,50440.66015625,soft
35,44,57.0179443359375,1676685344.6753693,15000,97.0,200.0,0.33725348114967346,,,,0.00806177407503128,0.003471375210210681,0.0037320000119507313,-10.687417984008787,51406.4921875,soft
36,46,60.894803285598755,1676685348.5522282,15900,,,0.29744186997413635,288.0,248.4375,42.3671875,0.007873867638409138,0.0037823033053427935,0.0037320000119507313,-11.76958465576172,60489.24609375,soft
37,49,65.37837386131287,1676685353.0357988,16900,,,0.25325581431388855,283.0,248.5294189453125,45.411766052246094,0.0063593415543437,0.002627485664561391,0.0037320000119507313,-10.234643936157228,71336.9140625,soft
38,51,68.3389036655426,1676685355.9963286,17500,97.0,200.0,0.22678837180137632,,,,0.007487913593649864,0.0027981398161500692,0.0037320000119507313,-9.267389297485352,78252.21875,soft
39,52,70.09138035774231,1676685357.7488053,17900,,,0.2090697735548019,278.0,248.61111450195312,48.66666793823242,0.008817904628813267,0.00447448343038559,0.0037320000119507313,-13.70937728881836,83008.546875,soft
40,53,70.71143937110901,1676685358.3688643,18000,97.0,200.0,0.20469534397125244,,,,0.008217987604439259,0.005221584811806679,0.0037320000119507313,-15.119081497192385,84225.21875,soft
41,54,73.14342284202576,1676685360.8008478,18500,97.0,200.0,0.1826023310422897,,,,0.018997736275196075,0.0034126914106309414,0.0037320000119507313,-8.80447006225586,90390.6953125,soft
42,55,74.95224976539612,1676685362.6096747,18900,,,0.16488371789455414,273.0,248.6842041015625,51.33552551269531,0.01779925636947155,0.0019061447819694877,0.0037320000119507313,-6.430736064910889,95412.1171875,soft
43,57,77.98942613601685,1676685365.646851,19500,97.0,200.0,0.13841627538204193,,,,0.0066370246931910515,0.003796500619500875,0.0037320000119507313,-10.567983627319336,103208.234375,soft
44,58,79.77254366874695,1676685367.4299686,19900,,,0.12069767713546752,268.0,248.75,54.556251525878906,0.007146664895117283,0.002916226629167795,0.0037320000119507313,-7.05724573135376,108560.1171875,soft
45,59,80.41450381278992,1676685368.0719287,20000,97.0,200.0,0.11632325500249864,,,,0.0067019034177064896,0.0031890615355223417,0.0037320000119507313,-10.363920211791992,109924.0234375,soft
46,60,82.85998129844666,1676685370.5174062,20500,97.0,200.0,0.09423023462295532,,,,0.00884154997766018,1.868726371867524e-06,0.0037320000119507313,-0.05254459381103515,116836.5234375,soft
47,61,84.68433690071106,1676685372.3417618,20900,,,0.07651162892580032,264.0,248.8095245361328,57.55952453613281,0.023008698597550392,0.0,0.0037320000119507313,0.0,122497.734375,soft
48,62,85.3267560005188,1676685372.984181,21000,97.0,200.0,0.07213720679283142,,,,0.00019451591651886704,2.2756264570489293e-06,0.0037320000119507313,-0.05807304382324219,123936.7265625,soft
49,63,87.77077174186707,1676685375.428197,21500,97.0,200.0,0.05004418641328811,,,,8.518325921613723e-05,4.2012999301732634e-08,0.0037320000119507313,-0.004555702209472656,131216.1875,soft
