,_step,_runtime,_timestamp,global_step,eval/mean_reward,eval/mean_ep_length,rollout/exploration_rate,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/loss,train/clip_loss,train/learning_rate,train/bound_violations,rollout/tot_ep_rew_mean,clip_method
0,0,3.832619428634643,1676681398.4532957,500,0.0,200.0,0.977951169013977,,,,,,,,,soft
1,1,4.754540681838989,1676681399.3752167,900,,,0.9602325558662416,872.0,225.0,19.625,,,,,,soft
2,2,4.8307859897613525,1676681399.451462,1000,0.0,200.0,0.9558581113815308,,,,,,,,,soft
3,4,4.973200798034668,1676681399.5938768,1900,,,0.9160465002059937,1519.0,237.5,16.875,,,,,,soft
4,5,5.047176837921143,1676681399.6678529,2000,0.0,200.0,0.9116721153259276,,,,,,,,,soft
5,6,5.149848222732544,1676681399.7705245,2500,0.0,200.0,0.8895790576934814,,,,,,,,,soft
6,7,5.1820056438446045,1676681399.8026817,2900,,,0.8718604445457458,1987.0,241.6666717529297,17.54166603088379,,,,,,soft
7,8,5.258336544036865,1676681399.8790126,3000,0.0,200.0,0.8674860596656799,,,,,,,,,soft
8,9,5.361430406570435,1676681399.9821064,3500,0.0,200.0,0.8453930020332336,,,,,,,,,soft
9,14,5.680688142776489,1676681400.3013642,5000,0.0,200.0,0.7791139483451843,,,,,,,,,soft
10,15,6.348601818084717,1676681400.969278,5500,0.0,200.0,0.7570209503173828,,,,1.845759391784668,0.054640039801597595,0.0037320000119507313,-75.6061782836914,2559.468994140625,soft
11,16,6.81392240524292,1676681401.4345984,5900,,,0.7393023371696472,1908.0,245.8333282470703,18.33333396911621,1.8764132261276243,0.05987106263637543,0.0037320000119507313,-78.45182800292969,4515.99072265625,soft
12,18,7.682613849639893,1676681402.30329,6500,0.0,200.0,0.712834894657135,,,,1.9575226306915283,0.07287444174289703,0.0037320000119507313,-88.02896118164062,7194.06787109375,soft
13,19,8.173296213150024,1676681402.7939725,6900,,,0.6951162815093994,1550.0,246.42857360839844,15.767857551574709,1.8187847137451172,0.06169366091489792,0.0037320000119507313,-80.15901184082031,8857.814453125,soft
14,20,8.363433122634888,1676681402.9841092,7000,0.0,200.0,0.6907418370246887,,,,2.179966688156128,0.04895683005452156,0.0037320000119507313,-70.81266021728516,9252.0107421875,soft
15,21,9.028981924057009,1676681403.649658,7500,0.0,200.0,0.6686488389968872,,,,2.2789559364318848,0.07037647813558578,0.0037320000119507313,-85.79341125488281,11169.52734375,soft
16,22,9.502704858779907,1676681404.123381,7900,,,0.6509302258491516,1366.0,246.875,13.796875,2.2140462398529053,0.10409743338823318,0.0037320000119507313,-107.76563262939452,12617.45703125,soft
17,23,9.696247100830078,1676681404.3169231,8000,0.0,200.0,0.6465558409690857,,,,2.2409491539001465,0.0952182412147522,0.0037320000119507313,-101.76089477539062,12962.37890625,soft
