,_step,_runtime,_timestamp,global_step,eval/mean_reward,eval/mean_ep_length,rollout/exploration_rate,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/loss,train/clip_loss,train/learning_rate,train/bound_violations,rollout/tot_ep_rew_mean,clip_method
0,0,6.073046445846558,1676681332.9560337,500,0.0,200.0,0.977951169013977,,,,,,,,,soft
1,1,7.912360429763794,1676681334.7953477,900,,,0.9602325558662416,417.0,225.0,9.0,,,,,,soft
2,2,8.092194080352783,1676681334.975181,1000,0.0,200.0,0.9558581113815308,,,,,,,,,soft
3,3,8.385212898254395,1676681335.2682,1500,0.0,200.0,0.9337651133537292,,,,,,,,,soft
4,4,8.51342511177063,1676681335.396412,1900,,,0.9160465002059937,689.0,237.5,12.75,,,,,,soft
5,5,8.688705682754517,1676681335.5716927,2000,0.0,200.0,0.9116721153259276,,,,,,,,,soft
6,7,9.05942726135254,1676681335.9424143,2900,,,0.8718604445457458,878.0,241.6666717529297,12.541666984558104,,,,,,soft
7,8,9.225735425949097,1676681336.1087224,3000,0.0,200.0,0.8674860596656799,,,,,,,,,soft
8,9,9.491834163665771,1676681336.3748212,3500,0.0,200.0,0.8453930020332336,,,,,,,,,soft
9,10,9.594410419464111,1676681336.4773974,3900,,,0.827674388885498,1016.0,243.75,12.78125,,,,,,soft
10,11,9.764089345932009,1676681336.6470764,4000,0.0,200.0,0.8233000040054321,,,,,,,,,soft
11,13,10.137084484100342,1676681337.0200715,4900,,,0.783488392829895,1119.0,245.0,12.800000190734863,,,,,,soft
12,14,10.31909966468811,1676681337.2020867,5000,0.0,200.0,0.7791139483451843,,,,,,,,,soft
13,15,12.742857694625854,1676681339.6258447,5500,0.0,200.0,0.7570209503173828,,,,1.6021580696105957,0.04412239417433739,0.0037320000119507313,-67.04072570800781,1816.431640625,soft
14,16,14.421706914901732,1676681341.304694,5900,,,0.7393023371696472,681.0,245.8333282470703,20.47916603088379,1.5955740213394165,0.043822452425956726,0.0037320000119507313,-66.76287841796875,3624.13916015625,soft
15,19,18.9390287399292,1676681345.8220158,6900,,,0.6951162815093994,523.0,246.42857360839844,25.660715103149418,2.1995391845703125,0.05433646962046623,0.0037320000119507313,-76.27400207519531,9237.2880859375,soft
16,20,19.545434713363647,1676681346.4284215,7000,0.0,200.0,0.6907418370246887,,,,2.1521010398864746,0.04970670118927955,0.0037320000119507313,-66.30809783935547,9878.8056640625,soft
17,21,21.83629083633423,1676681348.719278,7500,0.0,200.0,0.6686488389968872,,,,2.1705775260925293,0.06709107011556625,0.0037320000119507313,-82.77079772949219,13199.45703125,soft
18,22,23.59728765487671,1676681350.480275,7900,,,0.6509302258491516,442.0,246.875,30.40625,2.259775876998902,0.08719535917043686,0.0037320000119507313,-96.23920440673828,16050.8544921875,soft
19,23,24.199331998825073,1676681351.082319,8000,0.0,200.0,0.6465558409690857,,,,2.39898419380188,0.06310298293828964,0.0037320000119507313,-77.21232604980469,16811.01171875,soft
20,24,26.50381541252136,1676681353.3868024,8500,0.0,200.0,0.6244627833366394,,,,2.682055711746216,0.05126851424574852,0.0037320000119507313,-67.62425994873047,20684.041015625,soft
21,25,28.190359830856323,1676681355.0733469,8900,,,0.6067441701889038,396.0,247.22222900390625,34.08333206176758,2.829089879989624,0.08306107670068741,0.0037320000119507313,-93.61040496826172,23988.201171875,soft
22,26,28.843380451202393,1676681355.7263677,9000,0.0,200.0,0.6023697853088379,,,,2.53416109085083,0.07505655288696289,0.0037320000119507313,-87.4747085571289,24840.28515625,soft
23,27,31.23571228981018,1676681358.1186993,9500,0.0,200.0,0.5802767276763916,,,,2.455355405807495,0.08804087340831757,0.0037320000119507313,-96.92743682861328,29260.810546875,soft
24,28,32.98932600021362,1676681359.872313,9900,,,0.562558114528656,363.0,247.5,37.38750076293945,2.464411735534668,0.11254116892814636,0.0037320000119507313,-111.31307983398438,32921.4375,soft
25,30,35.98312449455261,1676681362.8661115,10500,96.0,200.0,0.5360906720161438,,,,0.03262576088309288,0.007732403930276632,0.0037320000119507313,-16.894859313964844,38709.0859375,soft
26,31,39.40836548805237,1676681366.2913525,10900,,,0.518372118473053,323.0,247.7272796630859,42.65909194946289,0.03991307690739632,0.011043437756597996,0.0037320000119507313,-21.706708908081055,42835.734375,soft
27,32,40.06853270530701,1676681366.9515195,11000,96.0,200.0,0.5139976739883423,,,,0.03393251821398735,0.007616892922669649,0.0037320000119507313,-15.86917495727539,43902.2109375,soft
28,33,42.40953707695007,1676681369.292524,11500,96.0,200.0,0.4919046461582184,,,,0.022711969912052155,0.00930920708924532,0.0037320000119507313,-18.732833862304688,49379.38671875,soft
29,34,44.16233420372009,1676681371.0453212,11900,,,0.4741860330104828,309.0,247.9166717529297,46.65625,0.02149605005979538,0.0079423226416111,0.0037320000119507313,-15.879748344421388,53922.8984375,soft
30,36,47.14656662940979,1676681374.0295537,12500,96.0,200.0,0.4477185904979706,,,,0.015530023723840714,0.0059700775891542435,0.0037320000119507313,-14.30504035949707,61028.58984375,soft
31,38,49.55419993400574,1676681376.437187,13000,96.0,200.0,0.42562559247016907,,,,0.017442338168621063,0.010567227378487589,0.0037320000119507313,-20.662233352661133,67183.984375,soft
32,39,51.94084143638611,1676681378.8238285,13500,97.0,200.0,0.4035325646400452,,,,0.021128730848431587,0.009484745562076569,0.0037320000119507313,-18.879976272583008,73554.4609375,soft
33,40,55.38044214248657,1676681382.2634292,13900,,,0.3858139514923096,280.0,248.2142791748047,53.34821319580078,0.011898321099579334,0.006248774006962776,0.0037320000119507313,-13.9439697265625,78792.0546875,soft
34,41,56.017767906188965,1676681382.900755,14000,97.0,200.0,0.38143953680992126,,,,0.019282616674900055,0.008181620389223099,0.0037320000119507313,-14.616326332092283,80125.7578125,soft
35,42,58.411322832107544,1676681385.29431,14500,97.0,200.0,0.35934650897979736,,,,0.021567951887845993,0.008941320702433586,0.0037320000119507313,-15.668054580688477,86886.8515625,soft
36,43,60.19644236564636,1676681387.0794294,14900,,,0.34162789583206177,273.0,248.3333282470703,56.275001525878906,0.016280658543109894,0.008391793817281723,0.0037320000119507313,-17.0914249420166,92426.6015625,soft
37,44,60.84521722793579,1676681387.7282045,15000,97.0,200.0,0.33725348114967346,,,,0.023062866181135178,0.013299495913088322,0.0037320000119507313,-22.50059700012207,93833.4765625,soft
38,45,63.227118253707886,1676681390.1101053,15500,97.0,200.0,0.31516045331954956,,,,0.03539931774139404,0.00810600258409977,0.0037320000119507313,-15.07691764831543,100953.140625,soft
