,_step,_runtime,_timestamp,global_step,eval/mean_reward,eval/mean_ep_length,rollout/exploration_rate,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/loss,train/clip_loss,train/learning_rate,train/bound_violations,rollout/tot_ep_rew_mean,clip_method
0,0,3.772662878036499,1676684762.071493,500,0.0,200.0,0.977951169013977,,,,,,,,,soft
1,1,4.672365427017212,1676684762.9711957,900,,,0.9602325558662416,896.0,225.0,18.375,,,,,,soft
2,2,4.745123624801636,1676684763.0439537,1000,0.0,200.0,0.9558581113815308,,,,,,,,,soft
3,3,4.846789598464966,1676684763.1456196,1500,0.0,200.0,0.9337651133537292,,,,,,,,,soft
4,4,4.883183717727661,1676684763.1820138,1900,,,0.9160465002059937,1564.0,237.5,20.1875,,,,,,soft
5,6,5.056081533432007,1676684763.3549116,2500,0.0,200.0,0.8895790576934814,,,,,,,,,soft
6,7,5.087788343429565,1676684763.3866184,2900,,,0.8718604445457458,2043.0,241.6666717529297,24.66666603088379,,,,,,soft
7,8,5.16024112701416,1676684763.4590712,3000,0.0,200.0,0.8674860596656799,,,,,,,,,soft
8,9,5.2616167068481445,1676684763.5604467,3500,0.0,200.0,0.8453930020332336,,,,,,,,,soft
9,11,5.367116689682007,1676684763.6659467,4000,0.0,200.0,0.8233000040054321,,,,,,,,,soft
10,13,5.499551773071289,1676684763.7983818,4900,,,0.783488392829895,2675.0,245.0,25.0,,,,,,soft
11,14,5.5710532665252686,1676684763.8698833,5000,0.0,200.0,0.7791139483451843,,,,,,,,,soft
12,15,6.19787073135376,1676684764.4967008,5500,0.0,200.0,0.7570209503173828,,,,1.961078643798828,0.046128176152706146,0.0037320000119507313,-68.77030944824219,3024.107177734375,soft
13,16,6.640775203704834,1676684764.9396052,5900,,,0.7393023371696472,1985.0,245.8333282470703,21.3125,2.0268332958221436,0.0353119894862175,0.0037320000119507313,-60.273887634277344,5298.5634765625,soft
14,17,6.822476863861084,1676684765.121307,6000,0.0,200.0,0.7349278926849365,,,,1.456895351409912,0.04872264713048935,0.0037320000119507313,-71.39146423339844,5831.3759765625,soft
15,18,7.501737117767334,1676684765.8005672,6500,0.0,200.0,0.712834894657135,,,,2.098487377166748,0.07242794334888458,0.0037320000119507313,-87.59947204589844,8435.5205078125,soft
16,19,7.960229158401489,1676684766.2590592,6900,,,0.6951162815093994,1608.0,246.42857360839844,19.39285659790039,2.0458152294158936,0.03932679072022438,0.0037320000119507313,-62.74760055541992,10397.521484375,soft
17,20,8.149132013320923,1676684766.447962,7000,0.0,200.0,0.6907418370246887,,,,2.211372137069702,0.05340629816055298,0.0037320000119507313,-75.96661376953125,10882.3427734375,soft
18,21,8.797470808029175,1676684767.0963008,7500,0.0,200.0,0.6686488389968872,,,,2.200650691986084,0.030259890481829643,0.0037320000119507313,-53.920387268066406,13256.0380859375,soft
19,22,9.265157222747805,1676684767.5639873,7900,,,0.6509302258491516,1411.0,246.875,17.390625,2.1156959533691406,0.04720677807927132,0.0037320000119507313,-68.9114761352539,15060.5537109375,soft
20,23,9.457027912139893,1676684767.755858,8000,0.0,200.0,0.6465558409690857,,,,2.020399332046509,0.06758952885866165,0.0037320000119507313,-87.05621337890625,15495.3193359375,soft
21,24,10.114982604980469,1676684768.4138126,8500,0.0,200.0,0.6244627833366394,,,,1.8539040088653564,0.039707716554403305,0.0037320000119507313,-63.213748931884766,17617.224609375,soft
22,25,10.585036277770996,1676684768.8838663,8900,,,0.6067441701889038,1286.0,247.22222900390625,15.458333015441896,2.6302995681762695,0.08243866264820099,0.0037320000119507313,-93.74966430664062,19230.60546875,soft
23,26,10.774938821792604,1676684769.0737689,9000,0.0,200.0,0.6023697853088379,,,,2.2717039585113525,0.1018233597278595,0.0037320000119507313,-107.03759765625,19617.064453125,soft
24,27,11.426042079925535,1676684769.724872,9500,0.0,200.0,0.5802767276763916,,,,2.4010987281799316,0.07900875061750412,0.0037320000119507313,-92.46981048583984,21551.326171875,soft
25,28,11.90832257270813,1676684770.2071526,9900,,,0.562558114528656,1201.0,247.5,14.449999809265137,2.326043128967285,0.13205397129058838,0.0037320000119507313,-122.28165435791016,23052.876953125,soft
26,31,14.141249418258669,1676684772.4400797,10900,,,0.518372118473053,1040.0,247.7272796630859,19.55681800842285,0.030748074874281883,0.0009606871753931046,0.0037320000119507313,-3.1744871139526367,26988.42578125,soft
27,32,14.33867859840393,1676684772.6375086,11000,96.5,200.0,0.5139976739883423,,,,0.014427329413592815,0.0016106042312458158,0.0037320000119507313,-6.08953857421875,27477.345703125,soft
28,33,15.01255989074707,1676684773.31139,11500,96.5,200.0,0.4919046461582184,,,,0.007391390390694141,0.0011506068985909224,0.0037320000119507313,-5.064876079559326,30058.30859375,soft
29,34,15.493521928787231,1676684773.792352,11900,,,0.4741860330104828,1006.0,247.9166717529297,24.30208396911621,0.008462348952889442,0.0030016200616955757,0.0037320000119507313,-7.246841907501221,32332.650390625,soft
30,35,15.69023370742798,1676684773.9890635,12000,96.5,200.0,0.4698116183280945,,,,0.00453459657728672,0.002151105087250471,0.0037320000119507313,-7.0679731369018555,32940.203125,soft
