,_step,_runtime,_timestamp,global_step,eval/mean_reward,eval/mean_ep_length,rollout/exploration_rate,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/loss,train/clip_loss,train/learning_rate,train/bound_violations,rollout/tot_ep_rew_mean,clip_method
0,0,0.5405998229980469,1676690134.542821,500,0.0,200.0,0.977951169013977,,,,,,,,,soft
1,1,1.0423648357391355,1676690135.044586,900,,,0.9602325558662416,1449.0,225.0,16.5,,,,,,soft
2,2,1.2632911205291748,1676690135.2655122,1000,0.0,200.0,0.9558581113815308,,,,,,,,,soft
3,3,1.3906912803649902,1676690135.3929124,1500,0.0,200.0,0.9337651133537292,,,,,,,,,soft
4,4,1.4101321697235107,1676690135.4123533,1900,,,0.9160465002059937,1921.0,237.5,20.6875,,,,,,soft
5,5,1.5095529556274414,1676690135.511774,2000,0.0,200.0,0.9116721153259276,,,,,,,,,soft
6,6,1.7449109554290771,1676690135.747132,2500,0.0,200.0,0.8895790576934814,,,,,,,,,soft
7,7,1.7648789882659912,1676690135.7671,2900,,,0.8718604445457458,2158.0,241.6666717529297,17.0,,,,,,soft
8,8,1.9579508304595947,1676690135.960172,3000,0.0,200.0,0.8674860596656799,,,,,,,,,soft
9,9,2.0759594440460205,1676690136.0781806,3500,0.0,200.0,0.8453930020332336,,,,,,,,,soft
10,10,2.0951521396636963,1676690136.0973732,3900,,,0.827674388885498,2330.0,243.75,15.1875,,,,,,soft
11,11,2.1945130825042725,1676690136.1967342,4000,0.0,200.0,0.8233000040054321,,,,,,,,,soft
12,12,2.4565093517303467,1676690136.4587305,4500,0.0,200.0,0.8012070059776306,,,,,,,,,soft
13,13,2.4753289222717285,1676690136.47755,4900,,,0.783488392829895,2385.0,245.0,15.75,,,,,,soft
14,14,2.564120054244995,1676690136.5663412,5000,0.0,200.0,0.7791139483451843,,,,,,,,,soft
15,15,4.369818687438965,1676690138.3720398,5500,0.0,200.0,0.7570209503173828,,,,5.1466779708862305,0.05632347986102104,0.0037320000119507313,-77.37113189697266,1916.3387451171875,soft
16,16,5.716734409332275,1676690139.7189555,5900,,,0.7393023371696472,1114.0,245.8333282470703,14.6875,4.466622829437256,0.04875580593943596,0.0037320000119507313,-71.73800659179688,3459.915771484375,soft
17,17,6.088095188140869,1676690140.0903163,6000,0.0,200.0,0.7349278926849365,,,,4.430755138397217,0.08377505093812943,0.0037320000119507313,-90.77839660644533,3827.103271484375,soft
18,18,7.77710223197937,1676690141.779323,6500,0.0,200.0,0.712834894657135,,,,5.139111518859863,0.053873706609010696,0.0037320000119507313,-74.98929595947266,5605.42041015625,soft
19,19,9.105826616287231,1676690143.1080475,6900,,,0.6951162815093994,794.0,246.42857360839844,12.589285850524902,5.297659873962402,0.031152203679084774,0.0037320000119507313,-54.78401184082031,6936.0830078125,soft
20,20,9.46139907836914,1676690143.4636202,7000,0.0,200.0,0.6907418370246887,,,,4.613755226135254,0.060297925025224686,0.0037320000119507313,-79.07232666015625,7250.81494140625,soft
