,_step,_runtime,_timestamp,global_step,eval/mean_reward,eval/mean_ep_length,rollout/exploration_rate,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/loss,train/clip_loss,train/learning_rate,train/bound_violations,rollout/tot_ep_rew_mean,clip_method
0,0,6.02968692779541,1676684999.330762,500,0.0,200.0,0.9803624749183656,,,,,,,,,soft_hard
1,1,7.832925319671631,1676685001.1340003,900,,,0.9645816087722778,434.0,225.0,8.75,,,,,,soft_hard
2,2,8.00433874130249,1676685001.3054135,1000,0.0,200.0,0.9606856107711792,,,,,,,,,soft_hard
3,3,8.271969556808472,1676685001.5730443,1500,0.0,200.0,0.941008687019348,,,,,,,,,soft_hard
4,4,8.373645067214966,1676685001.67472,1900,,,0.9252278208732604,726.0,237.5,16.6875,,,,,,soft_hard
5,5,8.546204090118408,1676685001.847279,2000,0.0,200.0,0.921331822872162,,,,,,,,,soft_hard
6,6,8.812561273574829,1676685002.1136365,2500,0.0,200.0,0.9016549587249756,,,,,,,,,soft_hard
7,7,8.914328575134277,1676685002.2154036,2900,,,0.8858740925788879,919.0,241.6666717529297,21.0,,,,,,soft_hard
8,8,9.082862854003906,1676685002.3839378,3000,0.0,200.0,0.8819780349731445,,,,,,,,,soft_hard
9,9,9.34846019744873,1676685002.6495352,3500,0.0,200.0,0.8623011708259583,,,,,,,,,soft_hard
10,11,9.623789072036743,1676685002.924864,4000,0.0,200.0,0.8426242470741272,,,,,,,,,soft_hard
11,12,9.893748760223389,1676685003.1948235,4500,0.0,200.0,0.8229473829269409,,,,,,,,,soft_hard
12,13,9.99462389945984,1676685003.295699,4900,,,0.8071665167808533,1157.0,245.0,22.125,,,,,,soft_hard
13,14,10.170493364334106,1676685003.4715683,5000,0.0,200.0,0.8032705187797546,,,,,,,,,soft_hard
14,15,12.389124155044556,1676685005.6901991,5500,97.0,200.0,0.7835935950279236,,,,0.0628843829035759,0.0012498705182224512,0.0031840000301599503,-2.4720582962036133,2697.382568359375,soft_hard
