,_step,_runtime,_timestamp,global_step,eval/mean_reward,eval/mean_ep_length,rollout/exploration_rate,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/loss,train/clip_loss,train/learning_rate,train/bound_violations,rollout/tot_ep_rew_mean,clip_method
0,0,5.972306489944458,1676683203.4010775,500,0.0,200.0,0.9803624749183656,,,,,,,,,soft_hard
1,1,7.783425569534302,1676683205.2121966,900,,,0.9645816087722778,434.0,225.0,6.625,,,,,,soft_hard
2,2,7.958157062530518,1676683205.386928,1000,0.0,200.0,0.9606856107711792,,,,,,,,,soft_hard
3,4,8.339462995529175,1676683205.768234,1900,,,0.9252278208732604,722.0,237.5,16.375,,,,,,soft_hard
4,5,8.515249252319336,1676683205.9440205,2000,0.0,200.0,0.921331822872162,,,,,,,,,soft_hard
5,6,8.84588623046875,1676683206.2746572,2500,0.0,200.0,0.9016549587249756,,,,,,,,,soft_hard
6,7,8.955006122589111,1676683206.3837771,2900,,,0.8858740925788879,893.0,241.6666717529297,17.20833396911621,,,,,,soft_hard
7,8,9.124323606491089,1676683206.5530946,3000,0.0,200.0,0.8819780349731445,,,,,,,,,soft_hard
8,9,9.389102458953856,1676683206.8178737,3500,0.0,200.0,0.8623011708259583,,,,,,,,,soft_hard
9,10,9.495996475219728,1676683206.9247675,3900,,,0.8465203046798706,1030.0,243.75,16.5625,,,,,,soft_hard
10,12,9.941749095916748,1676683207.37052,4500,0.0,200.0,0.8229473829269409,,,,,,,,,soft_hard
11,13,10.045119047164915,1676683207.47389,4900,,,0.8071665167808533,1130.0,245.0,19.350000381469727,,,,,,soft_hard
12,14,10.226223230361938,1676683207.6549942,5000,0.0,200.0,0.8032705187797546,,,,,,,,,soft_hard
13,15,12.21034336090088,1676683209.6391144,5500,0.0,200.0,0.7835935950279236,,,,0.10168450325727464,0.0006544113275595009,0.0031840000301599503,-1.7964015007019043,2383.296142578125,soft_hard
14,16,13.609801769256592,1676683211.0385728,5900,,,0.7678127884864807,746.0,245.8333282470703,22.14583396911621,0.04595018923282623,0.002286397386342287,0.0031840000301599503,-3.3513288497924805,4361.50732421875,soft_hard
15,17,14.10612177848816,1676683211.5348928,6000,97.0,200.0,0.7639167308807373,,,,0.03411780297756195,0.0012343089329078794,0.0031840000301599503,-3.044619560241699,4915.1533203125,soft_hard
16,18,17.713261127471924,1676683215.142032,6500,97.0,200.0,0.744239866733551,,,,0.015304574742913246,8.150180292432196e-06,0.0031840000301599503,-0.06641769409179688,7929.88720703125,soft_hard
