,_step,_runtime,_timestamp,global_step,eval/mean_reward,eval/mean_ep_length,rollout/exploration_rate,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/loss,train/clip_loss,train/learning_rate,train/bound_violations,rollout/tot_ep_rew_mean,clip_method
0,0,5.962003707885742,1676682289.8113315,500,0.0,200.0,0.9803624749183656,,,,,,,,,soft_hard
1,1,7.786833763122559,1676682291.6361618,900,,,0.9645816087722778,429.0,225.0,16.875,,,,,,soft_hard
2,2,7.96065354347229,1676682291.8099816,1000,0.0,200.0,0.9606856107711792,,,,,,,,,soft_hard
3,3,8.232502460479736,1676682292.0818305,1500,0.0,200.0,0.941008687019348,,,,,,,,,soft_hard
4,4,8.33859395980835,1676682292.187922,1900,,,0.9252278208732604,716.0,237.5,15.875,,,,,,soft_hard
5,5,8.510910034179688,1676682292.360238,2000,0.0,200.0,0.921331822872162,,,,,,,,,soft_hard
6,6,8.78218388557434,1676682292.631512,2500,0.0,200.0,0.9016549587249756,,,,,,,,,soft_hard
7,7,8.884328842163086,1676682292.733657,2900,,,0.8858740925788879,907.0,241.6666717529297,15.333333015441896,,,,,,soft_hard
8,8,9.062827587127686,1676682292.9121556,3000,0.0,200.0,0.8819780349731445,,,,,,,,,soft_hard
9,9,9.331955909729004,1676682293.181284,3500,0.0,200.0,0.8623011708259583,,,,,,,,,soft_hard
10,10,9.433916807174684,1676682293.2832448,3900,,,0.8465203046798706,1041.0,243.75,14.59375,,,,,,soft_hard
11,11,9.605408430099487,1676682293.4547365,4000,0.0,200.0,0.8426242470741272,,,,,,,,,soft_hard
12,12,9.877768278121948,1676682293.7270963,4500,0.0,200.0,0.8229473829269409,,,,,,,,,soft_hard
13,13,9.997068405151367,1676682293.8463964,4900,,,0.8071665167808533,1137.0,245.0,13.925000190734863,,,,,,soft_hard
14,14,10.167614459991457,1676682294.0169425,5000,0.0,200.0,0.8032705187797546,,,,,,,,,soft_hard
15,15,12.218767404556274,1676682296.0680954,5500,0.0,200.0,0.7835935950279236,,,,0.08645714074373245,0.0021190589759498835,0.0031840000301599503,-4.387694835662842,1835.0035400390625,soft_hard
16,18,17.801218032836914,1676682301.650546,6500,96.0,200.0,0.744239866733551,,,,0.006620170548558235,5.9353715187171474e-05,0.0031840000301599503,-0.2319202423095703,6601.6181640625,soft_hard
17,19,19.269275426864624,1676682303.1186037,6900,,,0.7284590005874634,508.0,246.42857360839844,27.428571701049805,0.00954366009682417,1.758775943017099e-05,0.0031840000301599503,-0.1391925811767578,9100.62109375,soft_hard
18,20,19.82738423347473,1676682303.6767125,7000,97.0,200.0,0.72456294298172,,,,0.009320367127656937,2.3014539692667313e-05,0.0031840000301599503,-0.07969951629638672,9786.3349609375,soft_hard
19,21,23.446653127670288,1676682307.2959812,7500,97.0,200.0,0.7048860788345337,,,,0.002956185955554247,4.899690247839317e-05,0.0031840000301599503,-0.18991374969482425,13425.580078125,soft_hard
20,22,24.92148470878601,1676682308.7708127,7900,,,0.689105212688446,410.0,246.875,35.453125,0.0046674953773617744,1.5985822756192647e-05,0.0031840000301599503,-0.13147735595703125,16701.1171875,soft_hard
21,23,25.48099899291992,1676682309.330327,8000,97.0,200.0,0.6852092146873474,,,,0.001382491667754948,1.406964747729944e-05,0.0031840000301599503,-0.1209249496459961,17587.4453125,soft_hard
22,24,27.550642251968384,1676682311.3999703,8500,97.0,200.0,0.6655322909355164,,,,0.015412434004247189,5.7931963965529576e-05,0.0031840000301599503,-0.3171052932739258,22131.068359375,soft_hard
23,25,29.09168696403503,1676682312.941015,8900,,,0.6497514247894287,380.0,247.22222900390625,39.45833206176758,0.009008574299514294,9.391655476065353e-05,0.0031840000301599503,-0.4436311721801758,25920.103515625,soft_hard
24,27,31.76977252960205,1676682315.6191006,9500,97.0,200.0,0.6261785626411438,,,,0.014871442690491676,2.461286749166902e-05,0.0031840000301599503,-0.1334218978881836,31930.642578125,soft_hard
25,28,33.30209159851074,1676682317.1514196,9900,,,0.6103976964950562,358.0,247.5,42.525001525878906,0.0006832398357801139,2.3625028916285373e-05,0.0031840000301599503,-0.12514591217041016,36062.40625,soft_hard
26,29,33.887994050979614,1676682317.737322,10000,97.0,200.0,0.6065016388893127,,,,0.0002813488827086985,0.0001273387897526845,0.0031840000301599503,-0.5854644775390625,37125.53125,soft_hard
27,30,36.01814913749695,1676682319.8674772,10500,97.0,200.0,0.5868247747421265,,,,0.01811627484858036,0.00010957270569633693,0.0031840000301599503,-0.4277496337890625,42560.23828125,soft_hard
28,31,37.56824517250061,1676682321.4175732,10900,,,0.5710439085960388,341.0,247.7272796630859,46.6363639831543,0.0002795348409563303,6.516264693345875e-05,0.0031840000301599503,-0.26648521423339844,47084.2265625,soft_hard
29,32,38.139243841171265,1676682321.988572,11000,97.0,200.0,0.5671479105949402,,,,0.014114035293459892,7.64456854085438e-05,0.0031840000301599503,-0.3151416778564453,48250.13671875,soft_hard
30,33,40.27046012878418,1676682324.1197882,11500,97.0,200.0,0.5474709868431091,,,,0.0006013854290358722,0.00027340941596776247,0.0031840000301599503,-0.7607278823852539,54202.75390625,soft_hard
31,34,41.85811424255371,1676682325.7074423,11900,,,0.5316901206970215,329.0,247.9166717529297,50.28125,0.0003542753402143717,0.00015769113088026643,0.0031840000301599503,-0.5788698196411133,59132.609375,soft_hard
32,35,42.43568062782288,1676682326.285009,12000,97.0,200.0,0.5277941226959229,,,,0.01442568376660347,6.329258030746132e-05,0.0031840000301599503,-0.3045654296875,60389.640625,soft_hard
33,36,44.55917716026306,1676682328.4085052,12500,97.0,200.0,0.5081172585487366,,,,0.0008957185200415552,0.0005165024194866419,0.0031840000301599503,-0.9351215362548828,66760.4375,soft_hard
