,_step,_runtime,_timestamp,global_step,eval/mean_reward,eval/mean_ep_length,rollout/exploration_rate,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/loss,train/clip_loss,train/learning_rate,train/bound_violations,rollout/tot_ep_rew_mean,clip_method
0,0,1.6064324378967283,1676683433.4318297,500,0.0,200.0,0.9803624749183656,,,,,,,,,soft_hard
1,1,2.0254862308502197,1676683433.8508832,900,,,0.9645816087722778,1819.0,225.0,3.0,,,,,,soft_hard
2,2,2.094513177871704,1676683433.9199102,1000,0.0,200.0,0.9606856107711792,,,,,,,,,soft_hard
3,3,2.1806466579437256,1676683434.0060437,1500,0.0,200.0,0.941008687019348,,,,,,,,,soft_hard
4,4,2.197502851486206,1676683434.0229,1900,,,0.9252278208732604,2849.0,237.5,5.9375,,,,,,soft_hard
5,5,2.3029444217681885,1676683434.1283414,2000,0.0,200.0,0.921331822872162,,,,,,,,,soft_hard
6,6,2.3874030113220215,1676683434.2128,2500,0.0,200.0,0.9016549587249756,,,,,,,,,soft_hard
7,7,2.4043900966644287,1676683434.229787,2900,,,0.8858740925788879,3319.0,241.6666717529297,10.666666984558104,,,,,,soft_hard
8,8,2.471665382385254,1676683434.2970624,3000,0.0,200.0,0.8819780349731445,,,,,,,,,soft_hard
9,9,2.5556819438934326,1676683434.381079,3500,0.0,200.0,0.8623011708259583,,,,,,,,,soft_hard
10,10,2.5726125240325928,1676683434.3980095,3900,,,0.8465203046798706,3742.0,243.75,12.90625,,,,,,soft_hard
11,11,2.640315532684326,1676683434.4657123,4000,0.0,200.0,0.8426242470741272,,,,,,,,,soft_hard
12,12,2.7242259979248047,1676683434.549623,4500,0.0,200.0,0.8229473829269409,,,,,,,,,soft_hard
13,13,2.741240978240967,1676683434.566638,4900,,,0.8071665167808533,4047.0,245.0,13.100000381469728,,,,,,soft_hard
14,14,2.8087620735168457,1676683434.634159,5000,0.0,200.0,0.8032705187797546,,,,,,,,,soft_hard
15,15,3.5464611053466797,1676683435.371858,5500,97.0,200.0,0.7835935950279236,,,,0.07718288153409958,0.00022651201288681477,0.0031840000301599503,-1.3218121528625488,1665.1954345703125,soft_hard
16,17,4.748597145080566,1676683436.5739942,6000,97.0,200.0,0.7639167308807373,,,,0.05936400592327118,1.408750449627405e-05,0.0031840000301599503,-0.06235504150390625,3665.092529296875,soft_hard
17,18,5.497156381607056,1676683437.3225534,6500,97.0,200.0,0.744239866733551,,,,0.03140419349074364,7.488366009056335e-06,0.0031840000301599503,-0.06429290771484375,6336.14404296875,soft_hard
18,19,6.0447306632995605,1676683437.8701277,6900,,,0.7284590005874634,1528.0,246.42857360839844,29.73214340209961,0.019141828641295433,0.0,0.0031840000301599503,0.0,8939.5986328125,soft_hard
19,20,6.213774919509888,1676683438.039172,7000,97.0,200.0,0.72456294298172,,,,0.01903626322746277,8.187043931684457e-06,0.0031840000301599503,-0.05217456817626953,9682.9013671875,soft_hard
20,21,6.966872453689575,1676683438.7922697,7500,97.0,200.0,0.7048860788345337,,,,0.0033594302367419004,8.413627801928669e-05,0.0031840000301599503,-0.2417278289794922,13550.6435546875,soft_hard
21,22,7.540353775024414,1676683439.3657508,7900,,,0.689105212688446,1314.0,246.875,34.828125,0.0007510920986533165,5.8281479141442105e-05,0.0031840000301599503,-0.2751493453979492,16878.681640625,soft_hard
22,23,7.70649003982544,1676683439.531887,8000,97.0,200.0,0.6852092146873474,,,,0.002294818172231317,6.203719385666773e-05,0.0031840000301599503,-0.2218589782714844,17749.384765625,soft_hard
23,25,8.986752033233643,1676683440.812149,8900,,,0.6497514247894287,1193.0,247.22222900390625,37.58333206176758,0.00030392457847483456,2.2714037186233327e-05,0.0031840000301599503,-0.1403970718383789,25901.3984375,soft_hard
24,26,9.153226613998411,1676683440.9786236,9000,97.0,200.0,0.6458554267883301,,,,0.01498194970190525,9.383896394865587e-05,0.0031840000301599503,-0.3179149627685547,26840.982421875,soft_hard
25,27,9.89458417892456,1676683441.7199812,9500,97.0,200.0,0.6261785626411438,,,,0.000256382510997355,0.00013326705084182322,0.0031840000301599503,-0.4987373352050781,31654.251953125,soft_hard
26,28,10.464619636535645,1676683442.290017,9900,,,0.6103976964950562,1108.0,247.5,42.23749923706055,0.0003790644695982337,6.8661269324366e-05,0.0031840000301599503,-0.23269081115722656,35695.953125,soft_hard
27,29,10.630936622619627,1676683442.4563336,10000,97.0,200.0,0.6065016388893127,,,,0.0003303683770354837,0.00018318726506549865,0.0031840000301599503,-0.5855064392089844,36751.890625,soft_hard
28,30,11.330726146697998,1676683443.1561232,10500,97.0,200.0,0.5868247747421265,,,,0.00019845087081193924,8.645608613733202e-05,0.0031840000301599503,-0.3363046646118164,42148.44921875,soft_hard
29,31,11.900228261947632,1676683443.7256253,10900,,,0.5710439085960388,1051.0,247.7272796630859,45.875,0.00044937405618838966,6.407080218195915e-05,0.0031840000301599503,-0.31335926055908203,46622.42578125,soft_hard
30,33,12.816018342971802,1676683444.6414154,11500,97.0,200.0,0.5474709868431091,,,,0.00045200801105238497,6.366395973600447e-05,0.0031840000301599503,-0.30729007720947266,53634.48046875,soft_hard
31,35,13.560639381408691,1676683445.3860364,12000,97.0,200.0,0.5277941226959229,,,,0.0005304372753016651,0.0001556117058498785,0.0031840000301599503,-0.5620861053466797,59728.8359375,soft_hard
32,36,14.270116567611694,1676683446.0955136,12500,97.0,200.0,0.5081172585487366,,,,0.013861287385225296,6.890973600093275e-05,0.0031840000301599503,-0.27300262451171875,66025.828125,soft_hard
33,37,14.847177267074583,1676683446.6725743,12900,,,0.49233636260032654,968.0,248.0769195556641,52.30769348144531,0.0009264055988751352,0.00011789817654062064,0.0031840000301599503,-0.40040111541748047,71187.40625,soft_hard
34,38,15.013551235198976,1676683446.8389482,13000,97.0,200.0,0.4884403347969055,,,,0.0006570785189978778,0.0002228704106528312,0.0031840000301599503,-0.5831451416015625,72495.1015625,soft_hard
35,39,15.76024341583252,1676683447.5856404,13500,97.0,200.0,0.4687634706497192,,,,0.0005131304496899247,7.470099080819637e-05,0.0031840000301599503,-0.2684803009033203,79152.8359375,soft_hard
36,40,16.297752618789673,1676683448.1231496,13900,,,0.4529826045036316,941.0,248.2142791748047,55.74106979370117,0.0005948971374891698,0.00019436476577538997,0.0031840000301599503,-0.7696933746337891,84626.21875,soft_hard
37,41,16.467092514038086,1676683448.2924895,14000,97.0,200.0,0.44908657670021057,,,,0.0006201972719281912,7.421850023092702e-05,0.0031840000301599503,-0.28537464141845703,86019.7421875,soft_hard
38,42,17.214492321014404,1676683449.039889,14500,97.0,200.0,0.4294096827507019,,,,0.0006254850886762142,8.244650962296873e-05,0.0031840000301599503,-0.3557472229003906,93061.6328125,soft_hard
