,_step,_runtime,_timestamp,global_step,eval/mean_reward,eval/mean_ep_length,rollout/exploration_rate,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/loss,train/clip_loss,train/learning_rate,train/bound_violations,rollout/tot_ep_rew_mean,clip_method
0,0,1.6368534564971924,1676686044.1908395,500,0.0,200.0,0.9803624749183656,,,,,,,,,soft_hard
1,2,2.134927034378052,1676686044.688913,1000,0.0,200.0,0.9606856107711792,,,,,,,,,soft_hard
2,3,2.220881938934326,1676686044.774868,1500,0.0,200.0,0.941008687019348,,,,,,,,,soft_hard
3,4,2.237555503845215,1676686044.7915416,1900,,,0.9252278208732604,2763.0,237.5,13.75,,,,,,soft_hard
4,5,2.3073291778564453,1676686044.8613153,2000,0.0,200.0,0.921331822872162,,,,,,,,,soft_hard
5,6,2.383434295654297,1676686044.9374204,2500,0.0,200.0,0.9016549587249756,,,,,,,,,soft_hard
6,7,2.4001119136810303,1676686044.954098,2900,,,0.8858740925788879,3411.0,241.6666717529297,13.666666984558104,,,,,,soft_hard
7,8,2.4668047428131104,1676686045.0207908,3000,0.0,200.0,0.8819780349731445,,,,,,,,,soft_hard
8,9,2.550574779510498,1676686045.1045609,3500,0.0,200.0,0.8623011708259583,,,,,,,,,soft_hard
9,10,2.567209243774414,1676686045.1211953,3900,,,0.8465203046798706,3833.0,243.75,12.25,,,,,,soft_hard
10,11,2.6337344646453857,1676686045.1877203,4000,0.0,200.0,0.8426242470741272,,,,,,,,,soft_hard
11,12,2.7166240215301514,1676686045.27061,4500,0.0,200.0,0.8229473829269409,,,,,,,,,soft_hard
12,13,2.733138084411621,1676686045.2871242,4900,,,0.8071665167808533,4141.0,245.0,12.475000381469728,,,,,,soft_hard
13,14,2.79976224899292,1676686045.3537483,5000,0.0,200.0,0.8032705187797546,,,,,,,,,soft_hard
14,15,3.4997596740722656,1676686046.0537455,5500,96.5,200.0,0.7835935950279236,,,,0.055930472910404205,0.0007859530742280185,0.0031840000301599503,-2.5086050033569336,1795.8258056640625,soft_hard
15,16,4.422070741653442,1676686046.9760568,5900,,,0.7678127884864807,2054.0,245.8333282470703,20.14583396911621,0.04805062338709831,0.0005414676270447671,0.0031840000301599503,-0.9049453735351562,3590.341796875,soft_hard
16,17,4.589878559112549,1676686047.1438646,6000,97.0,200.0,0.7639167308807373,,,,0.04657697305083275,0.0001593139604665339,0.0031840000301599503,-0.3631968498229981,4093.987548828125,soft_hard
17,18,5.733389377593994,1676686048.2873757,6500,97.0,200.0,0.744239866733551,,,,0.036478202790021896,5.139267523190938e-05,0.0031840000301599503,-0.11909818649291992,6831.10595703125,soft_hard
18,20,6.468308687210083,1676686049.0222948,7000,97.0,200.0,0.72456294298172,,,,0.02453998476266861,5.511792915058322e-05,0.0031840000301599503,-0.25340938568115234,10081.658203125,soft_hard
19,21,7.17759895324707,1676686049.731585,7500,97.0,200.0,0.7048860788345337,,,,0.004761075135320425,1.4001808267494198e-05,0.0031840000301599503,-0.0748739242553711,13876.830078125,soft_hard
20,22,7.720832824707031,1676686050.274819,7900,,,0.689105212688446,1280.0,246.875,36.03125,0.003938863519579172,0.00010300630674464628,0.0031840000301599503,-0.2918672561645508,17211.669921875,soft_hard
21,23,7.8869946002960205,1676686050.440981,8000,97.0,200.0,0.6852092146873474,,,,0.002084299921989441,8.998700650408864e-05,0.0031840000301599503,-0.28356075286865234,18112.451171875,soft_hard
22,24,8.588444471359253,1676686051.1424303,8500,97.0,200.0,0.6655322909355164,,,,0.0035072884056717157,5.968059213046217e-06,0.0031840000301599503,-0.04058551788330078,22756.4140625,soft_hard
23,25,9.12460207939148,1676686051.6785882,8900,,,0.6497514247894287,1174.0,247.22222900390625,39.83333206176758,0.0007063358789309859,3.8859441701788455e-05,0.0031840000301599503,-0.25885963439941406,26620.029296875,soft_hard
24,26,9.244348287582396,1676686051.7983344,9000,97.0,200.0,0.6458554267883301,,,,0.00029505224665626884,7.661923882551491e-05,0.0031840000301599503,-0.4003000259399414,27615.861328125,soft_hard
25,27,9.705815315246582,1676686052.2598014,9500,97.0,200.0,0.6261785626411438,,,,0.0007458903128281236,3.430459400988184e-05,0.0031840000301599503,-0.1937084197998047,32719.779296875,soft_hard
26,28,10.052990913391112,1676686052.606977,9900,,,0.6103976964950562,1164.0,247.5,43.32500076293945,0.0004106652340851724,0.00010874565487029032,0.0031840000301599503,-0.48720455169677734,36966.40625,soft_hard
27,30,10.631104230880736,1676686053.1850903,10500,97.0,200.0,0.5868247747421265,,,,0.013998482376337051,7.743309834040701e-05,0.0031840000301599503,-0.2973184585571289,43598.92578125,soft_hard
