,_step,_runtime,_timestamp,global_step,eval/mean_reward,eval/mean_ep_length,rollout/exploration_rate,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/loss,train/clip_loss,train/learning_rate,train/bound_violations,rollout/tot_ep_rew_mean,clip_method
0,0,0.5843777656555176,1676688562.172299,500,0.0,200.0,0.9803624749183656,,,,,,,,,soft_hard
1,1,1.0726516246795654,1676688562.6605723,900,,,0.9645816087722778,1486.0,225.0,12.75,,,,,,soft_hard
2,2,1.1677379608154297,1676688562.7556589,1000,0.0,200.0,0.9606856107711792,,,,,,,,,soft_hard
3,3,1.740591526031494,1676688563.3285124,1500,0.0,200.0,0.941008687019348,,,,,,,,,soft_hard
4,6,1.970613956451416,1676688563.5585349,2500,0.0,200.0,0.9016549587249756,,,,,,,,,soft_hard
5,7,1.9905462265014648,1676688563.5784671,2900,,,0.8858740925788879,1903.0,241.6666717529297,12.333333015441896,,,,,,soft_hard
6,8,2.0874476432800293,1676688563.6753683,3000,0.0,200.0,0.8819780349731445,,,,,,,,,soft_hard
7,9,2.2030484676361084,1676688563.7909694,3500,0.0,200.0,0.8623011708259583,,,,,,,,,soft_hard
8,10,2.223259687423706,1676688563.8111806,3900,,,0.8465203046798706,2221.0,243.75,12.375,,,,,,soft_hard
9,11,2.3202121257781982,1676688563.908133,4000,0.0,200.0,0.8426242470741272,,,,,,,,,soft_hard
10,13,2.4559309482574463,1676688564.043852,4900,,,0.8071665167808533,2463.0,245.0,13.875,,,,,,soft_hard
11,14,2.55293607711792,1676688564.140857,5000,0.0,200.0,0.8032705187797546,,,,,,,,,soft_hard
12,15,4.166011810302734,1676688565.7539327,5500,0.0,200.0,0.7835935950279236,,,,0.06768923997879028,0.006912063807249069,0.0031840000301599503,-7.016546249389648,1712.613037109375,soft_hard
13,16,5.430460214614868,1676688567.018381,5900,,,0.7678127884864807,1188.0,245.8333282470703,16.95833396911621,0.04620794206857681,0.0011205471819266677,0.0031840000301599503,-3.107685089111328,3196.308837890625,soft_hard
14,19,9.241902589797974,1676688570.8298235,6900,,,0.7284590005874634,786.0,246.42857360839844,25.25,0.018119504675269127,0.0006756510119885206,0.0031840000301599503,-0.8493595123291016,8335.673828125,soft_hard
15,20,9.602933168411257,1676688571.190854,7000,97.0,200.0,0.72456294298172,,,,0.05681641772389412,0.000888693262822926,0.0031840000301599503,-1.8227615356445312,8966.923828125,soft_hard
16,21,11.198894023895264,1676688572.786815,7500,97.0,200.0,0.7048860788345337,,,,0.02092880941927433,0.0005983517039567232,0.0031840000301599503,-1.4806194305419922,12314.466796875,soft_hard
17,22,12.427627325057983,1676688574.0155482,7900,,,0.689105212688446,660.0,246.875,32.609375,0.01652238517999649,0.00010562572424532846,0.0031840000301599503,-0.4325103759765625,15302.1279296875,soft_hard
18,23,12.789695739746094,1676688574.3776166,8000,97.0,200.0,0.6852092146873474,,,,0.006047379225492477,0.00032162171555683017,0.0031840000301599503,-0.6821823120117188,16117.3623046875,soft_hard
19,26,15.980211734771729,1676688577.5681326,9000,97.0,200.0,0.6458554267883301,,,,0.015209107659757136,0.000163840944878757,0.0031840000301599503,-0.4275646209716797,25059.318359375,soft_hard
20,27,17.585413217544556,1676688579.173334,9500,97.0,200.0,0.6261785626411438,,,,0.002805421594530344,0.00010248574108118191,0.0031840000301599503,-0.3712329864501953,30050.291015625,soft_hard
21,28,18.83082604408264,1676688580.418747,9900,,,0.6103976964950562,539.0,247.5,44.5,0.0021176531445235014,0.00025488005485385656,0.0031840000301599503,-0.5488147735595703,34313.1796875,soft_hard
22,29,19.194889783859253,1676688580.7828107,10000,97.0,200.0,0.6065016388893127,,,,0.001642837654799223,0.00010548035788815469,0.0031840000301599503,-0.29320335388183594,35425.6796875,soft_hard
23,30,20.799034595489506,1676688582.3869555,10500,97.0,200.0,0.5868247747421265,,,,0.0014067550655454395,0.0002564660389907658,0.0031840000301599503,-0.6361370086669922,41115.1171875,soft_hard
24,32,22.40827226638794,1676688583.9961932,11000,97.0,200.0,0.5671479105949402,,,,0.004086967557668686,0.0004302991437725723,0.0031840000301599503,-1.0024776458740234,47087.609375,soft_hard
25,34,25.27194666862488,1676688586.8598676,11900,,,0.5316901206970215,479.0,247.9166717529297,52.5625,0.002179581206291914,0.0004494558088481426,0.0031840000301599503,-0.6782913208007812,58461.43359375,soft_hard
