,_step,_runtime,_timestamp,global_step,eval/mean_reward,eval/mean_ep_length,rollout/exploration_rate,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/loss,train/clip_loss,train/learning_rate,train/bound_violations,rollout/tot_ep_rew_mean,clip_method
0,0,0.5426831245422363,1676689834.302515,500,0.0,200.0,0.9803624749183656,,,,,,,,,soft_hard
1,1,1.1775033473968506,1676689834.9373353,900,,,0.9645816087722778,1183.0,225.0,28.75,,,,,,soft_hard
2,2,1.277385711669922,1676689835.0372176,1000,0.0,200.0,0.9606856107711792,,,,,,,,,soft_hard
3,3,1.396979808807373,1676689835.1568117,1500,0.0,200.0,0.941008687019348,,,,,,,,,soft_hard
4,4,1.4165995121002195,1676689835.1764314,1900,,,0.9252278208732604,1900.0,237.5,27.125,,,,,,soft_hard
5,5,1.5181596279144287,1676689835.2779915,2000,0.0,200.0,0.921331822872162,,,,,,,,,soft_hard
6,6,1.6382877826690674,1676689835.3981197,2500,0.0,200.0,0.9016549587249756,,,,,,,,,soft_hard
7,7,1.6583905220031738,1676689835.4182224,2900,,,0.8858740925788879,2336.0,241.6666717529297,19.41666603088379,,,,,,soft_hard
8,8,1.757756233215332,1676689835.517588,3000,0.0,200.0,0.8819780349731445,,,,,,,,,soft_hard
9,9,1.8770298957824707,1676689835.6368618,3500,0.0,200.0,0.8623011708259583,,,,,,,,,soft_hard
10,10,1.896770715713501,1676689835.6566026,3900,,,0.8465203046798706,2635.0,243.75,19.78125,,,,,,soft_hard
11,11,1.9975950717926023,1676689835.757427,4000,0.0,200.0,0.8426242470741272,,,,,,,,,soft_hard
12,12,2.1172757148742676,1676689835.8771076,4500,0.0,200.0,0.8229473829269409,,,,,,,,,soft_hard
13,13,2.1372873783111572,1676689835.8971193,4900,,,0.8071665167808533,2848.0,245.0,20.549999237060547,,,,,,soft_hard
14,14,2.238704204559326,1676689835.998536,5000,0.0,200.0,0.8032705187797546,,,,,,,,,soft_hard
15,15,3.917848587036133,1676689837.6776805,5500,0.0,200.0,0.7835935950279236,,,,0.06504162400960922,0.0017573441145941615,0.0031840000301599503,-3.579378128051758,2733.27587890625,soft_hard
16,16,5.228414058685303,1676689838.988246,5900,,,0.7678127884864807,1226.0,245.8333282470703,27.4375,0.07482099533081055,0.002194109605625272,0.0031840000301599503,-4.847524642944336,5292.8115234375,soft_hard
17,17,5.611114978790283,1676689839.370947,6000,96.5,200.0,0.7639167308807373,,,,0.05138953775167465,0.0031990185379981995,0.0031840000301599503,-6.053266525268555,5978.7490234375,soft_hard
