,_step,_runtime,time/fps,_timestamp,global_step,rollout/ep_len_mean,rollout/ep_rew_mean,rollout/exploration_rate,eval/mean_reward,eval/mean_ep_length,train/loss,train/clip_loss,train/learning_rate,train/bound_violations,rollout/tot_ep_rew_mean,clip_method
0,1,1.1202034950256348,1222.0,1676689194.0634334,900,225.0,18.875,0.9645816087722778,,,,,,,,soft_hard
1,2,1.222445011138916,,1676689194.165675,1000,,,0.9606856107711792,0.0,200.0,,,,,,soft_hard
2,4,1.359551191329956,1946.0,1676689194.302781,1900,237.5,16.25,0.9252278208732604,,,,,,,,soft_hard
3,5,1.4482982158660889,,1676689194.391528,2000,,,0.921331822872162,0.0,200.0,,,,,,soft_hard
4,6,1.5636520385742188,,1676689194.506882,2500,,,0.9016549587249756,0.0,200.0,,,,,,soft_hard
5,7,1.5821154117584229,2419.0,1676689194.525345,2900,241.6666717529297,15.25,0.8858740925788879,,,,,,,,soft_hard
6,9,1.7967100143432615,,1676689194.73994,3500,,,0.8623011708259583,0.0,200.0,,,,,,soft_hard
7,11,1.9146997928619385,,1676689194.8579297,4000,,,0.8426242470741272,0.0,200.0,,,,,,soft_hard
8,12,2.0315911769866943,,1676689194.974821,4500,,,0.8229473829269409,0.0,200.0,,,,,,soft_hard
9,13,2.050573348999023,2939.0,1676689194.9938033,4900,245.0,16.25,0.8071665167808533,,,,,,,,soft_hard
10,14,2.1502366065979004,,1676689195.0934663,5000,,,0.8032705187797546,0.0,200.0,,,,,,soft_hard
11,15,3.8221347332000737,,1676689196.7653646,5500,,,0.7835935950279236,0.0,200.0,0.06677421182394028,0.0012176992604508996,0.0031840000301599503,-2.9865951538085938,2128.582275390625,soft_hard
12,16,5.127748727798462,1243.0,1676689198.0709786,5900,245.8333282470703,25.125,0.7678127884864807,,,0.05935737118124962,0.004734897520393133,0.0031840000301599503,-5.609785079956055,4271.71484375,soft_hard
13,17,5.509852170944214,,1676689198.453082,6000,,,0.7639167308807373,97.0,200.0,0.04273570328950882,0.00030886370223015547,0.0031840000301599503,-0.33107757568359375,4899.83984375,soft_hard
14,18,7.879435300827026,,1676689200.8226652,6500,,,0.744239866733551,97.0,200.0,0.04469556733965874,0.0010750233195722103,0.0031840000301599503,-1.3946266174316406,8203.1279296875,soft_hard
15,19,9.195210456848145,783.0,1676689202.1384404,6900,246.42857360839844,31.660715103149418,0.7284590005874634,,,0.032486993819475174,0.0005800226354040205,0.0031840000301599503,-1.4703254699707031,11134.5380859375,soft_hard
16,21,11.281461715698242,,1676689204.2246916,7500,,,0.7048860788345337,97.0,200.0,0.010770811699330808,0.0005477173253893852,0.0031840000301599503,-1.229043960571289,16141.0458984375,soft_hard
17,22,12.582757949829102,647.0,1676689205.525988,7900,246.875,37.75,0.689105212688446,,,0.008128191344439983,0.00010481843492016196,0.0031840000301599503,-0.2678108215332031,19831.26171875,soft_hard
18,23,12.966376066207886,,1676689205.909606,8000,,,0.6852092146873474,97.0,200.0,0.004432660527527332,0.00014385840040631592,0.0031840000301599503,-0.31735801696777344,20775.01171875,soft_hard
19,24,14.665448427200316,,1676689207.6086783,8500,,,0.6655322909355164,97.0,200.0,0.002205401426181197,0.0002874764031730592,0.0031840000301599503,-0.866729736328125,25591.587890625,soft_hard
20,25,15.977734088897703,570.0,1676689208.920964,8900,247.22222900390625,42.77777862548828,0.6497514247894287,,,0.0011635127011686563,0.00019936321768909693,0.0031840000301599503,-0.5398406982421875,29648.900390625,soft_hard
21,26,16.358445405960083,,1676689209.301675,9000,,,0.6458554267883301,97.0,200.0,0.0014370066346600652,0.0002752354193944484,0.0031840000301599503,-0.6123542785644531,30718.34375,soft_hard
22,27,18.046053171157837,,1676689210.989283,9500,,,0.6261785626411438,97.0,200.0,0.0013092283625155687,0.0004844714130740613,0.0031840000301599503,-1.072967529296875,36211.5625,soft_hard
23,28,19.341200351715088,522.0,1676689212.2844305,9900,247.5,46.88750076293945,0.6103976964950562,,,0.0052482616156339645,0.0005719524342566729,0.0031840000301599503,-1.222330093383789,40791.16796875,soft_hard
24,29,19.715142726898193,,1676689212.6583726,10000,,,0.6065016388893127,97.0,200.0,0.0023051465395838022,0.00011606717453105377,0.0031840000301599503,-0.2602081298828125,41963.35546875,soft_hard
25,30,21.408228874206543,,1676689214.3514588,10500,,,0.5868247747421265,97.0,200.0,0.0010330528020858765,0.0004975346382707357,0.0031840000301599503,-0.8118972778320312,47937.8828125,soft_hard
26,31,22.710626125335693,488.0,1676689215.653856,10900,247.7272796630859,50.21590805053711,0.5710439085960388,,,0.0013736446853727102,0.0006418658304028213,0.0031840000301599503,-1.0133342742919922,52854.80078125,soft_hard
27,32,23.08710813522339,,1676689216.030338,11000,,,0.5671479105949402,97.0,200.0,0.014637922868132591,0.00045590056106448174,0.0031840000301599503,-0.9075241088867188,54110.19921875,soft_hard
28,33,24.778123140335083,,1676689217.721353,11500,,,0.5474709868431091,97.0,200.0,0.02966507524251938,0.0006076983409002423,0.0031840000301599503,-0.82415771484375,60503.796875,soft_hard
