,_step,_runtime,_timestamp,global_step,eval/mean_reward,eval/mean_ep_length,rollout/exploration_rate,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/loss,train/clip_loss,train/learning_rate,train/bound_violations,rollout/tot_ep_rew_mean,clip_method
0,0,0.48064160346984863,1676685942.3440986,500,0.0,200.0,0.9803624749183656,,,,,,,,,soft_hard
1,1,0.9862520694732666,1676685942.849709,900,,,0.9645816087722778,1486.0,225.0,15.25,,,,,,soft_hard
2,2,1.080918312072754,1676685942.9443753,1000,0.0,200.0,0.9606856107711792,,,,,,,,,soft_hard
3,3,1.1931350231170654,1676685943.056592,1500,0.0,200.0,0.941008687019348,,,,,,,,,soft_hard
4,4,1.2120468616485596,1676685943.0755038,1900,,,0.9252278208732604,2285.0,237.5,17.1875,,,,,,soft_hard
5,5,1.3066835403442385,1676685943.1701405,2000,0.0,200.0,0.921331822872162,,,,,,,,,soft_hard
6,6,1.418718338012695,1676685943.2821753,2500,0.0,200.0,0.9016549587249756,,,,,,,,,soft_hard
7,8,1.531580924987793,1676685943.395038,3000,0.0,200.0,0.8819780349731445,,,,,,,,,soft_hard
8,9,1.6438560485839844,1676685943.507313,3500,0.0,200.0,0.8623011708259583,,,,,,,,,soft_hard
9,10,1.6623575687408447,1676685943.5258143,3900,,,0.8465203046798706,3043.0,243.75,20.375,,,,,,soft_hard
10,11,1.7579610347747805,1676685943.621418,4000,0.0,200.0,0.8426242470741272,,,,,,,,,soft_hard
11,12,1.870107650756836,1676685943.7335646,4500,0.0,200.0,0.8229473829269409,,,,,,,,,soft_hard
12,13,1.888899087905884,1676685943.752356,4900,,,0.8071665167808533,3249.0,245.0,19.174999237060547,,,,,,soft_hard
13,14,1.989175796508789,1676685943.8526328,5000,0.0,200.0,0.8032705187797546,,,,,,,,,soft_hard
14,15,3.5831291675567627,1676685945.446586,5500,97.0,200.0,0.7835935950279236,,,,0.09086719900369644,0.0010205311700701714,0.0031840000301599503,-2.1882362365722656,2375.289306640625,soft_hard
15,16,5.436028718948364,1676685947.2994857,5900,,,0.7678127884864807,1167.0,245.8333282470703,21.58333396911621,0.04791342467069626,0.001867839484475553,0.0031840000301599503,-4.688282012939453,4372.0283203125,soft_hard
16,17,5.802711248397827,1676685947.6661682,6000,97.0,200.0,0.7639167308807373,,,,0.043037667870521545,0.0003201088111381978,0.0031840000301599503,-0.9081878662109376,4911.61181640625,soft_hard
17,18,7.418702363967896,1676685949.282159,6500,97.0,200.0,0.744239866733551,,,,0.06101183593273163,0.0008210543892346323,0.0031840000301599503,-1.810995101928711,7812.18212890625,soft_hard
18,19,8.673680305480957,1676685950.5371373,6900,,,0.7284590005874634,832.0,246.42857360839844,28.714284896850582,0.05614033341407776,0.0011575280223041773,0.0031840000301599503,-2.165489196777344,10477.1748046875,soft_hard
19,20,9.03335738182068,1676685950.8968143,7000,97.0,200.0,0.72456294298172,,,,0.028527893126010895,0.000632086128462106,0.0031840000301599503,-1.1018180847167969,11195.0322265625,soft_hard
20,21,10.64381504058838,1676685952.507272,7500,97.0,200.0,0.7048860788345337,,,,0.025142239406704903,2.995424256369006e-05,0.0031840000301599503,-0.14826583862304688,14880.74609375,soft_hard
21,22,11.88362979888916,1676685953.7470868,7900,,,0.689105212688446,686.0,246.875,34.140625,0.030410973355174065,0.0004718147683888674,0.0031840000301599503,-1.011823654174805,18086.392578125,soft_hard
22,23,12.242997884750366,1676685954.1064548,8000,97.0,200.0,0.6852092146873474,,,,0.0170300155878067,0.0007186154834926128,0.0031840000301599503,-1.049457550048828,18939.908203125,soft_hard
23,24,13.835669040679932,1676685955.699126,8500,97.0,200.0,0.6655322909355164,,,,0.01634519174695015,0.0007064278470352292,0.0031840000301599503,-1.041036605834961,23363.771484375,soft_hard
24,25,15.088953971862791,1676685956.952411,8900,,,0.6497514247894287,605.0,247.22222900390625,39.56944274902344,0.01242342684417963,4.44265861005988e-05,0.0031840000301599503,-0.2220020294189453,27180.599609375,soft_hard
25,26,15.445899724960327,1676685957.3093567,9000,97.0,200.0,0.6458554267883301,,,,0.04174648970365524,0.00020316900918260217,0.0031840000301599503,-0.5797748565673828,28169.8359375,soft_hard
26,27,17.046667098999023,1676685958.910124,9500,97.0,200.0,0.6261785626411438,,,,0.0019030587282031777,0.00022866256767883897,0.0031840000301599503,-0.4550762176513672,33274.72265625,soft_hard
27,28,18.286158323287964,1676685960.1496153,9900,,,0.6103976964950562,552.0,247.5,44.42499923706055,0.01119109522551298,0.00011415422341087832,0.0031840000301599503,-0.36716270446777344,37579.73046875,soft_hard
28,29,18.644744157791138,1676685960.5082011,10000,97.0,200.0,0.6065016388893127,,,,0.0016459597973152995,0.0003418918058741838,0.0031840000301599503,-0.7441940307617188,38690.35546875,soft_hard
29,30,20.24560856819153,1676685962.1090655,10500,97.0,200.0,0.5868247747421265,,,,0.005961332004517317,4.2102154111489654e-05,0.0031840000301599503,-0.1414356231689453,44346.47265625,soft_hard
30,31,21.48275685310364,1676685963.3462138,10900,,,0.5710439085960388,516.0,247.7272796630859,48.28409194946289,0.00176185742020607,3.2887543056858703e-05,0.0031840000301599503,-0.12050437927246094,49045.1015625,soft_hard
31,32,21.84384799003601,1676685963.707305,11000,97.0,200.0,0.5671479105949402,,,,0.0016151843592524529,0.0002277815801789984,0.0031840000301599503,-0.4268016815185547,50252.203125,soft_hard
32,34,24.691396713256836,1676685966.5548537,11900,,,0.5316901206970215,489.0,247.9166717529297,51.94791793823242,0.001383923226967454,0.0005536354146897793,0.0031840000301599503,-1.068193435668945,61475.41796875,soft_hard
33,36,26.655975341796875,1676685968.5194323,12500,97.0,200.0,0.5081172585487366,,,,0.0013284769374877214,0.0007974688778631389,0.0031840000301599503,-1.6003074645996094,69382.546875,soft_hard
34,39,29.866726398468018,1676685971.7301834,13500,97.0,200.0,0.4687634706497192,,,,0.0013747442280873656,0.0006255549378693104,0.0031840000301599503,-1.0422630310058594,83235.8984375,soft_hard
35,40,31.11823844909668,1676685972.9816954,13900,,,0.4529826045036316,452.0,248.2142791748047,58.26785659790039,0.0015596295706927776,0.00032226095208898187,0.0031840000301599503,-0.8022975921630859,88978.109375,soft_hard
36,41,31.481324434280396,1676685973.3447814,14000,97.0,200.0,0.44908657670021057,,,,0.0012422315776348114,0.0007839430472813547,0.0031840000301599503,-1.631826400756836,90434.8046875,soft_hard
37,43,34.31613278388977,1676685976.1795895,14900,,,0.41362884640693665,439.0,248.3333282470703,60.85833358764648,0.0010899363551288843,0.00039353189640678465,0.0031840000301599503,-0.9025554656982422,103804.609375,soft_hard
38,44,34.67522048950195,1676685976.5386777,15000,97.0,200.0,0.4097328186035156,,,,0.0016744907479733229,0.0007102256640791893,0.0031840000301599503,-1.322343826293945,105326.0703125,soft_hard
39,48,39.45389199256897,1676685981.317349,16500,97.0,200.0,0.350702166557312,,,,0.00276402966119349,0.0015213674632832408,0.0031840000301599503,-2.045757293701172,128908.828125,soft_hard
40,49,40.69175100326538,1676685982.555208,16900,,,0.33492130041122437,419.0,248.5294189453125,65.95587921142578,0.0014704345958307383,0.0008296764572151005,0.0031840000301599503,-1.33856201171875,135426.15625,soft_hard
41,50,41.05169892311096,1676685982.915156,17000,97.0,200.0,0.33102527260780334,,,,0.000796222360804677,0.0003186723915860057,0.0031840000301599503,-0.5136737823486328,137075.046875,soft_hard
42,51,42.63542604446411,1676685984.498883,17500,97.0,200.0,0.3113483786582947,,,,0.0012839669361710548,0.0005471765180118382,0.0031840000301599503,-0.9732036590576172,145385.34375,soft_hard
43,53,44.24257278442383,1676685986.1060295,18000,97.0,200.0,0.291671484708786,,,,0.0024178631138056517,0.0005256281001493335,0.0031840000301599503,-1.1089973449707031,153834.046875,soft_hard
44,54,45.85336923599243,1676685987.7168262,18500,97.0,200.0,0.27199462056159973,,,,0.0032691413071006536,0.0008188782376237214,0.0031840000301599503,-1.3098411560058594,162426.375,soft_hard
45,55,47.09162163734436,1676685988.9550786,18900,,,0.2562137544155121,404.0,248.6842041015625,70.33552551269531,0.03404835984110832,0.0005025906721130013,0.0031840000301599503,-0.8048572540283203,169393.5625,soft_hard
46,56,47.45438003540039,1676685989.317837,19000,97.0,200.0,0.25231772661209106,,,,0.004006305709481239,0.0007986599812284112,0.0031840000301599503,-1.384695053100586,171151.953125,soft_hard
47,57,49.047781229019165,1676685990.9112382,19500,97.0,200.0,0.2326408475637436,,,,0.004362023901194334,0.00019083447114098817,0.0031840000301599503,-0.5559444427490234,180001.421875,soft_hard
48,59,50.375685930252075,1676685992.239143,20000,97.0,200.0,0.21296395361423492,,,,0.002606399357318878,0.00014173222007229924,0.0031840000301599503,-0.4249706268310547,188973.03125,soft_hard
49,60,51.73426556587219,1676685993.5977223,20500,97.0,200.0,0.19328707456588745,,,,0.0035802810452878475,0.0007301121950149536,0.0031840000301599503,-1.2202110290527344,198067.578125,soft_hard
50,61,52.97597980499267,1676685994.8394368,20900,,,0.1775062084197998,397.0,248.8095245361328,74.17857360839844,0.002207810990512371,0.0011133477091789246,0.0031840000301599503,-1.5435523986816406,205426.140625,soft_hard
51,62,53.33707118034363,1676685995.200528,21000,97.0,200.0,0.17361019551753998,,,,0.01829013042151928,0.0007609737222082913,0.0031840000301599503,-1.2046470642089844,207280.609375,soft_hard
52,63,54.94400405883789,1676685996.807461,21500,97.0,200.0,0.1539333015680313,,,,0.03075229376554489,0.0012972605181857944,0.0031840000301599503,-1.9352130889892576,216612.15625,soft_hard
53,64,55.75521421432495,1676685997.6186712,21900,,,0.13815245032310486,395.0,248.86363220214844,76.00568389892578,0.020050127059221268,0.0007319109281525016,0.0031840000301599503,-0.9953384399414062,224157.609375,soft_hard
54,65,55.99666094779968,1676685997.860118,22000,97.0,200.0,0.13425642251968384,,,,0.003593585919588804,0.0003605983220040798,0.0031840000301599503,-1.0144977569580078,226057.75,soft_hard
55,66,57.58647298812866,1676685999.44993,22500,97.0,200.0,0.11457953602075575,,,,0.026551220566034317,0.00013150426093488932,0.0031840000301599503,-0.5006351470947266,235614.96875,soft_hard
56,67,58.85822582244873,1676686000.7216828,22900,,,0.09879867732524872,391.0,248.9130401611328,77.7065200805664,0.002128484193235636,0.0010655948426574469,0.0031840000301599503,-2.012592315673828,243333.5625,soft_hard
57,68,59.179341316223145,1676686001.0427985,23000,97.0,200.0,0.0949026495218277,,,,0.015952568501234055,8.576277468819171e-05,0.0031840000301599503,-0.26177024841308594,245276.234375,soft_hard
58,69,60.777058839797974,1676686002.6405158,23500,97.0,200.0,0.07522576302289963,,,,0.0044827330857515335,0.0002401452511548996,0.0031840000301599503,-0.5785331726074219,255045.796875,soft_hard
59,71,62.36940789222717,1676686004.2328649,24000,97.0,200.0,0.055548880249261856,,,,0.0017097487580031157,0.0003743961569853127,0.0031840000301599503,-0.7809867858886719,264920.625,soft_hard
60,73,65.22072672843933,1676686007.0841837,24900,,,0.05000000074505806,384.0,249.0,80.94999694824219,0.00236053136177361,0.001219898695126176,0.0031840000301599503,-2.142293930053711,282947.65625,soft_hard
61,74,65.54617261886597,1676686007.4096296,25000,97.0,200.0,0.05000000074505806,,,,0.01571139693260193,0.0008515086956322193,0.0031840000301599503,-1.2969112396240234,284971.40625,soft_hard
62,75,67.13581275939941,1676686008.9992695,25500,97.0,200.0,0.05000000074505806,,,,0.0018907322082668545,0.0005674551357515156,0.0031840000301599503,-0.9117259979248048,295204.53125,soft_hard
