,_step,_runtime,_timestamp,global_step,eval/mean_reward,eval/mean_ep_length,rollout/exploration_rate,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/loss,train/clip_loss,train/learning_rate,train/bound_violations,rollout/tot_ep_rew_mean,clip_method
0,0,5.982842683792114,1676683180.8804598,500,0.0,200.0,0.9803624749183656,,,,,,,,,soft_hard
1,1,7.778144598007202,1676683182.6757617,900,,,0.9645816087722778,437.0,225.0,3.25,,,,,,soft_hard
2,2,7.943806409835815,1676683182.8414235,1000,0.0,200.0,0.9606856107711792,,,,,,,,,soft_hard
3,3,8.20988941192627,1676683183.1075065,1500,0.0,200.0,0.941008687019348,,,,,,,,,soft_hard
4,4,8.310534477233887,1676683183.2081516,1900,,,0.9252278208732604,733.0,237.5,15.75,,,,,,soft_hard
5,5,8.475322246551514,1676683183.372939,2000,0.0,200.0,0.921331822872162,,,,,,,,,soft_hard
6,7,8.837228059768677,1676683183.7348452,2900,,,0.8858740925788879,930.0,241.6666717529297,16.0,,,,,,soft_hard
7,8,9.007771968841553,1676683183.905389,3000,0.0,200.0,0.8819780349731445,,,,,,,,,soft_hard
8,9,9.269112825393677,1676683184.16673,3500,0.0,200.0,0.8623011708259583,,,,,,,,,soft_hard
9,11,9.58446478843689,1676683184.482082,4000,0.0,200.0,0.8426242470741272,,,,,,,,,soft_hard
10,12,9.843678712844849,1676683184.7412958,4500,0.0,200.0,0.8229473829269409,,,,,,,,,soft_hard
11,14,10.111384153366089,1676683185.0090013,5000,0.0,200.0,0.8032705187797546,,,,,,,,,soft_hard
12,15,12.261099815368652,1676683187.158717,5500,97.0,200.0,0.7835935950279236,,,,0.06790357828140259,0.00133644905872643,0.0031840000301599503,-3.1992626190185547,2038.478271484375,soft_hard
13,18,17.79063320159912,1676683192.6882503,6500,97.0,200.0,0.744239866733551,,,,0.029983140528202057,4.993756647309056e-06,0.0031840000301599503,-0.06875038146972656,7641.02880859375,soft_hard
14,19,19.21488332748413,1676683194.1125004,6900,,,0.7284590005874634,511.0,246.42857360839844,30.76785659790039,0.0035279851872473955,0.00010680871491786093,0.0031840000301599503,-0.392822265625,10471.228515625,soft_hard
15,20,19.745953798294067,1676683194.643571,7000,97.0,200.0,0.72456294298172,,,,0.009629596024751663,4.5023443817626685e-05,0.0031840000301599503,-0.3081321716308594,11240.4248046875,soft_hard
16,21,21.76092290878296,1676683196.65854,7500,97.0,200.0,0.7048860788345337,,,,0.0027220111805945635,1.637619425309822e-05,0.0031840000301599503,-0.1375141143798828,15238.2861328125,soft_hard
17,22,23.22463583946228,1676683198.122253,7900,,,0.689105212688446,451.0,246.875,36.53125,0.0004070179129485041,5.875666829524562e-05,0.0031840000301599503,-0.2185840606689453,18702.021484375,soft_hard
18,23,23.773125410079956,1676683198.6707425,8000,97.0,200.0,0.6852092146873474,,,,0.0007660589180886745,0.0,0.0031840000301599503,0.0,19615.302734375,soft_hard
19,24,25.801390886306763,1676683200.699008,8500,97.0,200.0,0.6655322909355164,,,,0.0003538891323842108,5.3941152145853266e-05,0.0031840000301599503,-0.24293231964111328,24282.474609375,soft_hard
20,25,27.29583191871643,1676683202.193449,8900,,,0.6497514247894287,412.0,247.22222900390625,40.43055725097656,0.0008457902004010975,7.21457035979256e-05,0.0031840000301599503,-0.23576736450195312,28160.18359375,soft_hard
21,26,27.84016489982605,1676683202.737782,9000,97.0,200.0,0.6458554267883301,,,,0.01794387586414814,9.159769979305564e-05,0.0031840000301599503,-0.3467674255371094,29170.94921875,soft_hard
