,_step,_runtime,time/fps,_timestamp,global_step,rollout/ep_len_mean,rollout/ep_rew_mean,rollout/exploration_rate,eval/mean_reward,eval/mean_ep_length,train/loss,train/clip_loss,train/learning_rate,train/bound_violations,rollout/tot_ep_rew_mean,clip_method
0,1,7.834088325500488,427.0,1676684092.9027452,900,225.0,24.375,0.9645816087722778,,,,,,,,soft_hard
1,2,8.020354270935059,,1676684093.0890112,1000,,,0.9606856107711792,0.0,200.0,,,,,,soft_hard
2,3,8.292516231536865,,1676684093.3611732,1500,,,0.941008687019348,0.0,200.0,,,,,,soft_hard
3,4,8.394467830657959,713.0,1676684093.4631248,1900,237.5,16.875,0.9252278208732604,,,,,,,,soft_hard
4,5,8.560651063919067,,1676684093.629308,2000,,,0.921331822872162,0.0,200.0,,,,,,soft_hard
5,6,8.82436227798462,,1676684093.8930192,2500,,,0.9016549587249756,0.0,200.0,,,,,,soft_hard
6,7,8.925456285476685,907.0,1676684093.9941132,2900,241.6666717529297,13.875,0.8858740925788879,,,,,,,,soft_hard
7,9,9.359095811843872,,1676684094.4277527,3500,,,0.8623011708259583,0.0,200.0,,,,,,soft_hard
8,10,9.459431648254396,1045.0,1676684094.5280886,3900,243.75,11.125,0.8465203046798706,,,,,,,,soft_hard
9,11,9.62588357925415,,1676684094.6945405,4000,,,0.8426242470741272,0.0,200.0,,,,,,soft_hard
10,12,9.889398574829102,,1676684094.9580555,4500,,,0.8229473829269409,0.0,200.0,,,,,,soft_hard
11,14,10.163425207138062,,1676684095.232082,5000,,,0.8032705187797546,0.0,200.0,,,,,,soft_hard
12,15,12.228395223617554,,1676684097.297052,5500,,,0.7835935950279236,0.0,200.0,0.06583081185817719,0.0013479726621881127,0.0031840000301599503,-2.835434913635254,1502.34619140625,soft_hard
13,17,14.241684913635254,,1676684099.3103418,6000,,,0.7639167308807373,96.5,200.0,0.04747061803936958,0.00023641323787160215,0.0031840000301599503,-0.84820556640625,3385.306884765625,soft_hard
14,18,17.81268048286438,,1676684102.8813374,6500,,,0.744239866733551,97.0,200.0,0.035310741513967514,0.0005213777185417712,0.0031840000301599503,-0.5364704132080078,5707.60498046875,soft_hard
15,19,20.91294026374817,454.0,1676684105.9815972,6900,246.42857360839844,25.48214340209961,0.7284590005874634,,,0.02099865861237049,6.53934184811078e-05,0.0031840000301599503,-0.34463977813720703,7919.32177734375,soft_hard
16,20,21.464745044708252,,1676684106.533402,7000,,,0.72456294298172,97.0,200.0,0.0084534278139472,3.246630512876436e-05,0.0031840000301599503,-0.1855983734130859,8556.375,soft_hard
17,21,23.4115526676178,,1676684108.4802096,7500,,,0.7048860788345337,97.0,200.0,0.003643384436145425,6.48617560727871e-06,0.0031840000301599503,-0.05869865417480469,11961.8037109375,soft_hard
18,22,24.859095573425293,413.0,1676684109.9277525,7900,246.875,31.953125,0.689105212688446,,,0.0026857764460146427,2.033166128967423e-05,0.0031840000301599503,-0.1051025390625,15012.0732421875,soft_hard
19,23,25.399775743484497,,1676684110.468433,8000,,,0.6852092146873474,97.0,200.0,0.0012358848471194506,2.4172693883883767e-05,0.0031840000301599503,-0.19525146484375,15810.9013671875,soft_hard
20,25,28.85936212539673,384.0,1676684113.928019,8900,247.22222900390625,37.875,0.6497514247894287,,,0.014274663291871548,5.2618001063819975e-05,0.0031840000301599503,-0.2798919677734375,23556.9765625,soft_hard
21,26,29.412704706192017,,1676684114.4813616,9000,,,0.6458554267883301,97.0,200.0,0.00020792432769667357,6.301850953605026e-05,0.0031840000301599503,-0.3153572082519531,24503.8515625,soft_hard
22,28,32.95215320587158,363.0,1676684118.02081,9900,247.5,42.912498474121094,0.6103976964950562,,,0.00031578392372466624,0.00010451247362652794,0.0031840000301599503,-0.4504470825195313,33539.45703125,soft_hard
23,29,33.50677442550659,,1676684118.575431,10000,,,0.6065016388893127,97.0,200.0,0.00024794519413262606,6.150256376713514e-05,0.0031840000301599503,-0.22484683990478516,34612.26953125,soft_hard
24,30,35.553471088409424,,1676684120.622128,10500,,,0.5868247747421265,97.0,200.0,0.0003638115886133164,3.512328476062976e-05,0.0031840000301599503,-0.1881389617919922,40148.625,soft_hard
25,33,39.65222954750061,,1676684124.7208865,11500,,,0.5474709868431091,97.0,200.0,0.0003616573812905699,6.06691392022185e-05,0.0031840000301599503,-0.3985633850097656,51988.21875,soft_hard
26,34,41.21431303024292,335.0,1676684126.28297,11900,247.9166717529297,51.08333206176758,0.5316901206970215,,,0.003665702184662223,3.256841955590062e-05,0.0031840000301599503,-0.1751089096069336,56977.70703125,soft_hard
27,35,41.767637968063354,,1676684126.836295,12000,,,0.5277941226959229,97.0,200.0,0.0005945289740338922,4.220174378133379e-05,0.0031840000301599503,-0.2655668258666992,58254.79296875,soft_hard
28,38,45.9112536907196,,1676684130.9799106,13000,,,0.4884403347969055,97.0,200.0,0.000406684004701674,3.504521737340838e-05,0.0031840000301599503,-0.24609851837158203,71415.78125,soft_hard
29,39,47.9674129486084,,1676684133.03607,13500,,,0.4687634706497192,97.0,200.0,0.0004778775619342923,0.00010499829659238458,0.0031840000301599503,-0.411015510559082,78312.734375,soft_hard
30,41,50.06198215484619,,1676684135.130639,14000,,,0.44908657670021057,97.0,200.0,0.0002266565861646086,9.016402327688412e-05,0.0031840000301599503,-0.3313894271850586,85411.5078125,soft_hard
31,42,52.1837694644928,,1676684137.2524264,14500,,,0.4294096827507019,97.0,200.0,0.00022843884653411808,0.00011537587124621496,0.0031840000301599503,-0.5199851989746094,92678.7578125,soft_hard
32,43,53.72348737716675,310.0,1676684138.7921443,14900,248.3333282470703,60.44166564941406,0.41362884640693665,,,0.0008585479808971286,0.0002187111967941746,0.0031840000301599503,-0.6336870193481445,98634.6953125,soft_hard
33,47,58.533687591552734,,1676684143.6023445,16000,,,0.3703790307044983,97.0,200.0,0.014778242446482182,0.0002734125009737909,0.0031840000301599503,-0.8644018173217773,115635.6328125,soft_hard
34,48,60.644511222839355,,1676684145.713168,16500,,,0.350702166557312,97.0,200.0,0.0004241090500727296,8.03443108452484e-05,0.0031840000301599503,-0.3580598831176758,123647.7578125,soft_hard
35,49,62.197497844696045,299.0,1676684147.2661548,16900,248.5294189453125,65.9632339477539,0.33492130041122437,,,0.0008965526940301061,0.00023387659166473895,0.0031840000301599503,-0.6904020309448242,130168.1171875,soft_hard
36,50,62.78526854515076,,1676684147.8539257,17000,,,0.33102527260780334,97.0,200.0,0.0007576053612865508,8.246125798905268e-05,0.0031840000301599503,-0.28690624237060547,131817.203125,soft_hard
37,51,64.87792634963989,,1676684149.9465833,17500,,,0.3113483786582947,97.0,200.0,0.00023573952785227448,6.0327438404783607e-05,0.0031840000301599503,-0.25671863555908203,140140.296875,soft_hard
38,52,66.44546866416931,294.0,1676684151.5141256,17900,248.61111450195312,68.27777862548828,0.29556751251220703,,,0.0006932788528501987,0.00024623138597235084,0.0031840000301599503,-0.7535724639892578,146906.984375,soft_hard
39,53,67.01720666885376,,1676684152.0858636,18000,,,0.291671484708786,97.0,200.0,0.001375779276713729,7.985320553416386e-05,0.0031840000301599503,-0.3711490631103515,148613.921875,soft_hard
