,_step,_runtime,time/fps,_timestamp,global_step,rollout/ep_len_mean,rollout/ep_rew_mean,rollout/exploration_rate,eval/mean_reward,eval/mean_ep_length,train/loss,train/clip_loss,train/learning_rate,train/bound_violations,rollout/tot_ep_rew_mean,clip_method
0,1,2.1228623390197754,1662.0,1676681950.2205713,900,225.0,5.25,0.9645816087722778,,,,,,,,soft_hard
1,2,2.189944267272949,,1676681950.2876532,1000,,,0.9606856107711792,0.0,200.0,,,,,,soft_hard
2,3,2.2751975059509277,,1676681950.3729064,1500,,,0.941008687019348,0.0,200.0,,,,,,soft_hard
3,6,2.4450409412384033,,1676681950.54275,2500,,,0.9016549587249756,0.0,200.0,,,,,,soft_hard
4,7,2.4619500637054443,3293.0,1676681950.559659,2900,241.6666717529297,16.04166603088379,0.8858740925788879,,,,,,,,soft_hard
5,8,2.5639805793762207,,1676681950.6616895,3000,,,0.8819780349731445,0.0,200.0,,,,,,soft_hard
6,9,2.6482088565826416,,1676681950.7459178,3500,,,0.8623011708259583,0.0,200.0,,,,,,soft_hard
7,10,2.6651437282562256,3598.0,1676681950.762853,3900,243.75,17.0625,0.8465203046798706,,,,,,,,soft_hard
8,11,2.7323880195617676,,1676681950.830097,4000,,,0.8426242470741272,0.0,200.0,,,,,,soft_hard
9,12,2.8166675567626953,,1676681950.9143765,4500,,,0.8229473829269409,0.0,200.0,,,,,,soft_hard
10,13,2.8335888385772705,3913.0,1676681950.9312978,4900,245.0,15.625,0.8071665167808533,,,,,,,,soft_hard
11,14,2.891756296157837,,1676681950.9894652,5000,,,0.8032705187797546,0.0,200.0,,,,,,soft_hard
12,15,3.647665500640869,,1676681951.7453744,5500,,,0.7835935950279236,97.0,200.0,0.06241089850664139,0.0002969411725644022,0.0031840000301599503,-1.179487705230713,1955.1541748046875,soft_hard
13,16,4.653144836425781,1920.0,1676681952.7508538,5900,245.8333282470703,21.10416603088379,0.7678127884864807,,,0.04740149155259133,0.00017177019617520273,0.0031840000301599503,-0.6799912452697754,3829.70947265625,soft_hard
14,17,4.8217527866363525,,1676681952.9194615,6000,,,0.7639167308807373,96.5,200.0,0.054535046219825745,0.00010541277879383416,0.0031840000301599503,-0.3411388397216797,4357.31396484375,soft_hard
15,18,5.532345771789551,,1676681953.6300547,6500,,,0.744239866733551,97.0,200.0,0.02706312015652657,0.00021851515339221805,0.0031840000301599503,-0.494389533996582,7277.7529296875,soft_hard
16,19,6.108361005783081,1524.0,1676681954.20607,6900,246.42857360839844,30.089284896850582,0.7284590005874634,,,0.02066984586417675,0.00046210811706259847,0.0031840000301599503,-0.7435731887817383,9982.880859375,soft_hard
17,20,6.277497053146362,,1676681954.375206,7000,,,0.72456294298172,97.0,200.0,0.031653501093387604,0.00013094635505694896,0.0031840000301599503,-0.3774118423461914,10735.11328125,soft_hard
18,21,7.033586502075195,,1676681955.1312954,7500,,,0.7048860788345337,97.0,200.0,0.006161820609122515,1.3314574061951134e-05,0.0031840000301599503,-0.10742950439453124,14695.15234375,soft_hard
19,22,7.57728123664856,1317.0,1676681955.6749902,7900,246.875,36.71875,0.689105212688446,,,0.0041441535577178,6.734109774697572e-05,0.0031840000301599503,-0.27919483184814453,18149.23828125,soft_hard
20,23,7.784934997558594,,1676681955.882644,8000,,,0.6852092146873474,97.0,200.0,0.0035663307644426823,7.450271368725225e-05,0.0031840000301599503,-0.34987640380859375,19067.20703125,soft_hard
21,25,9.07698392868042,1187.0,1676681957.1746929,8900,247.22222900390625,41.63888931274414,0.6497514247894287,,,0.0004217607784084976,0.00010817383008543402,0.0031840000301599503,-0.4354248046875,27806.404296875,soft_hard
22,27,10.002166748046877,,1676681958.0998757,9500,,,0.6261785626411438,97.0,200.0,0.0001897585461847484,4.178038579993881e-05,0.0031840000301599503,-0.17823028564453125,34223.59765625,soft_hard
23,28,10.541839361190796,1104.0,1676681958.6395483,9900,247.5,45.76250076293945,0.6103976964950562,,,0.0014172217343002558,0.00010322293383069336,0.0031840000301599503,-0.466827392578125,38722.28125,soft_hard
24,29,10.753408670425417,,1676681958.8511176,10000,,,0.6065016388893127,97.0,200.0,0.001084815594367683,3.86015854019206e-05,0.0031840000301599503,-0.27463245391845703,39866.34375,soft_hard
25,30,11.464390993118286,,1676681959.5621,10500,,,0.5868247747421265,97.0,200.0,0.0010428818641230464,2.1305068003130145e-05,0.0031840000301599503,-0.19859027862548828,45689.54296875,soft_hard
26,31,12.031596183776855,1043.0,1676681960.1293051,10900,247.7272796630859,49.42045593261719,0.5710439085960388,,,0.0005988443153910339,0.00011521509441081434,0.0031840000301599503,-0.5707798004150391,50519.75,soft_hard
27,32,12.199968814849854,,1676681960.2976778,11000,,,0.5671479105949402,97.0,200.0,0.0005412389291450381,0.00017780819325707853,0.0031840000301599503,-0.6643123626708984,51755.26171875,soft_hard
28,33,12.9469473361969,,1676681961.0446565,11500,,,0.5474709868431091,97.0,200.0,0.0009091123938560486,8.696939039509743e-05,0.0031840000301599503,-0.3623332977294922,58010.0078125,soft_hard
29,34,13.486625909805298,999.0,1676681961.5843349,11900,247.9166717529297,53.17708206176758,0.5316901206970215,,,0.017675550654530525,3.342358468216844e-05,0.0031840000301599503,-0.1830348968505859,63167.234375,soft_hard
