,_step,_runtime,time/fps,_timestamp,global_step,rollout/ep_len_mean,rollout/ep_rew_mean,rollout/exploration_rate,eval/mean_reward,eval/mean_ep_length,train/loss,train/clip_loss,train/learning_rate,train/bound_violations,rollout/tot_ep_rew_mean,clip_method
0,1,0.9768495559692384,1518.0,1676682742.5056386,900,225.0,8.625,0.9645816087722778,,,,,,,,soft_hard
1,2,1.0570330619812012,,1676682742.585822,1000,,,0.9606856107711792,0.0,200.0,,,,,,soft_hard
2,3,1.1529452800750732,,1676682742.6817343,1500,,,0.941008687019348,0.0,200.0,,,,,,soft_hard
3,4,1.1711137294769287,2413.0,1676682742.6999028,1900,237.5,18.0,0.9252278208732604,,,,,,,,soft_hard
4,5,1.2492284774780271,,1676682742.7780175,2000,,,0.921331822872162,0.0,200.0,,,,,,soft_hard
5,6,1.3396131992340088,,1676682742.8684022,2500,,,0.9016549587249756,0.0,200.0,,,,,,soft_hard
6,7,1.357757568359375,2977.0,1676682742.8865466,2900,241.6666717529297,14.666666984558104,0.8858740925788879,,,,,,,,soft_hard
7,9,1.52294921875,,1676682743.0517385,3500,,,0.8623011708259583,0.0,200.0,,,,,,soft_hard
8,12,1.7409307956695557,,1676682743.2697198,4500,,,0.8229473829269409,0.0,200.0,,,,,,soft_hard
9,13,1.7594220638275146,3562.0,1676682743.288211,4900,245.0,15.949999809265137,0.8071665167808533,,,,,,,,soft_hard
10,14,1.8280739784240725,,1676682743.356863,5000,,,0.8032705187797546,0.0,200.0,,,,,,soft_hard
11,17,3.367374897003174,,1676682744.896164,6000,,,0.7639167308807373,96.0,200.0,0.05286695808172226,0.0005790670402348042,0.0031840000301599503,-1.278371810913086,4344.01953125,soft_hard
12,18,4.711679220199585,,1676682746.2404685,6500,,,0.744239866733551,96.0,200.0,0.0412537083029747,0.0005258284509181976,0.0031840000301599503,-1.1072139739990234,7035.544921875,soft_hard
13,19,5.308203935623169,1401.0,1676682746.836993,6900,246.42857360839844,26.5,0.7284590005874634,,,0.012417450547218324,5.589153806795366e-05,0.0031840000301599503,-0.2895374298095703,9487.041015625,soft_hard
14,20,5.492331504821777,,1676682747.0211203,7000,,,0.72456294298172,97.0,200.0,0.012312005273997784,0.0003418374981265515,0.0031840000301599503,-0.9883174896240234,10149.541015625,soft_hard
15,21,6.77660870552063,,1676682748.3053975,7500,,,0.7048860788345337,97.0,200.0,0.01680751144886017,0.0005395757034420967,0.0031840000301599503,-0.9827117919921876,13695.2587890625,soft_hard
16,22,7.378521919250488,1129.0,1676682748.907311,7900,246.875,35.3125,0.689105212688446,,,0.0054016620852053165,0.0003157200990244746,0.0031840000301599503,-0.5619907379150391,16921.01171875,soft_hard
17,23,7.562633752822876,,1676682749.0914228,8000,,,0.6852092146873474,97.0,200.0,0.014853675849735737,0.000566992734093219,0.0031840000301599503,-1.0049400329589844,17803.82421875,soft_hard
18,24,8.36193037033081,,1676682749.8907194,8500,,,0.6655322909355164,97.0,200.0,0.007582671009004116,9.358917304780334e-05,0.0031840000301599503,-0.20360183715820312,22449.640625,soft_hard
19,25,8.996192216873169,1033.0,1676682750.5249813,8900,247.22222900390625,42.18055725097656,0.6497514247894287,,,0.009684085845947266,0.0003568542597349733,0.0031840000301599503,-0.7456302642822266,26466.994140625,soft_hard
20,26,9.180078029632568,,1676682750.708867,9000,,,0.6458554267883301,97.0,200.0,0.002965000225231051,0.00025542668299749494,0.0031840000301599503,-0.4795112609863281,27521.5078125,soft_hard
21,27,10.05754566192627,,1676682751.5863347,9500,,,0.6261785626411438,97.0,200.0,0.004303812514990568,0.0004559543158393353,0.0031840000301599503,-0.7575244903564453,32961.72265625,soft_hard
22,28,10.91346263885498,940.0,1676682752.4422517,9900,247.5,47.037498474121094,0.6103976964950562,,,0.011282860301434994,0.0004099998332094401,0.0031840000301599503,-0.7678565979003906,37522.41796875,soft_hard
23,29,11.1923086643219,,1676682752.7210977,10000,,,0.6065016388893127,97.0,200.0,0.019784297794103622,0.0005442398833110929,0.0031840000301599503,-0.9954605102539062,38698.35546875,soft_hard
24,30,12.889645338058472,,1676682754.4184344,10500,,,0.5868247747421265,97.0,200.0,0.0019067745888605712,0.0005539566045626998,0.0031840000301599503,-0.8019084930419922,44681.4296875,soft_hard
25,31,14.200647115707396,788.0,1676682755.7294362,10900,247.7272796630859,50.7613639831543,0.5710439085960388,,,0.001900357659906149,0.0007750767981633544,0.0031840000301599503,-1.1926937103271484,49626.5859375,soft_hard
26,33,16.34632134437561,,1676682757.8751104,11500,,,0.5474709868431091,97.0,200.0,0.014296703971922398,0.00016773157403804362,0.0031840000301599503,-0.3846244812011719,57334.640625,soft_hard
27,34,17.64206051826477,689.0,1676682759.1708496,11900,247.9166717529297,53.90625,0.5316901206970215,,,0.014251547865569592,0.0004586503491736949,0.0031840000301599503,-0.7894229888916016,62618.453125,soft_hard
28,36,19.64772939682007,,1676682761.1765184,12500,,,0.5081172585487366,97.0,200.0,0.001700103865005076,0.0007291230140253901,0.0031840000301599503,-1.2609310150146484,70812.09375,soft_hard
29,37,20.976950883865356,626.0,1676682762.50574,12900,248.0769195556641,56.95192337036133,0.49233636260032654,,,0.017860883846879005,0.0003893208340741694,0.0031840000301599503,-0.7216091156005859,76421.5859375,soft_hard
30,38,21.3440158367157,,1676682762.8728049,13000,,,0.4884403347969055,97.0,200.0,0.0013529780553653836,0.00010322701564291492,0.0031840000301599503,-0.3347949981689453,77845.3828125,soft_hard
31,39,23.04497003555298,,1676682764.573759,13500,,,0.4687634706497192,97.0,200.0,0.0180452074855566,0.00012435692769940945,0.0031840000301599503,-0.3396625518798828,85029.5546875,soft_hard
32,40,24.356558322906498,579.0,1676682765.8853474,13900,248.2142791748047,59.48214340209961,0.4529826045036316,,,0.015331917442381382,0.0004351285169832408,0.0031840000301599503,-0.8910675048828125,90880.8828125,soft_hard
33,41,24.72170066833496,,1676682766.2504897,14000,,,0.44908657670021057,97.0,200.0,0.0011340942000970244,0.00044606506708078086,0.0031840000301599503,-0.9749813079833984,92367.9296875,soft_hard
34,42,26.41868376731873,,1676682767.9474728,14500,,,0.4294096827507019,97.0,200.0,0.015997767448425293,0.00030043337028473616,0.0031840000301599503,-0.4919776916503906,99886.4296875,soft_hard
35,43,27.74171662330627,544.0,1676682769.2705057,14900,248.3333282470703,62.04166793823242,0.41362884640693665,,,0.0012633660808205605,0.0002257329470012337,0.0031840000301599503,-0.6144332885742188,106013.796875,soft_hard
36,45,29.828287839889526,,1676682771.357077,15500,,,0.39005592465400696,97.0,200.0,0.013886099681258202,0.0006680285441689193,0.0031840000301599503,-1.0550060272216797,115401.4375,soft_hard
37,46,31.18084073066711,516.0,1676682772.7096298,15900,248.4375,64.625,0.3742750585079193,,,0.002623062115162611,0.0009030248038470744,0.0031840000301599503,-1.4840145111083984,121779.4375,soft_hard
38,47,31.542940855026245,,1676682773.07173,16000,,,0.3703790307044983,97.0,200.0,0.001650939928367734,0.000798664113972336,0.0031840000301599503,-1.3469104766845703,123395.0625,soft_hard
39,48,33.24250793457031,,1676682774.771297,16500,,,0.350702166557312,97.0,200.0,0.003716468345373869,0.00018473979434929788,0.0031840000301599503,-0.605865478515625,131547.34375,soft_hard
40,50,34.912572622299194,,1676682776.4413617,17000,,,0.33102527260780334,97.0,200.0,0.0110714603215456,0.0002405985869700089,0.0031840000301599503,-0.35604095458984375,139855.40625,soft_hard
41,51,36.58273220062256,,1676682778.1115212,17500,,,0.3113483786582947,97.0,200.0,0.014744953252375126,0.0006096407887525856,0.0031840000301599503,-1.0668048858642578,148310.265625,soft_hard
42,53,38.309539794921875,,1676682779.8383288,18000,,,0.291671484708786,97.0,200.0,0.001796158030629158,0.0009427876211702824,0.0031840000301599503,-1.4699993133544922,156909.046875,soft_hard
43,54,40.09332609176636,,1676682781.6221151,18500,,,0.27199462056159973,97.0,200.0,0.002049076603725553,0.0002636836434248835,0.0031840000301599503,-0.4855823516845703,165647.515625,soft_hard
44,55,41.43015027046203,460.0,1676682782.9589393,18900,248.6842041015625,71.49342346191406,0.2562137544155121,,,0.001429042313247919,0.0005272644921205938,0.0031840000301599503,-1.1304340362548828,172730.796875,soft_hard
