,_step,_runtime,_timestamp,global_step,eval/mean_reward,eval/mean_ep_length,rollout/exploration_rate,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/loss,train/clip_loss,train/learning_rate,train/bound_violations,rollout/tot_ep_rew_mean,clip_method
0,0,1.572981595993042,1676691205.2969377,500,0.0,200.0,0.9803624749183656,,,,,,,,,soft_hard
1,1,2.0166194438934326,1676691205.7405756,900,,,0.9645816087722778,1699.0,225.0,14.75,,,,,,soft_hard
2,2,2.086672782897949,1676691205.810629,1000,0.0,200.0,0.9606856107711792,,,,,,,,,soft_hard
3,3,2.1721384525299072,1676691205.8960946,1500,0.0,200.0,0.941008687019348,,,,,,,,,soft_hard
4,5,2.2557482719421387,1676691205.9797044,2000,0.0,200.0,0.921331822872162,,,,,,,,,soft_hard
5,6,2.339200019836426,1676691206.063156,2500,0.0,200.0,0.9016549587249756,,,,,,,,,soft_hard
6,7,2.356083631515503,1676691206.0800395,2900,,,0.8858740925788879,3336.0,241.6666717529297,13.541666984558104,,,,,,soft_hard
7,8,2.4228975772857666,1676691206.1468537,3000,0.0,200.0,0.8819780349731445,,,,,,,,,soft_hard
8,9,2.505204677581787,1676691206.2291608,3500,0.0,200.0,0.8623011708259583,,,,,,,,,soft_hard
9,12,2.6664769649505615,1676691206.390433,4500,0.0,200.0,0.8229473829269409,,,,,,,,,soft_hard
10,13,2.683314800262451,1676691206.407271,4900,,,0.8071665167808533,4095.0,245.0,13.975000381469728,,,,,,soft_hard
11,14,2.7501020431518555,1676691206.4740582,5000,0.0,200.0,0.8032705187797546,,,,,,,,,soft_hard
12,15,3.4494829177856445,1676691207.173439,5500,0.0,200.0,0.7835935950279236,,,,0.06350894272327423,0.0008488850435242057,0.0031840000301599503,-3.0040059089660645,1828.4979248046875,soft_hard
13,17,4.1557652950286865,1676691207.8797214,6000,97.0,200.0,0.7639167308807373,,,,0.056762322783470154,0.0006836301763541996,0.0031840000301599503,-1.902811050415039,4041.341796875,soft_hard
14,19,5.78859281539917,1676691209.512549,6900,,,0.7284590005874634,1604.0,246.42857360839844,29.571428298950195,0.006231863982975483,0.00021175060828682035,0.0031840000301599503,-0.6337089538574219,9344.15234375,soft_hard
15,22,7.202664375305176,1676691210.9266205,7900,,,0.689105212688446,1382.0,246.875,36.71875,0.016790391877293587,7.74586369516328e-05,0.0031840000301599503,-0.2923145294189453,17447.4140625,soft_hard
16,23,7.371338367462158,1676691211.0952945,8000,97.0,200.0,0.6852092146873474,,,,0.002361829625442624,1.9099419660051353e-05,0.0031840000301599503,-0.12812042236328125,18365.3828125,soft_hard
17,25,8.61954641342163,1676691212.3435023,8900,,,0.6497514247894287,1247.0,247.22222900390625,41.58333206176758,0.0003703252295963466,0.00010253088112222032,0.0031840000301599503,-0.43480396270751953,27045.771484375,soft_hard
18,26,8.78643012046814,1676691212.5103862,9000,97.0,200.0,0.6458554267883301,,,,0.00022277620155364275,4.858505417359993e-05,0.0031840000301599503,-0.2727031707763672,28085.35546875,soft_hard
19,27,9.490535974502563,1676691213.214492,9500,97.0,200.0,0.6261785626411438,,,,0.00036425533471629024,7.166276191128418e-05,0.0031840000301599503,-0.3315563201904297,33442.15234375,soft_hard
20,28,10.034740447998049,1676691213.7586966,9900,,,0.6103976964950562,1158.0,247.5,45.787498474121094,0.0005528385518118739,0.00012854818487539887,0.0031840000301599503,-0.5112400054931641,37910.87890625,soft_hard
21,29,10.203375101089478,1676691213.9273312,10000,97.0,200.0,0.6065016388893127,,,,0.00026210673968307674,8.802981028566137e-05,0.0031840000301599503,-0.3408346176147461,39055.56640625,soft_hard
22,30,10.907130479812622,1676691214.6310866,10500,97.0,200.0,0.5868247747421265,,,,0.009622259065508842,5.890075408387929e-05,0.0031840000301599503,-0.25196170806884766,44921.4453125,soft_hard
