,_step,_runtime,time/fps,_timestamp,global_step,rollout/ep_len_mean,rollout/ep_rew_mean,rollout/exploration_rate,eval/mean_reward,eval/mean_ep_length,train/loss,train/clip_loss,train/learning_rate,train/bound_violations,rollout/tot_ep_rew_mean,clip_method
0,1,1.7202293872833252,654.0,1676686564.7373805,900,225.0,12.0,0.9645816087722778,,,,,,,,soft_hard
1,2,1.811063528060913,,1676686564.8282146,1000,,,0.9606856107711792,0.0,200.0,,,,,,soft_hard
2,4,1.9365670680999756,1193.0,1676686564.9537182,1900,237.5,14.4375,0.9252278208732604,,,,,,,,soft_hard
3,5,2.0301666259765625,,1676686565.0473175,2000,,,0.921331822872162,0.0,200.0,,,,,,soft_hard
4,6,2.1427595615386963,,1676686565.159911,2500,,,0.9016549587249756,0.0,200.0,,,,,,soft_hard
5,7,2.1610517501831055,1596.0,1676686565.1782029,2900,241.6666717529297,15.333333015441896,0.8858740925788879,,,,,,,,soft_hard
6,9,2.369328022003174,,1676686565.3864791,3500,,,0.8623011708259583,0.0,200.0,,,,,,soft_hard
7,10,2.387618064880371,1908.0,1676686565.4047692,3900,243.75,14.125,0.8465203046798706,,,,,,,,soft_hard
8,11,2.4827582836151123,,1676686565.4999094,4000,,,0.8426242470741272,0.0,200.0,,,,,,soft_hard
9,12,2.595160722732544,,1676686565.6123118,4500,,,0.8229473829269409,0.0,200.0,,,,,,soft_hard
10,13,2.6135849952697754,2159.0,1676686565.630736,4900,245.0,14.375,0.8071665167808533,,,,,,,,soft_hard
11,14,2.708852529525757,,1676686565.7260036,5000,,,0.8032705187797546,0.0,200.0,,,,,,soft_hard
12,15,4.290410041809082,,1676686567.3075612,5500,,,0.7835935950279236,0.0,200.0,0.07165084779262543,0.0005331419524736702,0.0031840000301599503,-1.745462417602539,1868.7960205078125,soft_hard
13,16,5.532719135284424,1137.0,1676686568.5498705,5900,245.8333282470703,19.8125,0.7678127884864807,,,0.041288793087005615,0.0008294020080938935,0.0031840000301599503,-3.2184791564941406,3621.809814453125,soft_hard
14,17,5.9004645347595215,,1676686568.9176157,6000,,,0.7639167308807373,0.0,200.0,0.05569112300872803,0.0005124482559040189,0.0031840000301599503,-1.5048542022705078,4117.12255859375,soft_hard
15,18,7.503715753555298,,1676686570.5208669,6500,,,0.744239866733551,96.5,200.0,0.05853071063756943,0.0001883752120193094,0.0031840000301599503,-0.39178466796875,6850.939453125,soft_hard
16,19,9.27796459197998,772.0,1676686572.2951157,6900,246.42857360839844,28.285715103149418,0.7284590005874634,,,0.017745347693562508,0.0007917435141280293,0.0031840000301599503,-1.7208328247070312,9427.435546875,soft_hard
17,20,9.571266651153564,,1676686572.5884178,7000,,,0.72456294298172,96.0,200.0,0.01659303903579712,4.550070661935024e-05,0.0031840000301599503,-0.2270488739013672,10134.578125,soft_hard
18,21,11.19703984260559,,1676686574.214191,7500,,,0.7048860788345337,97.0,200.0,0.008467553183436394,0.000401279830839485,0.0031840000301599503,-0.7193336486816406,13925.703125,soft_hard
19,22,12.844800233840942,631.0,1676686575.8619514,7900,246.875,36.0,0.689105212688446,,,0.004945008084177971,0.00014657244901172817,0.0031840000301599503,-0.40823936462402344,17315.810546875,soft_hard
20,23,13.21166491508484,,1676686576.228816,8000,,,0.6852092146873474,97.0,200.0,0.00310575682669878,9.373504144605248e-05,0.0031840000301599503,-0.2227325439453125,18215.810546875,soft_hard
21,24,14.805496215820312,,1676686577.822647,8500,,,0.6655322909355164,97.0,200.0,0.0013625206192955377,0.0007415462168864906,0.0031840000301599503,-1.1284332275390625,22893.71875,soft_hard
22,25,16.05016851425171,566.0,1676686579.0673196,8900,247.22222900390625,41.11111068725586,0.6497514247894287,,,0.0010486943647265434,0.0002514660591259599,0.0031840000301599503,-0.4523487091064453,26854.6640625,soft_hard
23,26,16.41247820854187,,1676686579.429629,9000,,,0.6458554267883301,97.0,200.0,0.003869691863656044,0.00011591162910917774,0.0031840000301599503,-0.3496246337890625,27882.44140625,soft_hard
24,27,18.01881241798401,,1676686581.0359635,9500,,,0.6261785626411438,97.0,200.0,0.016080403700470924,0.0004260689311195165,0.0031840000301599503,-0.97235107421875,33143.1640625,soft_hard
25,30,20.684303283691406,,1676686583.7014544,10500,,,0.5868247747421265,97.0,200.0,0.002860709559172392,0.0012847883626818657,0.0031840000301599503,-1.851947784423828,44370.5625,soft_hard
26,31,21.965383291244507,504.0,1676686584.9825344,10900,247.7272796630859,48.18181991577149,0.5710439085960388,,,0.00121191272046417,0.0003111254482064396,0.0031840000301599503,-0.8917179107666016,49098.63671875,soft_hard
27,33,23.90333127975464,,1676686586.9204824,11500,,,0.5474709868431091,97.0,200.0,0.0008212924003601074,0.00017754636064637452,0.0031840000301599503,-0.5760955810546875,56424.046875,soft_hard
28,34,25.18602681159973,479.0,1676686588.203178,11900,247.9166717529297,51.66666793823242,0.5316901206970215,,,0.0007976236520335078,0.00020730140386149287,0.0031840000301599503,-0.5246524810791016,61472.77734375,soft_hard
29,35,25.511049270629883,,1676686588.5282004,12000,,,0.5277941226959229,97.0,200.0,0.001145165995694697,0.0004283750895410776,0.0031840000301599503,-0.9606666564941406,62764.44140625,soft_hard
30,36,27.12727928161621,,1676686590.1444304,12500,,,0.5081172585487366,97.0,200.0,0.016078628599643707,0.0003593656001612544,0.0031840000301599503,-0.5337715148925781,69342.671875,soft_hard
31,37,28.419369220733643,459.0,1676686591.4365203,12900,248.0769195556641,55.221153259277344,0.49233636260032654,,,0.00131057680118829,0.00010004791693063451,0.0031840000301599503,-0.3283271789550781,74752.96875,soft_hard
32,38,28.747236251831055,,1676686591.7643874,13000,,,0.4884403347969055,97.0,200.0,0.0018985029309988024,0.00035162275889888406,0.0031840000301599503,-0.946950912475586,76133.5,soft_hard
33,39,30.3503315448761,,1676686593.367483,13500,,,0.4687634706497192,97.0,200.0,0.0020931283943355083,0.0003703812835738063,0.0031840000301599503,-1.088003158569336,83141.265625,soft_hard
34,40,31.637612104415897,444.0,1676686594.6547632,13900,248.2142791748047,58.5625,0.4529826045036316,,,0.002309001050889492,0.000895183184184134,0.0031840000301599503,-1.3977546691894531,88896.703125,soft_hard
35,41,31.95863246917725,,1676686594.9757836,14000,,,0.44908657670021057,97.0,200.0,0.0019231881015002728,0.000950401823502034,0.0031840000301599503,-1.6453285217285156,90360.765625,soft_hard
36,42,33.56187343597412,,1676686596.5790246,14500,,,0.4294096827507019,97.0,200.0,0.01178468018770218,0.0016247604507952929,0.0031840000301599503,-2.142526626586914,97773.515625,soft_hard
37,43,34.84513521194458,431.0,1676686597.8622863,14900,248.3333282470703,61.275001525878906,0.41362884640693665,,,0.0011402558302506804,0.0005059007671661675,0.0031840000301599503,-0.8679161071777344,103825.6796875,soft_hard
38,44,35.16832232475281,,1676686598.1854734,15000,,,0.4097328186035156,97.0,200.0,0.002081518992781639,0.0005557377589866519,0.0031840000301599503,-1.170095443725586,105357.5546875,soft_hard
39,45,36.77681064605713,,1676686599.7939618,15500,,,0.39005592465400696,97.0,200.0,0.001759935636073351,0.0008187444182112813,0.0031840000301599503,-1.5437259674072266,113087.3046875,soft_hard
40,46,38.060659408569336,421.0,1676686601.0778103,15900,248.4375,63.890625,0.3742750585079193,,,0.0021159290336072445,0.0004991841851733625,0.0031840000301599503,-1.1471424102783203,119387.2734375,soft_hard
41,47,38.38760542869568,,1676686601.4047563,16000,,,0.3703790307044983,97.0,200.0,0.0013773397076874971,0.0004433314607013017,0.0031840000301599503,-0.9902095794677734,120984.5390625,soft_hard
