,_step,_runtime,_timestamp,global_step,eval/mean_reward,eval/mean_ep_length,rollout/exploration_rate,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/loss,train/clip_loss,train/learning_rate,train/bound_violations,rollout/tot_ep_rew_mean,clip_method
0,0,1.5986266136169434,1676687184.9464626,500,0.0,200.0,0.9803624749183656,,,,,,,,,soft_hard
1,2,2.0646727085113525,1676687185.4125087,1000,0.0,200.0,0.9606856107711792,,,,,,,,,soft_hard
2,3,2.1517515182495117,1676687185.4995875,1500,0.0,200.0,0.941008687019348,,,,,,,,,soft_hard
3,5,2.2374825477600098,1676687185.5853186,2000,0.0,200.0,0.921331822872162,,,,,,,,,soft_hard
4,7,2.3375134468078613,1676687185.6853497,2900,,,0.8858740925788879,3489.0,241.6666717529297,15.916666984558104,,,,,,soft_hard
5,8,2.4043657779693604,1676687185.7522018,3000,0.0,200.0,0.8819780349731445,,,,,,,,,soft_hard
6,9,2.4884631633758545,1676687185.8362992,3500,0.0,200.0,0.8623011708259583,,,,,,,,,soft_hard
7,10,2.5054943561553955,1676687185.8533304,3900,,,0.8465203046798706,3903.0,243.75,13.46875,,,,,,soft_hard
8,11,2.572237491607666,1676687185.9200735,4000,0.0,200.0,0.8426242470741272,,,,,,,,,soft_hard
9,13,2.6739509105682373,1676687186.021787,4900,,,0.8071665167808533,4196.0,245.0,12.675000190734863,,,,,,soft_hard
10,14,2.7342803478240967,1676687186.0821164,5000,0.0,200.0,0.8032705187797546,,,,,,,,,soft_hard
11,15,3.4400289058685303,1676687186.787865,5500,97.0,200.0,0.7835935950279236,,,,0.05630035325884819,0.00022590006119571623,0.0031840000301599503,-0.8231921195983887,1522.3736572265625,soft_hard
12,16,4.364065647125244,1676687187.7119017,5900,,,0.7678127884864807,2064.0,245.8333282470703,15.9375,0.05265127867460251,0.00010598676453810184,0.0031840000301599503,-0.3464202880859375,2855.871826171875,soft_hard
13,17,4.529128074645996,1676687187.876964,6000,96.5,200.0,0.7639167308807373,,,,0.04481703042984009,0.00010161761019844562,0.0031840000301599503,-0.2559347152709961,3254.309326171875,soft_hard
14,18,5.2254462242126465,1676687188.5732822,6500,96.5,200.0,0.744239866733551,,,,0.011074921116232872,0.0,0.0031840000301599503,0.0,5390.95361328125,soft_hard
15,19,5.765833616256714,1676687189.1136696,6900,,,0.7284590005874634,1619.0,246.42857360839844,24.803571701049805,0.00710389344021678,1.2627251635422e-05,0.0031840000301599503,-0.13707828521728516,7507.12158203125,soft_hard
16,20,5.933797836303711,1676687189.281634,7000,97.0,200.0,0.72456294298172,,,,0.005556839052587748,0.00010849501995835452,0.0031840000301599503,-0.3459310531616211,8127.2109375,soft_hard
17,21,6.641724109649658,1676687189.98956,7500,97.0,200.0,0.7048860788345337,,,,0.005401500500738621,4.866700328420848e-05,0.0031840000301599503,-0.26082897186279297,11442.705078125,soft_hard
18,22,7.177512407302856,1676687190.5253484,7900,,,0.689105212688446,1393.0,246.875,32.6875,0.0006346453446894884,3.1991734431358054e-05,0.0031840000301599503,-0.16230106353759766,14453.404296875,soft_hard
19,23,7.342707633972168,1676687190.6905437,8000,97.0,200.0,0.6852092146873474,,,,0.00018502285820432007,2.251223304483574e-05,0.0031840000301599503,-0.13504886627197266,15270.591796875,soft_hard
20,25,8.566806554794312,1676687191.9146426,8900,,,0.6497514247894287,1260.0,247.22222900390625,38.125,0.0005854649352841079,3.0285837055998854e-05,0.0031840000301599503,-0.1942739486694336,23207.076171875,soft_hard
21,26,8.733126640319824,1676687192.080963,9000,97.0,200.0,0.6458554267883301,,,,0.00019088797853328288,4.0056303987512365e-05,0.0031840000301599503,-0.23337268829345703,24160.201171875,soft_hard
22,27,9.430851697921751,1676687192.7786877,9500,97.0,200.0,0.6261785626411438,,,,0.0002984273014590144,2.6406663891975768e-05,0.0031840000301599503,-0.1443767547607422,29071.046875,soft_hard
23,28,9.960770606994627,1676687193.3086066,9900,,,0.6103976964950562,1171.0,247.5,43.087501525878906,0.0006017849082127213,5.443941699923016e-05,0.0031840000301599503,-0.28800106048583984,33225.7890625,soft_hard
24,29,10.126493215560911,1676687193.4743292,10000,97.0,200.0,0.6065016388893127,,,,0.00030655605951324105,0.00012694923498202115,0.0031840000301599503,-0.45150089263916016,34302.9765625,soft_hard
25,30,10.833948850631714,1676687194.1817849,10500,97.0,200.0,0.5868247747421265,,,,0.000347666849847883,0.00012272180174477398,0.0031840000301599503,-0.5181407928466797,39830.54296875,soft_hard
