,_step,_runtime,_timestamp,global_step,eval/mean_reward,eval/mean_ep_length,rollout/exploration_rate,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/loss,train/clip_loss,train/learning_rate,train/bound_violations,rollout/tot_ep_rew_mean,clip_method
0,0,2.5826892852783203,1676690619.8481224,500,0.0,200.0,0.9803624749183656,,,,,,,,,soft_hard
1,1,3.0096819400787354,1676690620.275115,900,,,0.9645816087722778,1732.0,225.0,17.0,,,,,,soft_hard
2,2,3.0808167457580566,1676690620.3462498,1000,0.0,200.0,0.9606856107711792,,,,,,,,,soft_hard
3,3,3.1675214767456055,1676690620.4329543,1500,0.0,200.0,0.941008687019348,,,,,,,,,soft_hard
4,4,3.184396743774414,1676690620.4498298,1900,,,0.9252278208732604,2735.0,237.5,16.0625,,,,,,soft_hard
5,5,3.252356767654419,1676690620.5177898,2000,0.0,200.0,0.921331822872162,,,,,,,,,soft_hard
6,7,3.352815866470337,1676690620.618249,2900,,,0.8858740925788879,3360.0,241.6666717529297,14.125,,,,,,soft_hard
7,8,3.4177181720733643,1676690620.6831512,3000,0.0,200.0,0.8819780349731445,,,,,,,,,soft_hard
8,9,3.500558853149414,1676690620.765992,3500,0.0,200.0,0.8623011708259583,,,,,,,,,soft_hard
9,10,3.5174052715301514,1676690620.7828383,3900,,,0.8465203046798706,3795.0,243.75,16.28125,,,,,,soft_hard
10,11,3.584031581878662,1676690620.849465,4000,0.0,200.0,0.8426242470741272,,,,,,,,,soft_hard
11,12,3.667394638061523,1676690620.9328277,4500,0.0,200.0,0.8229473829269409,,,,,,,,,soft_hard
12,13,3.684206008911133,1676690620.949639,4900,,,0.8071665167808533,4102.0,245.0,17.225000381469727,,,,,,soft_hard
13,14,3.752060890197754,1676690621.017494,5000,0.0,200.0,0.8032705187797546,,,,,,,,,soft_hard
14,16,5.402830600738525,1676690622.6682637,5900,,,0.7678127884864807,2025.0,245.8333282470703,21.72916603088379,0.04517415910959244,0.0,0.0031840000301599503,0.0,4144.24267578125,soft_hard
15,17,5.569808483123779,1676690622.8352416,6000,97.0,200.0,0.7639167308807373,,,,0.032393552362918854,6.022545858286321e-05,0.0031840000301599503,-0.35068702697753906,4687.4716796875,soft_hard
16,18,6.275906324386597,1676690623.5413394,6500,97.0,200.0,0.744239866733551,,,,0.017225809395313263,4.942693340126425e-05,0.0031840000301599503,-0.16314220428466797,7616.2568359375,soft_hard
17,19,6.814698219299316,1676690624.0801313,6900,,,0.7284590005874634,1595.0,246.42857360839844,29.571428298950195,0.02344018593430519,1.3628246961161494e-05,0.0031840000301599503,-0.07160663604736328,10253.6142578125,soft_hard
18,21,7.687787294387817,1676690624.9532204,7500,97.0,200.0,0.7048860788345337,,,,0.013429731130599976,5.733790749218315e-05,0.0031840000301599503,-0.2260904312133789,14923.15234375,soft_hard
19,22,8.224707841873169,1676690625.490141,7900,,,0.689105212688446,1377.0,246.875,35.65625,0.006075833924114704,6.027947529219091e-05,0.0031840000301599503,-0.24464130401611328,18322.427734375,soft_hard
20,23,8.392295598983765,1676690625.657729,8000,97.0,200.0,0.6852092146873474,,,,0.004477240610867739,0.0001973734761122614,0.0031840000301599503,-0.5872306823730469,19213.833984375,soft_hard
21,24,9.098228931427002,1676690626.363662,8500,97.0,200.0,0.6655322909355164,,,,0.014662133529782295,6.970891263335943e-05,0.0031840000301599503,-0.28796863555908203,23842.45703125,soft_hard
22,25,9.63564395904541,1676690626.901077,8900,,,0.6497514247894287,1245.0,247.22222900390625,40.73611068725586,0.00037699477979913354,8.92251409823075e-05,0.0031840000301599503,-0.3578481674194336,27780.35546875,soft_hard
23,26,9.803670883178713,1676690627.069104,9000,97.0,200.0,0.6458554267883301,,,,0.00031213974580168724,6.597054743906483e-05,0.0031840000301599503,-0.2917013168334961,28798.7578125,soft_hard
24,27,10.517731428146362,1676690627.7831645,9500,97.0,200.0,0.6261785626411438,,,,0.0010802207980304956,4.885983798885718e-05,0.0031840000301599503,-0.3405799865722656,33945.078125,soft_hard
25,28,11.05627179145813,1676690628.3217049,9900,,,0.6103976964950562,1155.0,247.5,43.86249923706055,0.009859087876975536,6.349834438879043e-05,0.0031840000301599503,-0.289520263671875,38194.3359375,soft_hard
26,29,11.225463390350342,1676690628.4908965,10000,97.0,200.0,0.6065016388893127,,,,0.014917156659066675,0.0001179479731945321,0.0031840000301599503,-0.5023937225341797,39290.8984375,soft_hard
27,30,11.936323404312134,1676690629.2017565,10500,97.0,200.0,0.5868247747421265,,,,0.0005241701146587729,9.127123485086486e-05,0.0031840000301599503,-0.2929811477661133,44909.35546875,soft_hard
