,_step,_runtime,_timestamp,global_step,eval/mean_reward,eval/mean_ep_length,rollout/exploration_rate,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/loss,train/clip_loss,train/learning_rate,train/bound_violations,rollout/tot_ep_rew_mean,clip_method
0,0,1.6214215755462646,1676691787.889299,500,0.0,200.0,0.9803624749183656,,,,,,,,,soft_hard
1,1,2.0610010623931885,1676691788.3288782,900,,,0.9645816087722778,1710.0,225.0,14.375,,,,,,soft_hard
2,2,2.131399154663086,1676691788.3992765,1000,0.0,200.0,0.9606856107711792,,,,,,,,,soft_hard
3,3,2.2064688205718994,1676691788.474346,1500,0.0,200.0,0.941008687019348,,,,,,,,,soft_hard
4,4,2.2232630252838135,1676691788.49114,1900,,,0.9252278208732604,2759.0,237.5,12.25,,,,,,soft_hard
5,5,2.2903409004211426,1676691788.558218,2000,0.0,200.0,0.921331822872162,,,,,,,,,soft_hard
6,6,2.374427080154419,1676691788.6423042,2500,0.0,200.0,0.9016549587249756,,,,,,,,,soft_hard
7,7,2.3912594318389893,1676691788.6591363,2900,,,0.8858740925788879,3385.0,241.6666717529297,13.833333015441896,,,,,,soft_hard
8,8,2.4586567878723145,1676691788.726534,3000,0.0,200.0,0.8819780349731445,,,,,,,,,soft_hard
9,9,2.5426485538482666,1676691788.8105257,3500,0.0,200.0,0.8623011708259583,,,,,,,,,soft_hard
10,10,2.5597143173217773,1676691788.8275914,3900,,,0.8465203046798706,3804.0,243.75,17.59375,,,,,,soft_hard
11,11,2.6274614334106445,1676691788.8953383,4000,0.0,200.0,0.8426242470741272,,,,,,,,,soft_hard
12,12,2.7115912437438965,1676691788.9794683,4500,0.0,200.0,0.8229473829269409,,,,,,,,,soft_hard
13,13,2.7287161350250244,1676691788.9965932,4900,,,0.8071665167808533,4103.0,245.0,15.0,,,,,,soft_hard
14,14,2.796154022216797,1676691789.0640311,5000,0.0,200.0,0.8032705187797546,,,,,,,,,soft_hard
15,15,3.5484580993652344,1676691789.8163352,5500,0.0,200.0,0.7835935950279236,,,,0.0711602121591568,0.0005809263093397021,0.0031840000301599503,-1.2553691864013672,1932.7813720703125,soft_hard
16,16,4.126416444778442,1676691790.3942935,5900,,,0.7678127884864807,2276.0,245.8333282470703,21.08333396911621,0.059766851365566254,0.00024463774752803147,0.0031840000301599503,-0.5843391418457031,3745.5283203125,soft_hard
17,17,4.294247627258301,1676691790.5621247,6000,97.0,200.0,0.7639167308807373,,,,0.04801904410123825,6.516470602946356e-05,0.0031840000301599503,-0.325284481048584,4272.61181640625,soft_hard
18,18,5.4282941818237305,1676691791.6961713,6500,97.0,200.0,0.744239866733551,,,,0.040990494191646576,1.1855006050609518e-05,0.0031840000301599503,-0.08728456497192383,7143.5478515625,soft_hard
19,19,5.965044260025024,1676691792.2329214,6900,,,0.7284590005874634,1557.0,246.42857360839844,29.23214340209961,0.0177070964127779,2.2114134026196552e-06,0.0031840000301599503,-0.03049278259277344,9788.419921875,soft_hard
20,20,6.167638778686523,1676691792.435516,7000,97.0,200.0,0.72456294298172,,,,0.005423317663371563,2.0948822566424496e-05,0.0031840000301599503,-0.10743522644042967,10519.22265625,soft_hard
21,21,6.877504110336304,1676691793.1453812,7500,97.0,200.0,0.7048860788345337,,,,0.002802749164402485,1.2419441191013902e-05,0.0031840000301599503,-0.09929084777832033,14411.275390625,soft_hard
22,22,7.455779790878296,1676691793.723657,7900,,,0.689105212688446,1334.0,246.875,35.390625,0.0016868944512680173,6.067389767849818e-05,0.0031840000301599503,-0.27787017822265625,17778.505859375,soft_hard
23,23,7.621205806732178,1676691793.889083,8000,97.0,200.0,0.6852092146873474,,,,0.0005034910282120109,4.758762224810198e-05,0.0031840000301599503,-0.2544431686401367,18663.271484375,soft_hard
24,24,8.366328239440918,1676691794.634205,8500,97.0,200.0,0.6655322909355164,,,,0.0003081392787862569,8.18474727566354e-05,0.0031840000301599503,-0.3692770004272461,23173.712890625,soft_hard
25,25,8.900296211242676,1676691795.1681733,8900,,,0.6497514247894287,1208.0,247.22222900390625,38.65277862548828,0.00039519171696156263,7.37634181859903e-05,0.0031840000301599503,-0.363957405090332,26903.712890625,soft_hard
26,26,9.0643150806427,1676691795.3321922,9000,97.0,200.0,0.6458554267883301,,,,0.014708401635289192,5.913132554269396e-05,0.0031840000301599503,-0.3024120330810547,27870.03125,soft_hard
27,27,9.814317226409912,1676691796.0821943,9500,97.0,200.0,0.6261785626411438,,,,0.0007995407795533538,9.920628508552908e-05,0.0031840000301599503,-0.40416622161865234,32829.33203125,soft_hard
28,28,10.40546464920044,1676691796.6733418,9900,,,0.6103976964950562,1116.0,247.5,44.26250076293945,0.0008021974936127663,6.386821769410744e-05,0.0031840000301599503,-0.26282405853271484,37037.71875,soft_hard
29,29,10.572190761566162,1676691796.840068,10000,97.0,200.0,0.6065016388893127,,,,0.0003632118459790945,7.941808144096285e-05,0.0031840000301599503,-0.35810279846191406,38144.28125,soft_hard
30,30,11.320655345916748,1676691797.5885324,10500,97.0,200.0,0.5868247747421265,,,,0.0004758897703140974,4.285724207875319e-05,0.0031840000301599503,-0.2075185775756836,43800.9375,soft_hard
31,31,11.865919589996338,1676691798.1337967,10900,,,0.5710439085960388,1055.0,247.7272796630859,48.17045593261719,0.0002557632396928966,8.796485781203955e-05,0.0031840000301599503,-0.4026765823364258,48473.734375,soft_hard
32,32,12.035565614700316,1676691798.3034427,11000,97.0,200.0,0.5671479105949402,,,,0.00039424822898581624,0.00012516191054601222,0.0031840000301599503,-0.43290138244628906,49677.99609375,soft_hard
33,33,12.787068605422974,1676691799.0549457,11500,97.0,200.0,0.5474709868431091,,,,0.0006447379710152745,8.300207991851494e-05,0.0031840000301599503,-0.3422737121582031,55831.44921875,soft_hard
34,34,13.376516342163086,1676691799.6443934,11900,,,0.5316901206970215,1004.0,247.9166717529297,52.25,0.00038399992627091706,6.070425297366455e-05,0.0031840000301599503,-0.25053882598876953,60910.30859375,soft_hard
35,35,13.54657816886902,1676691799.8144553,12000,97.0,200.0,0.5277941226959229,,,,0.014007552526891232,6.260140798985958e-05,0.0031840000301599503,-0.31053924560546875,62216.55859375,soft_hard
36,36,14.303302526474,1676691800.5711796,12500,97.0,200.0,0.5081172585487366,,,,0.0003370254416950047,0.00010195810318691656,0.0031840000301599503,-0.45302581787109375,68854.3984375,soft_hard
37,37,14.857286214828491,1676691801.1251633,12900,,,0.49233636260032654,968.0,248.0769195556641,55.50961685180664,0.0010564840631559491,1.3747045159107074e-05,0.0031840000301599503,-0.13992023468017578,74301.78125,soft_hard
38,38,15.026001930236816,1676691801.293879,13000,97.0,200.0,0.4884403347969055,,,,0.014616603963077068,4.047255788464099e-05,0.0031840000301599503,-0.2775392532348633,75689.5234375,soft_hard
39,39,15.633633852005005,1676691801.901511,13500,97.0,200.0,0.4687634706497192,,,,0.0005751134594902396,0.00011129569611512125,0.0031840000301599503,-0.4820680618286133,82729.359375,soft_hard
40,40,15.990111827850342,1676691802.257989,13900,,,0.4529826045036316,961.0,248.2142791748047,58.46428680419922,0.00047420032205991447,4.950349102728069e-05,0.0031840000301599503,-0.15665531158447266,88485.78125,soft_hard
41,41,16.108259439468384,1676691802.3761363,14000,97.0,200.0,0.44908657670021057,,,,0.00035731118987314403,0.00010564726107986644,0.0031840000301599503,-0.3388404846191406,89947.390625,soft_hard
42,42,16.627546072006226,1676691802.8954232,14500,97.0,200.0,0.4294096827507019,,,,0.0005001134122721851,0.0001393906568409875,0.0031840000301599503,-0.3690967559814453,97363.9140625,soft_hard
43,43,16.988967657089233,1676691803.2568448,14900,,,0.41362884640693665,964.0,248.3333282470703,61.91666793823242,0.0005210672388784587,0.00010849345562746748,0.0031840000301599503,-0.5079383850097656,103447.1796875,soft_hard
44,44,17.107886791229248,1676691803.375764,15000,97.0,200.0,0.4097328186035156,,,,0.016046971082687378,0.00010431837290525436,0.0031840000301599503,-0.4570760726928711,104995.1015625,soft_hard
45,45,17.629120588302612,1676691803.8969977,15500,97.0,200.0,0.39005592465400696,,,,0.0006761296535842121,7.185865251813084e-05,0.0031840000301599503,-0.2603311538696289,112824.78125,soft_hard
46,46,17.99228262901306,1676691804.2601595,15900,,,0.3742750585079193,966.0,248.4375,64.59375,0.0011650043306872249,0.00012585018703248352,0.0031840000301599503,-0.5077857971191406,119208.84375,soft_hard
47,47,18.110271692276,1676691804.3781488,16000,97.0,200.0,0.3703790307044983,,,,0.001025810721330345,0.00015807915769983083,0.0031840000301599503,-0.4065580368041992,120823.6875,soft_hard
48,48,18.64034628868103,1676691804.9082234,16500,97.0,200.0,0.350702166557312,,,,0.01800357550382614,7.941403600852937e-05,0.0031840000301599503,-0.3822927474975586,128975.1484375,soft_hard
49,49,19.00362515449524,1676691805.2715025,16900,,,0.33492130041122437,967.0,248.5294189453125,67.10294342041016,0.015525134280323982,0.0005672738770954311,0.0031840000301599503,-1.3517980575561523,135607.890625,soft_hard
50,50,19.12318515777588,1676691805.3910625,17000,97.0,200.0,0.33102527260780334,,,,0.0004081774968653918,0.0001142841501859948,0.0031840000301599503,-0.3493766784667969,137285.46875,soft_hard
51,51,19.640324115753177,1676691805.9082012,17500,97.0,200.0,0.3113483786582947,,,,0.0004593039338942617,0.00017375723109580576,0.0031840000301599503,-0.6936473846435547,145742.0,soft_hard
52,52,20.00730609893799,1676691806.2751832,17900,,,0.29556751251220703,969.0,248.61111450195312,69.28472137451172,0.0002072217175737023,5.250133472145535e-05,0.0031840000301599503,-0.23698902130126953,152601.984375,soft_hard
53,53,20.127268075942993,1676691806.3951452,18000,97.0,200.0,0.291671484708786,,,,0.0009090864332392812,0.0002173286338802427,0.0031840000301599503,-0.7119255065917969,154334.109375,soft_hard
54,54,20.64699959754944,1676691806.9148767,18500,97.0,200.0,0.27199462056159973,,,,0.001604623394086957,0.0001327358913840726,0.0031840000301599503,-0.44162845611572266,163066.515625,soft_hard
55,55,21.013853311538696,1676691807.2817304,18900,,,0.2562137544155121,970.0,248.6842041015625,71.44078826904297,0.0020470302551984787,1.592500484548509e-05,0.0031840000301599503,-0.1481342315673828,170151.8125,soft_hard
56,56,21.134190559387207,1676691807.4020677,19000,97.0,200.0,0.25231772661209106,,,,0.0008476653601974249,0.00015101961616892368,0.0031840000301599503,-0.6634416580200195,171937.828125,soft_hard
57,57,21.66022253036499,1676691807.9280996,19500,97.0,200.0,0.2326408475637436,,,,0.0011445607524365189,2.1210196791798808e-05,0.0031840000301599503,-0.13499927520751953,180931.8125,soft_hard
58,58,22.0341272354126,1676691808.3020043,19900,,,0.21685998141765592,970.0,248.75,73.4375,0.00138255360070616,6.932090764166787e-05,0.0031840000301599503,-0.3314638137817383,188211.5,soft_hard
59,59,22.154679775238037,1676691808.4225569,20000,97.0,200.0,0.21296395361423492,,,,0.0005739806802012026,0.00011454799823695794,0.0031840000301599503,-0.3445568084716797,190047.4375,soft_hard
60,60,22.68179488182068,1676691808.949672,20500,97.0,200.0,0.19328707456588745,,,,0.0006410350324586034,0.0003706294228322804,0.0031840000301599503,-1.2178497314453125,199280.5,soft_hard
61,61,23.070151329040527,1676691809.3380284,20900,,,0.1775062084197998,970.0,248.8095245361328,75.19047546386719,0.001271376968361437,0.0001622671989025548,0.0031840000301599503,-0.5448770523071289,206744.515625,soft_hard
62,62,23.193477869033813,1676691809.461355,21000,97.0,200.0,0.17361019551753998,,,,0.0007561835227534175,0.00010635799844749272,0.0031840000301599503,-0.4736309051513672,208624.28125,soft_hard
