,_step,_runtime,_timestamp,global_step,eval/mean_reward,eval/mean_ep_length,rollout/exploration_rate,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/loss,train/clip_loss,train/learning_rate,train/bound_violations,rollout/tot_ep_rew_mean,clip_method
0,0,1.6251864433288574,1676682249.5506155,500,0.0,200.0,0.9803624749183656,,,,,,,,,soft_hard
1,1,2.0786967277526855,1676682250.0041258,900,,,0.9645816087722778,1668.0,225.0,13.5,,,,,,soft_hard
2,2,2.1495766639709473,1676682250.0750058,1000,0.0,200.0,0.9606856107711792,,,,,,,,,soft_hard
3,3,2.2354180812835693,1676682250.1608472,1500,0.0,200.0,0.941008687019348,,,,,,,,,soft_hard
4,4,2.2520360946655273,1676682250.1774652,1900,,,0.9252278208732604,2665.0,237.5,13.6875,,,,,,soft_hard
5,5,2.321399450302124,1676682250.2468286,2000,0.0,200.0,0.921331822872162,,,,,,,,,soft_hard
6,6,2.4063360691070557,1676682250.3317652,2500,0.0,200.0,0.9016549587249756,,,,,,,,,soft_hard
7,7,2.4229440689086914,1676682250.3483732,2900,,,0.8858740925788879,3281.0,241.6666717529297,13.083333015441896,,,,,,soft_hard
8,10,2.5893783569335938,1676682250.5148077,3900,,,0.8465203046798706,3714.0,243.75,16.65625,,,,,,soft_hard
9,11,2.652991771697998,1676682250.5784209,4000,0.0,200.0,0.8426242470741272,,,,,,,,,soft_hard
10,12,2.7367727756500244,1676682250.662202,4500,0.0,200.0,0.8229473829269409,,,,,,,,,soft_hard
11,13,2.75355863571167,1676682250.6789875,4900,,,0.8071665167808533,4035.0,245.0,15.949999809265137,,,,,,soft_hard
12,14,2.820284843444824,1676682250.745714,5000,0.0,200.0,0.8032705187797546,,,,,,,,,soft_hard
13,15,3.5542421340942383,1676682251.4796712,5500,96.5,200.0,0.7835935950279236,,,,0.05931088328361511,0.00169493374414742,0.0031840000301599503,-4.228059768676758,2077.085693359375,soft_hard
14,16,4.541109800338745,1676682252.466539,5900,,,0.7678127884864807,1965.0,245.8333282470703,22.54166603088379,0.04139275848865509,0.0004376979195512831,0.0031840000301599503,-0.8248500823974609,4060.23779296875,soft_hard
15,17,4.706241130828857,1676682252.6316702,6000,97.0,200.0,0.7639167308807373,,,,0.04511803388595581,3.6225970688974485e-05,0.0031840000301599503,-0.14744186401367188,4623.77978515625,soft_hard
16,18,5.85637354850769,1676682253.781803,6500,97.0,200.0,0.744239866733551,,,,0.030534805729985237,4.872812132816762e-05,0.0031840000301599503,-0.198211669921875,7611.5166015625,soft_hard
17,19,6.42386794090271,1676682254.349297,6900,,,0.7284590005874634,1412.0,246.42857360839844,28.375,0.001538728130981326,6.811197181377793e-06,0.0031840000301599503,-0.0749969482421875,10272.3427734375,soft_hard
18,20,6.5895960330963135,1676682254.5150251,7000,97.0,200.0,0.72456294298172,,,,0.0003563414793461561,4.2191153625026345e-05,0.0031840000301599503,-0.26256370544433594,10981.7177734375,soft_hard
19,21,7.320966243743896,1676682255.246395,7500,97.0,200.0,0.7048860788345337,,,,0.0002788506099022925,3.941955947084352e-05,0.0031840000301599503,-0.25917720794677734,14696.6171875,soft_hard
20,22,7.86100697517395,1676682255.786436,7900,,,0.689105212688446,1249.0,246.875,34.65625,0.000318745820550248,0.00016904674703255296,0.0031840000301599503,-0.8090305328369141,17958.66015625,soft_hard
21,23,8.072672128677368,1676682255.9981012,8000,97.0,200.0,0.6852092146873474,,,,0.0002128590713255107,8.295974839711562e-05,0.0031840000301599503,-0.4130706787109375,18825.06640625,soft_hard
22,24,8.774054288864136,1676682256.6994834,8500,97.0,200.0,0.6655322909355164,,,,0.014358596876263618,4.84932133986149e-05,0.0031840000301599503,-0.24892807006835935,23286.1875,soft_hard
23,26,9.51422381401062,1676682257.439653,9000,97.0,200.0,0.6458554267883301,,,,0.00045859848614782095,0.00012162794882897288,0.0031840000301599503,-0.4348917007446289,28061.814453125,soft_hard
24,27,10.017504453659058,1676682257.9429336,9500,97.0,200.0,0.6261785626411438,,,,0.00016948056872934103,1.929138852574397e-05,0.0031840000301599503,-0.10263729095458984,33155.3671875,soft_hard
25,28,10.409060001373293,1676682258.334489,9900,,,0.6103976964950562,1116.0,247.5,45.150001525878906,0.006670685019344091,0.00010125010885531084,0.0031840000301599503,-0.4909944534301758,37485.26171875,soft_hard
26,29,10.527619123458862,1676682258.4530482,10000,97.0,200.0,0.6065016388893127,,,,0.000311155105009675,0.00013705635501537472,0.0031840000301599503,-0.5329856872558594,38614.01171875,soft_hard
27,31,11.405434846878052,1676682259.330864,10900,,,0.5710439085960388,1104.0,247.7272796630859,49.227272033691406,0.0002866402792278677,1.613597669347655e-05,0.0031840000301599503,-0.10037994384765624,49178.109375,soft_hard
28,32,11.524885416030884,1676682259.4503143,11000,97.0,200.0,0.5671479105949402,,,,0.000542416877578944,8.169563807314262e-05,0.0031840000301599503,-0.4204683303833008,50408.7890625,soft_hard
29,33,12.010046005249023,1676682259.935475,11500,97.0,200.0,0.5474709868431091,,,,0.017656372860074043,0.00011858472862513736,0.0031840000301599503,-0.4728507995605469,56672.25390625,soft_hard
30,34,12.412494421005247,1676682260.3379235,11900,,,0.5316901206970215,1094.0,247.9166717529297,52.72916793823242,0.01474155392497778,5.455416612676345e-05,0.0031840000301599503,-0.24236011505126953,61837.9140625,soft_hard
31,35,12.531338453292848,1676682260.4567676,12000,97.0,200.0,0.5277941226959229,,,,0.0013514417223632336,9.46559084695764e-05,0.0031840000301599503,-0.5081071853637695,63156.140625,soft_hard
32,36,13.01578688621521,1676682260.941216,12500,97.0,200.0,0.5081172585487366,,,,0.00029144654399715364,3.713075057021342e-05,0.0031840000301599503,-0.15860652923583984,69855.0703125,soft_hard
33,37,13.422714948654177,1676682261.348144,12900,,,0.49233636260032654,1085.0,248.0769195556641,56.04807662963867,0.001032018568366766,0.0001371467806166038,0.0031840000301599503,-0.4941749572753906,75371.3046875,soft_hard
34,38,13.542978763580322,1676682261.468408,13000,97.0,200.0,0.4884403347969055,,,,0.0004528760036919266,0.00013333081733435392,0.0031840000301599503,-0.518214225769043,76772.5078125,soft_hard
35,39,14.02912712097168,1676682261.9545562,13500,97.0,200.0,0.4687634706497192,,,,0.0007334091351367533,0.00018111574172507972,0.0031840000301599503,-0.5882368087768555,83876.78125,soft_hard
