,_step,_runtime,_timestamp,global_step,eval/mean_reward,eval/mean_ep_length,rollout/exploration_rate,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/loss,train/clip_loss,train/learning_rate,train/bound_violations,rollout/tot_ep_rew_mean,clip_method
0,0,1.722097635269165,1676682549.279137,500,0.0,200.0,0.9803624749183656,,,,,,,,,soft_hard
1,1,2.147056818008423,1676682549.7040958,900,,,0.9645816087722778,1757.0,225.0,14.75,,,,,,soft_hard
2,2,2.218090772628784,1676682549.7751298,1000,0.0,200.0,0.9606856107711792,,,,,,,,,soft_hard
3,3,2.3030686378479004,1676682549.8601077,1500,0.0,200.0,0.941008687019348,,,,,,,,,soft_hard
4,4,2.319981575012207,1676682549.8770206,1900,,,0.9252278208732604,2773.0,237.5,18.0,,,,,,soft_hard
5,5,2.3875434398651123,1676682549.9445825,2000,0.0,200.0,0.921331822872162,,,,,,,,,soft_hard
6,6,2.47122573852539,1676682550.0282648,2500,0.0,200.0,0.9016549587249756,,,,,,,,,soft_hard
7,7,2.48828387260437,1676682550.045323,2900,,,0.8858740925788879,3398.0,241.6666717529297,18.25,,,,,,soft_hard
8,9,2.6292200088500977,1676682550.186259,3500,0.0,200.0,0.8623011708259583,,,,,,,,,soft_hard
9,10,2.645983934402466,1676682550.203023,3900,,,0.8465203046798706,3857.0,243.75,17.5625,,,,,,soft_hard
10,11,2.7132527828216553,1676682550.2702918,4000,0.0,200.0,0.8426242470741272,,,,,,,,,soft_hard
11,12,2.797577142715454,1676682550.3546162,4500,0.0,200.0,0.8229473829269409,,,,,,,,,soft_hard
12,13,2.814469575881958,1676682550.3715086,4900,,,0.8071665167808533,4154.0,245.0,17.700000762939453,,,,,,soft_hard
13,14,2.8809702396392822,1676682550.4380093,5000,0.0,200.0,0.8032705187797546,,,,,,,,,soft_hard
14,15,3.6176602840423584,1676682551.1746993,5500,0.0,200.0,0.7835935950279236,,,,0.062241412699222565,0.001516249729320407,0.0031840000301599503,-3.9205846786499023,2367.54345703125,soft_hard
