,_step,_runtime,_timestamp,global_step,eval/mean_reward,eval/mean_ep_length,rollout/exploration_rate,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/loss,train/clip_loss,train/learning_rate,train/bound_violations,rollout/tot_ep_rew_mean,clip_method
0,0,1.5902390480041504,1676686904.382831,500,0.0,200.0,0.9803624749183656,,,,,,,,,soft_hard
1,1,2.0039079189300537,1676686904.7965,900,,,0.9645816087722778,1797.0,225.0,8.125,,,,,,soft_hard
2,2,2.072499513626098,1676686904.8650916,1000,0.0,200.0,0.9606856107711792,,,,,,,,,soft_hard
3,3,2.1568050384521484,1676686904.949397,1500,0.0,200.0,0.941008687019348,,,,,,,,,soft_hard
4,4,2.1731905937194824,1676686904.9657826,1900,,,0.9252278208732604,2835.0,237.5,19.125,,,,,,soft_hard
5,5,2.241222381591797,1676686905.0338144,2000,0.0,200.0,0.921331822872162,,,,,,,,,soft_hard
6,6,2.3166255950927734,1676686905.1092176,2500,0.0,200.0,0.9016549587249756,,,,,,,,,soft_hard
7,7,2.3330516815185547,1676686905.1256435,2900,,,0.8858740925788879,3493.0,241.6666717529297,22.0,,,,,,soft_hard
8,8,2.4003255367279053,1676686905.1929176,3000,0.0,200.0,0.8819780349731445,,,,,,,,,soft_hard
9,9,2.4828381538391113,1676686905.2754302,3500,0.0,200.0,0.8623011708259583,,,,,,,,,soft_hard
10,10,2.499401807785034,1676686905.291994,3900,,,0.8465203046798706,3914.0,243.75,20.3125,,,,,,soft_hard
11,11,2.5659942626953125,1676686905.3585863,4000,0.0,200.0,0.8426242470741272,,,,,,,,,soft_hard
12,12,2.6491141319274902,1676686905.4417062,4500,0.0,200.0,0.8229473829269409,,,,,,,,,soft_hard
13,13,2.6655404567718506,1676686905.4581325,4900,,,0.8071665167808533,4214.0,245.0,20.174999237060547,,,,,,soft_hard
14,14,2.732736349105835,1676686905.5253284,5000,0.0,200.0,0.8032705187797546,,,,,,,,,soft_hard
15,15,3.426057815551758,1676686906.21865,5500,96.5,200.0,0.7835935950279236,,,,0.06912664324045181,0.0005625889170914888,0.0031840000301599503,-1.6324357986450195,2493.905029296875,soft_hard
16,16,4.408084869384766,1676686907.200677,5900,,,0.7678127884864807,2031.0,245.8333282470703,23.66666603088379,0.05245333164930344,0.00011090653424616904,0.0031840000301599503,-0.2129006385803223,4595.04150390625,soft_hard
17,17,4.575261116027832,1676686907.3678532,6000,97.0,200.0,0.7639167308807373,,,,0.04225275665521622,0.001105242525227368,0.0031840000301599503,-1.7268977165222168,5186.7080078125,soft_hard
18,20,6.452165126800537,1676686909.2447572,7000,97.0,200.0,0.72456294298172,,,,0.028232529759407043,0.0,0.0031840000301599503,0.0,12024.2177734375,soft_hard
19,21,7.1546630859375,1676686909.9472551,7500,97.0,200.0,0.7048860788345337,,,,0.0033951885998249054,8.874853847373743e-07,0.0031840000301599503,-0.01565074920654297,16243.671875,soft_hard
20,23,7.867066144943237,1676686910.6596582,8000,97.0,200.0,0.6852092146873474,,,,0.0005172766395844519,1.7347872926620767e-05,0.0031840000301599503,-0.07414722442626953,20964.58203125,soft_hard
21,25,8.839025497436523,1676686911.6316175,8900,,,0.6497514247894287,1213.0,247.22222900390625,43.30555725097656,0.000427991762990132,7.404332427540794e-05,0.0031840000301599503,-0.3049488067626953,30158.537109375,soft_hard
22,26,8.956186771392822,1676686911.7487788,9000,97.0,200.0,0.6458554267883301,,,,0.001055543078109622,3.597922113840468e-05,0.0031840000301599503,-0.23659229278564453,31241.17578125,soft_hard
23,27,9.415488481521606,1676686912.2080803,9500,97.0,200.0,0.6261785626411438,,,,0.00040426821215078235,6.227432459127158e-05,0.0031840000301599503,-0.2265777587890625,36783.578125,soft_hard
24,28,9.763967514038086,1676686912.5565596,9900,,,0.6103976964950562,1198.0,247.5,47.54999923706055,0.00047168773016892374,1.7025112128976616e-06,0.0031840000301599503,-0.021677017211914062,41406.46875,soft_hard
25,29,9.87856388092041,1676686912.671156,10000,97.0,200.0,0.6065016388893127,,,,0.0005983853479847312,8.596855332143605e-05,0.0031840000301599503,-0.4282350540161133,42595.21875,soft_hard
26,30,10.343077659606934,1676686913.1356697,10500,97.0,200.0,0.5868247747421265,,,,0.00025445991195738316,0.00013072208093944937,0.0031840000301599503,-0.4495820999145508,48673.4296875,soft_hard
27,31,10.693908929824827,1676686913.486501,10900,,,0.5710439085960388,1185.0,247.7272796630859,51.06818008422851,0.0009835674427449703,0.0001514390460215509,0.0031840000301599503,-0.5544414520263672,53704.05078125,soft_hard
28,32,10.809754371643066,1676686913.6023464,11000,97.0,200.0,0.5671479105949402,,,,0.00033523107413202524,5.88026232435368e-05,0.0031840000301599503,-0.35957908630371094,54980.7578125,soft_hard
29,33,11.274270057678224,1676686914.066862,11500,97.0,200.0,0.5474709868431091,,,,0.00026575749507173896,0.00014413153985515237,0.0031840000301599503,-0.552495002746582,61505.26953125,soft_hard
30,34,11.62845253944397,1676686914.4210446,11900,,,0.5316901206970215,1175.0,247.9166717529297,55.07291793823242,0.03556597977876663,6.459790165536106e-05,0.0031840000301599503,-0.3225412368774414,66912.1953125,soft_hard
31,35,11.74751591682434,1676686914.540108,12000,97.0,200.0,0.5277941226959229,,,,0.0005873327609151602,0.0003219180798623711,0.0031840000301599503,-0.8115720748901367,68289.0234375,soft_hard
32,37,12.570566177368164,1676686915.3631582,12900,,,0.49233636260032654,1165.0,248.0769195556641,58.32692337036133,0.01052787434309721,3.763881977647543e-05,0.0031840000301599503,-0.16660594940185547,81030.703125,soft_hard
33,38,12.687497854232788,1676686915.48009,13000,97.0,200.0,0.4884403347969055,,,,0.00041111098835244775,7.73470601416193e-05,0.0031840000301599503,-0.4212045669555664,82488.875,soft_hard
34,39,13.15818452835083,1676686915.9507766,13500,97.0,200.0,0.4687634706497192,,,,0.00032920268131420016,0.00010809100785991176,0.0031840000301599503,-0.5092658996582031,89868.09375,soft_hard
35,40,13.512242078781128,1676686916.304834,13900,,,0.4529826045036316,1157.0,248.2142791748047,60.91071319580078,0.0005880458047613502,4.130299930693582e-05,0.0031840000301599503,-0.20571613311767575,95886.0078125,soft_hard
