,_step,_runtime,_timestamp,global_step,eval/mean_reward,eval/mean_ep_length,rollout/exploration_rate,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/loss,train/clip_loss,train/learning_rate,train/bound_violations,rollout/tot_ep_rew_mean,clip_method
0,0,1.6013367176055908,1676686329.8452995,500,0.0,200.0,0.9803624749183656,,,,,,,,,soft_hard
1,1,2.02544903755188,1676686330.269412,900,,,0.9645816087722778,1757.0,225.0,24.125,,,,,,soft_hard
2,2,2.0967118740081787,1676686330.3406749,1000,0.0,200.0,0.9606856107711792,,,,,,,,,soft_hard
3,3,2.183512926101685,1676686330.427476,1500,0.0,200.0,0.941008687019348,,,,,,,,,soft_hard
4,5,2.266868829727173,1676686330.5108318,2000,0.0,200.0,0.921331822872162,,,,,,,,,soft_hard
5,6,2.350409507751465,1676686330.5943725,2500,0.0,200.0,0.9016549587249756,,,,,,,,,soft_hard
6,7,2.3671939373016357,1676686330.611157,2900,,,0.8858740925788879,3395.0,241.6666717529297,19.0,,,,,,soft_hard
7,8,2.4343273639678955,1676686330.6782904,3000,0.0,200.0,0.8819780349731445,,,,,,,,,soft_hard
8,10,2.526829719543457,1676686330.7707927,3900,,,0.8465203046798706,3847.0,243.75,20.4375,,,,,,soft_hard
9,11,2.5952694416046143,1676686330.8392324,4000,0.0,200.0,0.8426242470741272,,,,,,,,,soft_hard
10,12,2.6783602237701416,1676686330.9223232,4500,0.0,200.0,0.8229473829269409,,,,,,,,,soft_hard
11,13,2.6962332725524902,1676686330.9401965,4900,,,0.8071665167808533,4142.0,245.0,17.950000762939453,,,,,,soft_hard
12,14,2.7657012939453125,1676686331.0096643,5000,0.0,200.0,0.8032705187797546,,,,,,,,,soft_hard
13,16,4.453096389770508,1676686332.6970594,5900,,,0.7678127884864807,2007.0,245.8333282470703,25.85416603088379,0.06409750133752823,0.00017134159861598164,0.0031840000301599503,-0.7668614387512207,4695.5498046875,soft_hard
14,17,4.617779016494751,1676686332.861742,6000,97.0,200.0,0.7639167308807373,,,,0.09014374762773514,9.555137512506916e-05,0.0031840000301599503,-0.28914451599121094,5341.90380859375,soft_hard
15,18,5.777826547622681,1676686334.0217896,6500,97.0,200.0,0.744239866733551,,,,0.03898060694336891,0.0001401474728481844,0.0031840000301599503,-0.4683542251586914,8749.400390625,soft_hard
16,19,6.331964015960693,1676686334.575927,6900,,,0.7284590005874634,1431.0,246.42857360839844,31.75,0.027741756290197372,5.798529309686273e-05,0.0031840000301599503,-0.23891925811767575,11680.34765625,soft_hard
17,20,6.485742568969727,1676686334.7297056,7000,97.0,200.0,0.72456294298172,,,,0.02686779573559761,3.3057840482797474e-05,0.0031840000301599503,-0.17635631561279297,12474.09765625,soft_hard
18,21,7.196189880371094,1676686335.440153,7500,97.0,200.0,0.7048860788345337,,,,0.0014908111188560724,1.7798452972783707e-05,0.0031840000301599503,-0.09493064880371094,16619.802734375,soft_hard
19,23,7.913967609405518,1676686336.1579306,8000,97.0,200.0,0.6852092146873474,,,,0.0004464384401217103,4.4032592995790765e-05,0.0031840000301599503,-0.14046382904052734,21157.0859375,soft_hard
20,24,8.626036882400513,1676686336.87,8500,97.0,200.0,0.6655322909355164,,,,0.007299209013581276,3.221207225578837e-05,0.0031840000301599503,-0.16085433959960938,25950.80078125,soft_hard
21,26,9.34897494316101,1676686337.592938,9000,97.0,200.0,0.6458554267883301,,,,0.013686076737940311,0.0001377054286422208,0.0031840000301599503,-0.5130672454833984,31050.396484375,soft_hard
22,27,10.062570095062256,1676686338.306533,9500,97.0,200.0,0.6261785626411438,,,,0.000547545962035656,0.00016859684546943754,0.0031840000301599503,-0.5408363342285156,36342.80078125,soft_hard
23,28,10.622570276260376,1676686338.8665333,9900,,,0.6103976964950562,1086.0,247.5,45.48749923706055,0.00021817843662574887,0.00011025668936781584,0.0031840000301599503,-0.5419807434082031,40726.05078125,soft_hard
24,29,10.774145126342772,1676686339.018108,10000,97.0,200.0,0.6065016388893127,,,,0.0002474243810866028,0.00011967268801527098,0.0031840000301599503,-0.5290937423706055,41863.23828125,soft_hard
25,30,11.251485586166382,1676686339.4954486,10500,97.0,200.0,0.5868247747421265,,,,0.0006525416392832994,0.00014580933202523738,0.0031840000301599503,-0.5246620178222656,47705.84765625,soft_hard
26,31,11.611835479736328,1676686339.8557985,10900,,,0.5710439085960388,1079.0,247.7272796630859,50.31818008422851,0.00023424578830599785,5.156662882654928e-05,0.0031840000301599503,-0.2623138427734375,52595.4921875,soft_hard
27,32,11.730568647384644,1676686339.9745317,11000,97.0,200.0,0.5671479105949402,,,,0.00019661385158542544,4.887358591076918e-05,0.0031840000301599503,-0.2493743896484375,53853.44921875,soft_hard
28,34,12.562686681747437,1676686340.8066497,11900,,,0.5316901206970215,1076.0,247.9166717529297,53.22916793823242,0.00034928080276586115,8.71370211825706e-05,0.0031840000301599503,-0.3993825912475586,65469.18359375,soft_hard
29,35,12.681968212127686,1676686340.9259312,12000,97.0,200.0,0.5277941226959229,,,,0.0004175640642642975,0.00025910447584465146,0.0031840000301599503,-0.955862045288086,66799.9140625,soft_hard
30,36,13.159528255462646,1676686341.4034913,12500,97.0,200.0,0.5081172585487366,,,,0.0006258547655306756,4.129424996790476e-05,0.0031840000301599503,-0.18046951293945312,73540.859375,soft_hard
31,37,13.520061016082764,1676686341.764024,12900,,,0.49233636260032654,1074.0,248.0769195556641,56.05769348144531,0.00032496429048478603,3.518664016155526e-05,0.0031840000301599503,-0.24038028717041016,79059.6875,soft_hard
32,38,13.638832807540894,1676686341.8827958,13000,97.0,200.0,0.4884403347969055,,,,0.0003209999413229525,6.038138235453516e-05,0.0031840000301599503,-0.17049026489257812,80461.1328125,soft_hard
33,39,14.118712902069092,1676686342.362676,13500,97.0,200.0,0.4687634706497192,,,,0.0006015141843818128,0.000208696917979978,0.0031840000301599503,-0.691075325012207,87541.4609375,soft_hard
34,40,14.483535051345823,1676686342.727498,13900,,,0.4529826045036316,1071.0,248.2142791748047,58.84821319580078,0.00040363596053794026,0.0001520515652373433,0.0031840000301599503,-0.5039529800415039,93334.0234375,soft_hard
35,42,15.08676290512085,1676686343.330726,14500,97.0,200.0,0.4294096827507019,,,,0.014915652573108671,0.000408551364671439,0.0031840000301599503,-1.2165765762329102,102260.1484375,soft_hard
36,43,15.451725482940674,1676686343.6956885,14900,,,0.41362884640693665,1068.0,248.3333282470703,62.08333206176758,0.0002910952316597104,0.00012290019367355853,0.0031840000301599503,-0.4852933883666992,108373.6953125,soft_hard
37,44,15.570319414138794,1676686343.8142824,15000,97.0,200.0,0.4097328186035156,,,,0.0005359345232136548,5.231780596659519e-05,0.0031840000301599503,-0.25399208068847656,109925.78125,soft_hard
38,46,16.420708417892456,1676686344.6646714,15900,,,0.3742750585079193,1066.0,248.4375,64.71875,0.0005658129812218249,0.000237601445405744,0.0031840000301599503,-0.8818044662475586,124155.671875,soft_hard
39,47,16.541541576385498,1676686344.7855046,16000,97.0,200.0,0.3703790307044983,,,,0.0007240382838062942,0.00024078435671981424,0.0031840000301599503,-0.6269559860229492,125773.640625,soft_hard
40,48,17.028777599334717,1676686345.2727406,16500,97.0,200.0,0.350702166557312,,,,0.0005719015607610345,0.00016486085951328278,0.0031840000301599503,-0.6653976440429688,133951.65625,soft_hard
41,49,17.396226167678833,1676686345.6401892,16900,,,0.33492130041122437,1064.0,248.5294189453125,67.33087921142578,0.0004828025412280113,0.0001670580531936139,0.0031840000301599503,-0.5808467864990234,140611.4375,soft_hard
42,50,17.516829013824463,1676686345.760792,17000,97.0,200.0,0.33102527260780334,,,,0.0008438427466899157,9.958848386304452e-05,0.0031840000301599503,-0.4383354187011719,142294.703125,soft_hard
