,_step,_runtime,_timestamp,global_step,eval/mean_reward,eval/mean_ep_length,rollout/exploration_rate,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/loss,train/clip_loss,train/learning_rate,train/bound_violations,rollout/tot_ep_rew_mean,clip_method
0,0,2.139410972595215,1676684329.065069,500,0.0,200.0,0.9803624749183656,,,,,,,,,soft_hard
1,1,2.557631254196167,1676684329.4832892,900,,,0.9645816087722778,1780.0,225.0,16.625,,,,,,soft_hard
2,2,2.6285440921783447,1676684329.554202,1000,0.0,200.0,0.9606856107711792,,,,,,,,,soft_hard
3,3,2.7151355743408203,1676684329.6407936,1500,0.0,200.0,0.941008687019348,,,,,,,,,soft_hard
4,4,2.7331771850585938,1676684329.6588352,1900,,,0.9252278208732604,2790.0,237.5,16.625,,,,,,soft_hard
5,5,2.801340341567993,1676684329.7269983,2000,0.0,200.0,0.921331822872162,,,,,,,,,soft_hard
6,6,2.8848278522491455,1676684329.8104858,2500,0.0,200.0,0.9016549587249756,,,,,,,,,soft_hard
7,7,2.902718305587769,1676684329.8283763,2900,,,0.8858740925788879,3409.0,241.6666717529297,17.20833396911621,,,,,,soft_hard
8,8,2.9719836711883545,1676684329.8976417,3000,0.0,200.0,0.8819780349731445,,,,,,,,,soft_hard
9,9,3.058500289916992,1676684329.9841585,3500,0.0,200.0,0.8623011708259583,,,,,,,,,soft_hard
10,11,3.145965337753296,1676684330.071623,4000,0.0,200.0,0.8426242470741272,,,,,,,,,soft_hard
11,12,3.227041006088257,1676684330.152699,4500,0.0,200.0,0.8229473829269409,,,,,,,,,soft_hard
12,14,3.310991048812866,1676684330.236649,5000,0.0,200.0,0.8032705187797546,,,,,,,,,soft_hard
13,15,4.015520334243774,1676684330.9411783,5500,0.0,200.0,0.7835935950279236,,,,0.04793919995427132,0.0007911754655651748,0.0031840000301599503,-1.7829179763793943,2321.846435546875,soft_hard
14,16,4.571845293045044,1676684331.4975033,5900,,,0.7678127884864807,2341.0,245.8333282470703,25.9375,0.05836157500743866,0.0003811744682025165,0.0031840000301599503,-1.6385717391967771,4603.7138671875,soft_hard
15,17,4.7249860763549805,1676684331.650644,6000,96.5,200.0,0.7639167308807373,,,,0.036450549960136414,0.0005534286610782146,0.0031840000301599503,-1.1617021560668943,5252.1513671875,soft_hard
16,18,5.878364562988281,1676684332.8040226,6500,96.5,200.0,0.744239866733551,,,,0.038513511419296265,0.00020002700330223888,0.0031840000301599503,-0.556586742401123,8795.98828125,soft_hard
17,19,6.420804977416992,1676684333.346463,6900,,,0.7284590005874634,1579.0,246.42857360839844,35.48214340209961,0.024106955155730247,2.242463051516097e-05,0.0031840000301599503,-0.07867145538330078,12032.169921875,soft_hard
18,20,6.589555501937866,1676684333.5152135,7000,97.0,200.0,0.72456294298172,,,,0.016773298382759094,1.2152040653745644e-05,0.0031840000301599503,-0.09358692169189452,12919.2236328125,soft_hard
19,21,7.730842590332031,1676684334.6565006,7500,97.0,200.0,0.7048860788345337,,,,0.0038231774233281617,8.469367458019406e-05,0.0031840000301599503,-0.2946949005126953,17481.26171875,soft_hard
20,24,9.15518069267273,1676684336.080839,8500,97.0,200.0,0.6655322909355164,,,,0.0013055367162451148,5.575929753831588e-05,0.0031840000301599503,-0.2323646545410156,27482.203125,soft_hard
