,_step,_runtime,_timestamp,global_step,eval/mean_reward,eval/mean_ep_length,rollout/exploration_rate,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/loss,train/clip_loss,train/learning_rate,train/bound_violations,rollout/tot_ep_rew_mean,clip_method
0,0,1.5687744617462158,1676690330.9943476,500,0.0,200.0,0.9803624749183656,,,,,,,,,soft_hard
1,1,1.983879327774048,1676690331.4094524,900,,,0.9645816087722778,1789.0,225.0,13.375,,,,,,soft_hard
2,2,2.0540037155151367,1676690331.4795768,1000,0.0,200.0,0.9606856107711792,,,,,,,,,soft_hard
3,3,2.139500856399536,1676690331.565074,1500,0.0,200.0,0.941008687019348,,,,,,,,,soft_hard
4,4,2.1561532020568848,1676690331.5817263,1900,,,0.9252278208732604,2813.0,237.5,10.5,,,,,,soft_hard
5,5,2.2147130966186523,1676690331.6402862,2000,0.0,200.0,0.921331822872162,,,,,,,,,soft_hard
6,6,2.2976763248443604,1676690331.7232494,2500,0.0,200.0,0.9016549587249756,,,,,,,,,soft_hard
7,7,2.3142478466033936,1676690331.739821,2900,,,0.8858740925788879,3479.0,241.6666717529297,13.791666984558104,,,,,,soft_hard
8,8,2.3811562061309814,1676690331.8067293,3000,0.0,200.0,0.8819780349731445,,,,,,,,,soft_hard
9,10,2.4804646968841553,1676690331.9060378,3900,,,0.8465203046798706,3901.0,243.75,11.21875,,,,,,soft_hard
10,11,2.5474534034729004,1676690331.9730265,4000,0.0,200.0,0.8426242470741272,,,,,,,,,soft_hard
11,12,2.630485773086548,1676690332.056059,4500,0.0,200.0,0.8229473829269409,,,,,,,,,soft_hard
12,13,2.6473217010498047,1676690332.0728948,4900,,,0.8071665167808533,4200.0,245.0,12.625,,,,,,soft_hard
13,14,2.7145957946777344,1676690332.140169,5000,0.0,200.0,0.8032705187797546,,,,,,,,,soft_hard
14,15,3.4007768630981445,1676690332.82635,5500,0.0,200.0,0.7835935950279236,,,,0.051957596093416214,0.0017036368371918795,0.0031840000301599503,-4.246894359588623,1706.1790771484375,soft_hard
15,16,3.9211947917938232,1676690333.346768,5900,,,0.7678127884864807,2417.0,245.8333282470703,18.39583396911621,0.05862223729491234,0.000545073242392391,0.0031840000301599503,-0.7507939338684082,3316.949951171875,soft_hard
16,17,4.084033727645874,1676690333.5096068,6000,96.0,200.0,0.7639167308807373,,,,0.06210051849484444,0.00019958388293161988,0.0031840000301599503,-0.7838578224182129,3776.845703125,soft_hard
17,18,5.188566207885742,1676690334.6141393,6500,97.0,200.0,0.744239866733551,,,,0.015401143580675123,0.00021958837169222536,0.0031840000301599503,-0.5785617828369141,6338.8681640625,soft_hard
18,19,6.13677716255188,1676690335.5623505,6900,,,0.7284590005874634,1482.0,246.42857360839844,27.446428298950195,0.027173107489943504,9.516617137705909e-05,0.0031840000301599503,-0.3735389709472656,8749.5517578125,soft_hard
19,20,6.302218675613403,1676690335.7277918,7000,97.0,200.0,0.72456294298172,,,,0.023648463189601895,0.00011052882473450154,0.0031840000301599503,-0.41274166107177734,9435.712890625,soft_hard
20,21,6.9932496547698975,1676690336.4188228,7500,97.0,200.0,0.7048860788345337,,,,0.010089085437357426,7.594832277391106e-05,0.0031840000301599503,-0.2463359832763672,13101.208984375,soft_hard
