,_step,_runtime,_timestamp,global_step,eval/mean_reward,eval/mean_ep_length,rollout/exploration_rate,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/loss,train/clip_loss,train/learning_rate,train/bound_violations,rollout/tot_ep_rew_mean,clip_method
0,0,1.609529972076416,1676684028.7898,500,0.0,200.0,0.9803624749183656,,,,,,,,,soft_hard
1,1,2.023280620574951,1676684029.2035506,900,,,0.9645816087722778,1800.0,225.0,11.5,,,,,,soft_hard
2,2,2.092512845993042,1676684029.2727828,1000,0.0,200.0,0.9606856107711792,,,,,,,,,soft_hard
3,4,2.1935760974884033,1676684029.373846,1900,,,0.9252278208732604,2834.0,237.5,11.4375,,,,,,soft_hard
4,5,2.261387348175049,1676684029.4416573,2000,0.0,200.0,0.921331822872162,,,,,,,,,soft_hard
5,7,2.362096071243286,1676684029.542366,2900,,,0.8858740925788879,3457.0,241.6666717529297,13.166666984558104,,,,,,soft_hard
6,8,2.459616184234619,1676684029.639886,3000,0.0,200.0,0.8819780349731445,,,,,,,,,soft_hard
7,9,2.542973756790161,1676684029.7232437,3500,0.0,200.0,0.8623011708259583,,,,,,,,,soft_hard
8,10,2.5597896575927734,1676684029.7400596,3900,,,0.8465203046798706,3762.0,243.75,12.25,,,,,,soft_hard
9,11,2.6181387901306152,1676684029.7984087,4000,0.0,200.0,0.8426242470741272,,,,,,,,,soft_hard
10,12,2.703554391860962,1676684029.8838243,4500,0.0,200.0,0.8229473829269409,,,,,,,,,soft_hard
11,13,2.7206060886383057,1676684029.900876,4900,,,0.8071665167808533,4092.0,245.0,10.925000190734863,,,,,,soft_hard
12,14,2.7878668308258057,1676684029.9681368,5000,0.0,200.0,0.8032705187797546,,,,,,,,,soft_hard
13,15,3.5342230796813965,1676684030.714493,5500,97.0,200.0,0.7835935950279236,,,,0.04912669211626053,0.00123727903701365,0.0031840000301599503,-3.3521032333374023,1564.95166015625,soft_hard
14,16,4.530615568161011,1676684031.7108855,5900,,,0.7678127884864807,1961.0,245.8333282470703,18.10416603088379,0.0662468820810318,7.243218715302646e-05,0.0031840000301599503,-0.5773415565490723,3126.068115234375,soft_hard
15,18,5.42469048500061,1676684032.6049604,6500,97.0,200.0,0.744239866733551,,,,0.039737358689308167,1.3413126680461571e-06,0.0031840000301599503,-0.03254508972167969,6027.1689453125,soft_hard
16,19,6.010878801345825,1676684033.1911488,6900,,,0.7284590005874634,1537.0,246.42857360839844,25.60714340209961,0.043393947184085846,0.00026197099941782653,0.0031840000301599503,-0.6351900100708008,8260.89453125,soft_hard
17,20,6.173698425292969,1676684033.3539684,7000,97.0,200.0,0.72456294298172,,,,0.019192904233932495,5.1797801461361814e-06,0.0031840000301599503,-0.06247425079345703,8901.0732421875,soft_hard
18,21,6.930746793746948,1676684034.1110168,7500,97.0,200.0,0.7048860788345337,,,,0.004114836920052767,1.6634565326967277e-05,0.0031840000301599503,-0.1501455307006836,12367.0625,soft_hard
19,22,7.522140026092529,1676684034.70241,7900,,,0.689105212688446,1316.0,246.875,33.578125,0.007487973663955927,2.6621855795383453e-05,0.0031840000301599503,-0.14238548278808594,15467.3310546875,soft_hard
20,23,7.683012008666992,1676684034.863282,8000,97.0,200.0,0.6852092146873474,,,,0.006241858936846256,2.0696312276413664e-05,0.0031840000301599503,-0.1656942367553711,16306.7841796875,soft_hard
21,24,8.404961824417114,1676684035.5852318,8500,97.0,200.0,0.6655322909355164,,,,0.0005959613481536508,1.6955846149357967e-05,0.0031840000301599503,-0.1186227798461914,20665.28125,soft_hard
22,25,9.009764432907104,1676684036.1900344,8900,,,0.6497514247894287,1188.0,247.22222900390625,38.26388931274414,0.0004961363738402724,2.5174464099109173e-05,0.0031840000301599503,-0.1368246078491211,24348.052734375,soft_hard
23,27,9.9353346824646,1676684037.1156046,9500,97.0,200.0,0.6261785626411438,,,,0.0004105910484213382,8.035891369218007e-05,0.0031840000301599503,-0.32997894287109375,30233.404296875,soft_hard
24,28,10.488011360168455,1676684037.6682813,9900,,,0.6103976964950562,1104.0,247.5,42.5,0.014724812470376492,2.705300721572712e-05,0.0031840000301599503,-0.1777048110961914,34378.8828125,soft_hard
25,29,10.691661834716797,1676684037.8719318,10000,97.0,200.0,0.6065016388893127,,,,0.0002483431890141219,3.4267635783180594e-05,0.0031840000301599503,-0.2119436264038086,35441.3828125,soft_hard
26,30,11.40471863746643,1676684038.5849886,10500,97.0,200.0,0.5868247747421265,,,,0.0009746928699314594,0.00011059609823860228,0.0031840000301599503,-0.4928760528564453,40894.80078125,soft_hard
27,31,11.99456238746643,1676684039.1748323,10900,,,0.5710439085960388,1040.0,247.7272796630859,47.03409194946289,0.0018977971049025657,9.368870087200776e-05,0.0031840000301599503,-0.4437828063964844,45465.60546875,soft_hard
