,_step,_runtime,_timestamp,global_step,eval/mean_reward,eval/mean_ep_length,rollout/exploration_rate,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/loss,train/clip_loss,train/learning_rate,train/bound_violations,rollout/tot_ep_rew_mean,clip_method
0,0,1.5830028057098389,1676688047.0590918,500,0.0,200.0,0.9803624749183656,,,,,,,,,soft_hard
1,2,2.0587480068206787,1676688047.534837,1000,0.0,200.0,0.9606856107711792,,,,,,,,,soft_hard
2,3,2.1465578079223633,1676688047.6226468,1500,0.0,200.0,0.941008687019348,,,,,,,,,soft_hard
3,4,2.163512706756592,1676688047.6396017,1900,,,0.9252278208732604,2819.0,237.5,25.0625,,,,,,soft_hard
4,5,2.230001449584961,1676688047.7060905,2000,0.0,200.0,0.921331822872162,,,,,,,,,soft_hard
5,6,2.3133544921875,1676688047.7894435,2500,0.0,200.0,0.9016549587249756,,,,,,,,,soft_hard
6,7,2.3302464485168457,1676688047.8063354,2900,,,0.8858740925788879,3449.0,241.6666717529297,21.41666603088379,,,,,,soft_hard
7,9,2.4804513454437256,1676688047.9565403,3500,0.0,200.0,0.8623011708259583,,,,,,,,,soft_hard
8,10,2.497114419937134,1676688047.9732034,3900,,,0.8465203046798706,3871.0,243.75,20.59375,,,,,,soft_hard
9,11,2.5634446144104004,1676688048.0395336,4000,0.0,200.0,0.8426242470741272,,,,,,,,,soft_hard
10,14,2.731321096420288,1676688048.20741,5000,0.0,200.0,0.8032705187797546,,,,,,,,,soft_hard
11,15,3.4284796714782715,1676688048.904569,5500,97.0,200.0,0.7835935950279236,,,,0.06766748428344727,0.00025820182054303586,0.0031840000301599503,-0.8465385437011719,2710.01416015625,soft_hard
12,16,4.347928524017334,1676688049.8240175,5900,,,0.7678127884864807,2064.0,245.8333282470703,24.66666603088379,0.03197590261697769,1.881100251921453e-05,0.0031840000301599503,-0.11731863021850586,4957.44482421875,soft_hard
13,17,4.514683961868286,1676688049.990773,6000,96.0,200.0,0.7639167308807373,,,,0.03790002688765526,0.00038298589061014354,0.0031840000301599503,-1.023786544799805,5574.111328125,soft_hard
14,20,5.93327260017395,1676688051.4093616,7000,97.0,200.0,0.72456294298172,,,,0.009810627438127996,6.972639675950631e-05,0.0031840000301599503,-0.29687023162841797,12388.1279296875,soft_hard
15,22,7.1738855838775635,1676688052.6499746,7900,,,0.689105212688446,1389.0,246.875,37.703125,0.01658281683921814,3.323489727335982e-05,0.0031840000301599503,-0.2299356460571289,19887.708984375,soft_hard
16,24,8.0556001663208,1676688053.5316892,8500,97.0,200.0,0.6655322909355164,,,,0.0003841443976853043,1.3229758224042598e-05,0.0031840000301599503,-0.10712051391601562,25683.212890625,soft_hard
17,25,8.595539331436157,1676688054.0716283,8900,,,0.6497514247894287,1252.0,247.22222900390625,41.73611068725586,0.00024550961097702384,6.865292380098253e-05,0.0031840000301599503,-0.3825883865356446,29766.1328125,soft_hard
18,27,9.470129251480104,1676688054.9462185,9500,97.0,200.0,0.6261785626411438,,,,0.000246034178417176,0.0001557051291456446,0.0031840000301599503,-0.6201486587524414,36144.58203125,soft_hard
19,28,10.009703874588013,1676688055.4857929,9900,,,0.6103976964950562,1161.0,247.5,45.337501525878906,0.018278488889336583,0.00013753077655564994,0.0031840000301599503,-0.46982383728027344,40572.28125,soft_hard
20,29,10.1773362159729,1676688055.6534252,10000,97.0,200.0,0.6065016388893127,,,,0.00022976714535616336,3.9878050301922485e-05,0.0031840000301599503,-0.20656681060791016,41705.71875,soft_hard
21,31,11.428073644638062,1676688056.9041626,10900,,,0.5710439085960388,1096.0,247.7272796630859,48.977272033691406,0.0002593631506897509,0.0001494490134064108,0.0031840000301599503,-0.6630420684814453,52234.125,soft_hard
22,33,12.29902172088623,1676688057.7751107,11500,97.0,200.0,0.5474709868431091,,,,0.001086625037714839,0.00010626171570038424,0.0031840000301599503,-0.4378089904785156,59702.43359375,soft_hard
23,34,12.835922002792358,1676688058.312011,11900,,,0.5316901206970215,1048.0,247.9166717529297,52.6875,0.000563863548450172,2.45915671257535e-05,0.0031840000301599503,-0.22476482391357425,64863.578125,soft_hard
24,35,13.00330400466919,1676688058.479393,12000,97.0,200.0,0.5277941226959229,,,,0.0004297465202398598,3.414712773519568e-05,0.0031840000301599503,-0.21993160247802737,66180.765625,soft_hard
25,37,14.252368927001951,1676688059.728458,12900,,,0.49233636260032654,1010.0,248.0769195556641,56.04807662963867,0.00034575507743284106,8.012058970052749e-05,0.0031840000301599503,-0.330291748046875,78364.34375,soft_hard
26,38,14.420358419418337,1676688059.8964474,13000,97.0,200.0,0.4884403347969055,,,,0.014116546139121056,8.399770194955636e-06,0.0031840000301599503,-0.04814910888671875,79765.5390625,soft_hard
27,39,15.127962827682495,1676688060.6040518,13500,97.0,200.0,0.4687634706497192,,,,0.014394145458936691,0.00012037921987939626,0.0031840000301599503,-0.5714483261108398,86837.2421875,soft_hard
28,40,15.66863179206848,1676688061.1447208,13900,,,0.4529826045036316,980.0,248.2142791748047,58.66071319580078,0.0004144225968047977,0.00011278710735496134,0.0031840000301599503,-0.4599542617797851,92599.6015625,soft_hard
