,_step,_runtime,_timestamp,global_step,eval/mean_reward,eval/mean_ep_length,rollout/exploration_rate,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/loss,train/clip_loss,train/learning_rate,train/bound_violations,rollout/tot_ep_rew_mean,clip_method
0,2,4.966437101364136,1676682631.0548751,1000,0.0,200.0,0.9606856107711792,,,,,,,,,soft_hard
1,3,5.067868947982788,1676682631.156307,1500,0.0,200.0,0.941008687019348,,,,,,,,,soft_hard
2,4,5.099455833435059,1676682631.187894,1900,,,0.9252278208732604,1441.0,237.5,14.125,,,,,,soft_hard
3,5,5.171375274658203,1676682631.2598133,2000,0.0,200.0,0.921331822872162,,,,,,,,,soft_hard
4,6,5.27197003364563,1676682631.360408,2500,0.0,200.0,0.9016549587249756,,,,,,,,,soft_hard
5,8,5.375158071517944,1676682631.463596,3000,0.0,200.0,0.8819780349731445,,,,,,,,,soft_hard
6,10,5.507694482803345,1676682631.5961325,3900,,,0.8465203046798706,2259.0,243.75,13.78125,,,,,,soft_hard
7,12,5.687795400619507,1676682631.7762334,4500,0.0,200.0,0.8229473829269409,,,,,,,,,soft_hard
8,13,5.719740629196167,1676682631.808179,4900,,,0.8071665167808533,2527.0,245.0,13.975000381469728,,,,,,soft_hard
9,14,5.792495012283325,1676682631.880933,5000,0.0,200.0,0.8032705187797546,,,,,,,,,soft_hard
10,16,6.848574161529541,1676682632.9370122,5900,,,0.7678127884864807,1923.0,245.8333282470703,20.52083396911621,0.04840448126196861,8.913668352761306e-06,0.0031840000301599503,-0.04960012435913086,3825.6005859375,soft_hard
11,18,8.565972089767456,1676682634.65441,6500,97.0,200.0,0.744239866733551,,,,0.03786282986402512,2.228006678706151e-06,0.0031840000301599503,-0.030519485473632812,7089.0283203125,soft_hard
12,19,9.904958248138428,1676682635.9933963,6900,,,0.7284590005874634,1126.0,246.42857360839844,27.553571701049805,0.012841111049056051,1.609637365618255e-05,0.0031840000301599503,-0.09409141540527344,9594.8330078125,soft_hard
13,20,10.095980167388916,1676682636.1844182,7000,97.0,200.0,0.72456294298172,,,,0.011761018075048923,2.865423084585927e-05,0.0031840000301599503,-0.08893013000488281,10283.6728515625,soft_hard
14,21,10.705165147781372,1676682636.7936032,7500,97.0,200.0,0.7048860788345337,,,,0.013062182813882828,5.115892054163851e-05,0.0031840000301599503,-0.2495822906494141,13950.2451171875,soft_hard
15,22,11.15558099746704,1676682637.244019,7900,,,0.689105212688446,1071.0,246.875,34.03125,0.001044349162839353,1.5243162124534138e-05,0.0031840000301599503,-0.09113883972167967,17171.0234375,soft_hard
16,23,11.335673093795776,1676682637.4241111,8000,97.0,200.0,0.6852092146873474,,,,0.00581043167039752,6.0405232943594456e-05,0.0031840000301599503,-0.28404808044433594,18021.8046875,soft_hard
17,24,11.975636005401611,1676682638.064074,8500,97.0,200.0,0.6655322909355164,,,,0.00254374323412776,3.629653656389564e-05,0.0031840000301599503,-0.22028350830078125,22427.033203125,soft_hard
