,_step,_runtime,_timestamp,global_step,eval/mean_reward,eval/mean_ep_length,rollout/exploration_rate,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/loss,train/clip_loss,train/learning_rate,train/bound_violations,rollout/tot_ep_rew_mean,clip_method
0,0,1.5937533378601074,1676688610.6451364,500,0.0,200.0,0.9803624749183656,,,,,,,,,soft_hard
1,1,1.9980809688568115,1676688611.049464,900,,,0.9645816087722778,1829.0,225.0,32.5,,,,,,soft_hard
2,2,2.0667431354522705,1676688611.1181262,1000,0.0,200.0,0.9606856107711792,,,,,,,,,soft_hard
3,3,2.151735782623291,1676688611.2031188,1500,0.0,200.0,0.941008687019348,,,,,,,,,soft_hard
4,4,2.1687862873077393,1676688611.2201693,1900,,,0.9252278208732604,2866.0,237.5,29.75,,,,,,soft_hard
5,5,2.2365763187408447,1676688611.287959,2000,0.0,200.0,0.921331822872162,,,,,,,,,soft_hard
6,6,2.3131256103515625,1676688611.3645086,2500,0.0,200.0,0.9016549587249756,,,,,,,,,soft_hard
7,7,2.329997301101685,1676688611.3813803,2900,,,0.8858740925788879,3519.0,241.6666717529297,29.79166603088379,,,,,,soft_hard
8,8,2.3967905044555664,1676688611.4481735,3000,0.0,200.0,0.8819780349731445,,,,,,,,,soft_hard
9,10,2.4968347549438477,1676688611.5482178,3900,,,0.8465203046798706,3935.0,243.75,25.8125,,,,,,soft_hard
10,14,2.7304961681365967,1676688611.7818792,5000,0.0,200.0,0.8032705187797546,,,,,,,,,soft_hard
11,15,3.4317355155944824,1676688612.4831183,5500,0.0,200.0,0.7835935950279236,,,,0.06764198839664459,0.0009914424736052752,0.0031840000301599503,-2.4687509536743164,2727.46728515625,soft_hard
12,16,3.972891807556152,1676688613.0242748,5900,,,0.7678127884864807,2391.0,245.8333282470703,26.27083396911621,0.039787113666534424,0.00038255599793046713,0.0031840000301599503,-1.7209229469299316,5084.63134765625,soft_hard
13,17,4.140001058578491,1676688613.191384,6000,97.0,200.0,0.7639167308807373,,,,0.06586530059576035,0.0006515455897897482,0.0031840000301599503,-1.3367433547973633,5741.40234375,soft_hard
14,18,5.211406707763672,1676688614.2627895,6500,96.5,200.0,0.744239866733551,,,,0.05447646230459213,0.00022913316206540912,0.0031840000301599503,-0.8966336250305176,9131.578125,soft_hard
15,20,5.914483070373535,1676688614.965866,7000,96.5,200.0,0.72456294298172,,,,0.036883171647787094,2.818032407958526e-05,0.0031840000301599503,-0.15439224243164062,12929.7255859375,soft_hard
16,21,6.619237422943115,1676688615.6706204,7500,97.0,200.0,0.7048860788345337,,,,0.0062048351392149925,7.211266165541019e-06,0.0031840000301599503,-0.044612884521484375,17097.265625,soft_hard
17,22,7.1578991413116455,1676688616.2092822,7900,,,0.689105212688446,1397.0,246.875,38.234375,0.0005149923381395638,2.123189733538311e-05,0.0031840000301599503,-0.15147113800048828,20681.326171875,soft_hard
18,23,7.326197624206543,1676688616.3775806,8000,97.0,200.0,0.6852092146873474,,,,0.0010025548981502652,4.006594463135116e-05,0.0031840000301599503,-0.2262601852416992,21637.185546875,soft_hard
19,25,8.571268320083618,1676688617.622651,8900,,,0.6497514247894287,1259.0,247.22222900390625,42.86111068725586,0.009675809182226658,0.00018086578347720208,0.0031840000301599503,-0.6245698928833008,30736.3671875,soft_hard
20,26,8.740505695343018,1676688617.7918887,9000,97.0,200.0,0.6458554267883301,,,,0.0002442760451231152,0.00012692839663941413,0.0031840000301599503,-0.47580718994140625,31807.89453125,soft_hard
21,27,9.447762250900269,1676688618.4991453,9500,97.0,200.0,0.6261785626411438,,,,0.00019876996520906687,0.000106455605418887,0.0031840000301599503,-0.4187507629394531,37280.8515625,soft_hard
22,28,9.993758916854858,1676688619.045142,9900,,,0.6103976964950562,1166.0,247.5,45.82500076293945,0.00016134869656525552,5.4710446420358494e-05,0.0031840000301599503,-0.3232393264770508,41761.296875,soft_hard
23,30,10.86967635154724,1676688619.9210594,10500,97.0,200.0,0.5868247747421265,,,,0.0005415307241491973,0.0001714471000013873,0.0031840000301599503,-0.6052312850952148,48762.2109375,soft_hard
24,32,11.59264874458313,1676688620.6440318,11000,97.0,200.0,0.5671479105949402,,,,0.0005848580622114241,9.093142580240964e-05,0.0031840000301599503,-0.41716480255126953,54875.36328125,soft_hard
25,33,12.299365997314451,1676688621.350749,11500,97.0,200.0,0.5474709868431091,,,,0.0003942783805541694,3.672571256174706e-05,0.0031840000301599503,-0.2263641357421875,61194.875,soft_hard
26,36,13.717652797698976,1676688622.7690358,12500,97.0,200.0,0.5081172585487366,,,,0.0003410122590139508,0.0001693773956503719,0.0031840000301599503,-0.6628551483154297,74473.90625,soft_hard
27,37,14.258687257766724,1676688623.3100705,12900,,,0.49233636260032654,1011.0,248.0769195556641,56.43269348144531,0.02915220521390438,3.9855134673416615e-05,0.0031840000301599503,-0.18205642700195312,79991.6640625,soft_hard
28,38,14.425405502319336,1676688623.4767883,13000,97.0,200.0,0.4884403347969055,,,,0.00037686608266085386,6.868547643534839e-05,0.0031840000301599503,-0.30901622772216797,81402.4765625,soft_hard
29,39,15.134462118148804,1676688624.1858451,13500,97.0,200.0,0.4687634706497192,,,,0.0004419748147483915,9.737437358126044e-05,0.0031840000301599503,-0.3161602020263672,88547.3046875,soft_hard
30,41,15.8411386013031,1676688624.8925216,14000,97.0,200.0,0.44908657670021057,,,,0.00025516803725622594,3.2627929613227025e-05,0.0031840000301599503,-0.2170095443725586,95849.15625,soft_hard
31,42,16.548097133636475,1676688625.5994802,14500,97.0,200.0,0.4294096827507019,,,,0.0007606197614222765,3.198818376404233e-05,0.0031840000301599503,-0.23093891143798828,103335.1328125,soft_hard
32,43,17.0894558429718,1676688626.1408389,14900,,,0.41362884640693665,956.0,248.3333282470703,62.09166717529297,0.0004241229908075184,7.97983375377953e-05,0.0031840000301599503,-0.4159221649169922,109448.8359375,soft_hard
33,44,17.25658893585205,1676688626.307972,15000,97.0,200.0,0.4097328186035156,,,,0.0178562942892313,7.719615678070113e-05,0.0031840000301599503,-0.35956478118896484,111001.125,soft_hard
34,45,17.962834358215332,1676688627.0142174,15500,97.0,200.0,0.39005592465400696,,,,0.018384814262390137,0.00019817345310002563,0.0031840000301599503,-0.7166738510131836,118857.90625,soft_hard
35,46,18.501285791397095,1676688627.5526688,15900,,,0.3742750585079193,935.0,248.4375,64.8828125,0.000669480359647423,6.921427848283201e-05,0.0031840000301599503,-0.25711631774902344,125265.15625,soft_hard
36,47,18.66823434829712,1676688627.7196174,16000,97.0,200.0,0.3703790307044983,,,,0.0005713573191314936,0.0002139677671948448,0.0031840000301599503,-0.809783935546875,126887.2265625,soft_hard
37,48,19.3766872882843,1676688628.4280703,16500,97.0,200.0,0.350702166557312,,,,0.0008849683217704296,0.00023545962176285684,0.0031840000301599503,-0.7158288955688477,135085.890625,soft_hard
38,49,19.91737389564514,1676688628.968757,16900,,,0.33492130041122437,917.0,248.5294189453125,67.39705657958984,0.0003115833387710154,9.47271109907888e-05,0.0031840000301599503,-0.3923673629760742,141752.109375,soft_hard
39,50,20.084653615951535,1676688629.1360366,17000,97.0,200.0,0.33102527260780334,,,,0.0007234285585582256,0.0001005000958684832,0.0031840000301599503,-0.39957332611083984,143437.046875,soft_hard
40,51,20.78608536720276,1676688629.8374684,17500,97.0,200.0,0.3113483786582947,,,,0.0005259941099211574,6.0310791013762355e-05,0.0031840000301599503,-0.3175239562988281,151929.203125,soft_hard
41,52,21.31329774856567,1676688630.3646808,17900,,,0.29556751251220703,903.0,248.61111450195312,69.55555725097656,0.00044145010178908706,9.631931607145816e-05,0.0031840000301599503,-0.3886251449584961,158815.765625,soft_hard
42,53,21.47861051559448,1676688630.5299935,18000,97.0,200.0,0.291671484708786,,,,0.0003945083008147776,7.849394023651257e-05,0.0031840000301599503,-0.362274169921875,160554.65625,soft_hard
43,54,22.18198251724243,1676688631.2333655,18500,97.0,200.0,0.27199462056159973,,,,0.0006681799422949553,0.00024678767658770084,0.0031840000301599503,-0.6687355041503906,169323.609375,soft_hard
44,56,22.880659580230713,1676688631.9320426,19000,97.0,200.0,0.25231772661209106,,,,0.00073018460534513,0.00016389062511734664,0.0031840000301599503,-0.6512918472290039,178242.46875,soft_hard
45,57,23.580735445022583,1676688632.6321185,19500,97.0,200.0,0.2326408475637436,,,,0.0006669108988717198,7.6869415352121e-05,0.0031840000301599503,-0.2520008087158203,187297.484375,soft_hard
46,58,24.112085342407227,1676688633.1634684,19900,,,0.21685998141765592,880.0,248.75,73.91874694824219,0.014829861000180244,4.0694463677937165e-05,0.0031840000301599503,-0.21485424041748047,194625.59375,soft_hard
47,60,24.974201679229736,1676688634.0255847,20500,97.0,200.0,0.19328707456588745,,,,0.001339612528681755,0.0002963529550470412,0.0031840000301599503,-0.7588901519775391,205775.859375,soft_hard
48,61,25.5171115398407,1676688634.5684946,20900,,,0.1775062084197998,870.0,248.8095245361328,75.80952453613281,0.0008407866698689759,6.91580498823896e-05,0.0031840000301599503,-0.35637474060058594,213301.09375,soft_hard
49,62,25.68245577812195,1676688634.7338388,21000,97.0,200.0,0.17361019551753998,,,,0.0008227525395341218,2.4516719349776395e-05,0.0031840000301599503,-0.13837242126464844,215196.328125,soft_hard
50,63,26.385891914367676,1676688635.437275,21500,97.0,200.0,0.1539333015680313,,,,0.0004199524992145598,5.585364124272019e-05,0.0031840000301599503,-0.2910346984863281,224731.15625,soft_hard
51,64,26.92450475692749,1676688635.9758878,21900,,,0.13815245032310486,861.0,248.86363220214844,77.68181610107422,0.0005849316366948187,0.00010882194328587502,0.0031840000301599503,-0.4558839797973633,232441.625,soft_hard
52,66,27.784385442733765,1676688636.8357685,22500,97.0,200.0,0.11457953602075575,,,,0.01445320062339306,0.0005681572365574539,0.0031840000301599503,-1.4359502792358398,244151.171875,soft_hard
53,67,28.313603162765503,1676688637.3649862,22900,,,0.09879867732524872,854.0,248.9130401611328,79.4293441772461,0.0009668669081293046,5.935625813435763e-05,0.0031840000301599503,-0.29181480407714844,252041.3125,soft_hard
54,68,28.47681498527527,1676688637.528198,23000,97.0,200.0,0.0949026495218277,,,,0.0016905133379623294,3.7357662222348154e-05,0.0031840000301599503,-0.22274208068847656,254027.046875,soft_hard
55,69,29.166935920715332,1676688638.218319,23500,97.0,200.0,0.07522576302289963,,,,0.0013171994360163808,1.9994511603727005e-05,0.0031840000301599503,-0.10599517822265624,264010.53125,soft_hard
56,70,29.69386386871338,1676688638.745247,23900,,,0.05944490432739258,847.0,248.9583282470703,81.05728912353516,0.00038331985706463456,7.692413055337965e-05,0.0031840000301599503,-0.3934345245361328,272069.375,soft_hard
57,71,29.85765027999878,1676688638.9090333,24000,97.0,200.0,0.055548880249261856,,,,0.017537176609039307,0.0002398567594354972,0.0031840000301599503,-0.7611551284790039,274095.8125,soft_hard
58,72,30.55369997024536,1676688639.605083,24500,97.0,200.0,0.05000000074505806,,,,0.0005095266969874501,0.0001745974732330069,0.0031840000301599503,-0.5743722915649414,284279.5,soft_hard
59,73,31.093793392181396,1676688640.1451764,24900,,,0.05000000074505806,841.0,249.0,82.5999984741211,0.0011267932131886482,0.0003363901632837951,0.0031840000301599503,-0.9398136138916016,292494.5625,soft_hard
60,74,31.25946855545044,1676688640.3108516,25000,97.0,200.0,0.05000000074505806,,,,0.0005049873143434525,0.00014065051800571382,0.0031840000301599503,-0.4881706237792969,294559.5625,soft_hard
61,76,32.27486705780029,1676688641.32625,25900,,,0.05000000074505806,841.0,250.0,86.08000183105469,0.001080908114090562,0.0001057102854247205,0.0031840000301599503,-0.3978719711303711,313508.1875,soft_hard
62,78,32.89298605918884,1676688641.944369,26500,97.0,200.0,0.05000000074505806,,,,0.0027496684342622757,0.0,0.0031840000301599503,0.0,326517.8125,soft_hard
63,79,33.26661229133606,1676688642.3179953,26900,,,0.05000000074505806,846.0,250.0,89.78500366210938,0.028748854994773865,8.800149225862697e-05,0.0031840000301599503,-0.3161039352416992,335362.5625,soft_hard
64,80,33.387229204177856,1676688642.4386122,27000,97.0,200.0,0.05000000074505806,,,,0.001354530337266624,4.3714939238270745e-05,0.0031840000301599503,-0.3268747329711914,337607.1875,soft_hard
65,81,33.8846960067749,1676688642.936079,27500,97.0,200.0,0.05000000074505806,,,,0.00047709926730021834,0.00013042263162788004,0.0031840000301599503,-0.48739051818847656,348938.1875,soft_hard
66,82,34.26486611366272,1676688643.3162491,27900,,,0.05000000074505806,851.0,250.0,93.37000274658205,0.0005617571296170354,8.45363101689145e-05,0.0031840000301599503,-0.39049339294433594,358152.9375,soft_hard
67,83,34.3861358165741,1676688643.4375188,28000,97.0,200.0,0.05000000074505806,,,,0.00046168616972863674,1.4986871974542735e-05,0.0031840000301599503,-0.1048116683959961,360487.1875,soft_hard
68,86,35.38223385810852,1676688644.4336169,29000,97.0,200.0,0.05000000074505806,,,,0.0007944401004351676,0.00013050575216766447,0.0031840000301599503,-0.5550098419189453,384349.3125,soft_hard
69,87,35.88213014602661,1676688644.9335132,29500,97.0,200.0,0.05000000074505806,,,,0.0007548319408670068,8.543307922082022e-05,0.0031840000301599503,-0.3031587600708008,396676.3125,soft_hard
70,89,36.38199615478515,1676688645.4333792,30000,97.0,200.0,0.05000000074505806,,,,0.001360846683382988,1.7536125596961938e-05,0.0031840000301599503,-0.12272930145263672,409282.5625,soft_hard
71,90,36.88085746765137,1676688645.9322405,30500,97.0,200.0,0.05000000074505806,,,,0.0006298813968896866,0.0,0.0031840000301599503,0.0,422147.0625,soft_hard
72,91,37.255566120147705,1676688646.3069491,30900,,,0.05000000074505806,864.0,250.0,104.70999908447266,0.00016409224190283567,0.0,0.0031840000301599503,0.0,432555.0625,soft_hard
73,92,37.37783741950989,1676688646.4292204,31000,97.0,200.0,0.05000000074505806,,,,0.01428457722067833,0.0,0.0031840000301599503,0.0,435172.8125,soft_hard
74,93,37.87570834159851,1676688646.9270914,31500,97.0,200.0,0.05000000074505806,,,,0.014971553348004818,0.0,0.0031840000301599503,0.0,448326.5625,soft_hard
75,96,38.86767601966858,1676688647.919059,32500,97.0,200.0,0.05000000074505806,,,,0.001123137422837317,0.0,0.0031840000301599503,0.0,474905.4375,soft_hard
76,97,39.24457049369812,1676688648.2959535,32900,,,0.05000000074505806,871.0,250.0,107.5250015258789,0.0004794666892848909,0.0,0.0031840000301599503,0.0,485631.6875,soft_hard
77,98,39.366859912872314,1676688648.418243,33000,97.0,200.0,0.05000000074505806,,,,0.0004561715177260339,0.0,0.0031840000301599503,0.0,488319.8125,soft_hard
78,99,39.867741107940674,1676688648.919124,33500,97.0,200.0,0.05000000074505806,,,,0.00032738930894993246,0.0,0.0031840000301599503,0.0,501784.8125,soft_hard
79,100,40.24473619461059,1676688649.2961192,33900,,,0.05000000074505806,875.0,250.0,108.625,0.0014095512451604009,0.0,0.0031840000301599503,0.0,512598.5625,soft_hard
80,101,40.36797285079956,1676688649.419356,34000,97.0,200.0,0.05000000074505806,,,,0.00031678949017077684,0.0,0.0031840000301599503,0.0,515314.1875,soft_hard
81,102,40.868237018585205,1676688649.91962,34500,97.0,200.0,0.05000000074505806,,,,0.03124256804585457,0.0,0.0031840000301599503,0.0,528925.8125,soft_hard
82,105,41.86646556854248,1676688650.9178486,35500,97.0,200.0,0.05000000074505806,,,,0.0006150370463728905,0.0,0.0031840000301599503,0.0,556417.4375,soft_hard
83,106,42.24587631225586,1676688651.297259,35900,,,0.05000000074505806,881.0,250.0,110.77999877929688,0.014491412788629532,0.0,0.0031840000301599503,0.0,567467.9375,soft_hard
84,108,42.863237619400024,1676688651.9146206,36500,97.0,200.0,0.05000000074505806,,,,0.0008934627403505147,0.0,0.0031840000301599503,0.0,584113.8125,soft_hard
85,109,43.23806619644165,1676688652.2894492,36900,,,0.05000000074505806,884.0,250.0,111.5999984741211,0.0004607733862940222,0.0,0.0031840000301599503,0.0,595251.3125,soft_hard
