,_step,_runtime,_timestamp,global_step,eval/mean_reward,eval/mean_ep_length,rollout/exploration_rate,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/loss,train/clip_loss,train/learning_rate,train/bound_violations,rollout/tot_ep_rew_mean,clip_method
0,0,6.011445760726929,1676685046.5964077,500,0.0,200.0,0.9803624749183656,,,,,,,,,soft_hard
1,1,7.825892925262451,1676685048.4108548,900,,,0.9645816087722778,430.0,225.0,16.375,,,,,,soft_hard
2,3,8.270365238189697,1676685048.8553271,1500,0.0,200.0,0.941008687019348,,,,,,,,,soft_hard
3,4,8.393229961395264,1676685048.978192,1900,,,0.9252278208732604,714.0,237.5,10.625,,,,,,soft_hard
4,5,8.613260269165039,1676685049.1982222,2000,0.0,200.0,0.921331822872162,,,,,,,,,soft_hard
5,6,8.895296335220337,1676685049.4802582,2500,0.0,200.0,0.9016549587249756,,,,,,,,,soft_hard
6,7,8.995311260223389,1676685049.5802732,2900,,,0.8858740925788879,888.0,241.6666717529297,11.0,,,,,,soft_hard
7,8,9.163274049758911,1676685049.748236,3000,0.0,200.0,0.8819780349731445,,,,,,,,,soft_hard
8,9,9.42697262763977,1676685050.0119345,3500,0.0,200.0,0.8623011708259583,,,,,,,,,soft_hard
9,10,9.527200937271118,1676685050.1121628,3900,,,0.8465203046798706,1027.0,243.75,11.0,,,,,,soft_hard
10,11,9.69692873954773,1676685050.2818906,4000,0.0,200.0,0.8426242470741272,,,,,,,,,soft_hard
11,13,10.06725811958313,1676685050.65222,4900,,,0.8071665167808533,1130.0,245.0,10.25,,,,,,soft_hard
12,14,10.251739025115969,1676685050.836701,5000,0.0,200.0,0.8032705187797546,,,,,,,,,soft_hard
13,15,12.387957572937012,1676685052.9729197,5500,97.0,200.0,0.7835935950279236,,,,0.07405099272727966,0.0028950790874660015,0.0031840000301599503,-4.984222412109375,1414.6688232421875,soft_hard
14,16,15.482242107391356,1676685056.067204,5900,,,0.7678127884864807,605.0,245.8333282470703,15.166666984558104,0.045653101056814194,0.0002676911244634539,0.0031840000301599503,-0.5306434631347656,2782.208251953125,soft_hard
15,17,16.004481077194214,1676685056.589443,6000,0.0,200.0,0.7639167308807373,,,,0.047152984887361526,0.0003652001905720681,0.0031840000301599503,-0.7695894241333008,3161.375,soft_hard
16,18,17.993500471115112,1676685058.5784624,6500,97.0,200.0,0.744239866733551,,,,0.012789743021130562,6.742799996573012e-06,0.0031840000301599503,-0.04313945770263672,5300.13134765625,soft_hard
