,_step,_runtime,_timestamp,global_step,eval/mean_reward,eval/mean_ep_length,rollout/exploration_rate,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/loss,train/clip_loss,train/learning_rate,train/bound_violations,rollout/tot_ep_rew_mean,clip_method
0,0,1.8898470401763916,1676681441.012047,500,0.0,200.0,0.9803624749183656,,,,,,,,,soft_hard
1,1,2.374955415725708,1676681441.4971554,900,,,0.9645816087722778,768.0,225.0,11.0,,,,,,soft_hard
2,2,2.471090793609619,1676681441.5932908,1000,0.0,200.0,0.9606856107711792,,,,,,,,,soft_hard
3,3,2.5838282108306885,1676681441.7060282,1500,0.0,200.0,0.941008687019348,,,,,,,,,soft_hard
4,4,2.6021337509155273,1676681441.7243338,1900,,,0.9252278208732604,1358.0,237.5,10.125,,,,,,soft_hard
5,6,2.809901475906372,1676681441.9321015,2500,0.0,200.0,0.9016549587249756,,,,,,,,,soft_hard
6,7,2.8284430503845215,1676681441.950643,2900,,,0.8858740925788879,1784.0,241.6666717529297,16.95833396911621,,,,,,soft_hard
7,8,2.924684762954712,1676681442.0468848,3000,0.0,200.0,0.8819780349731445,,,,,,,,,soft_hard
8,9,3.0721914768218994,1676681442.1943915,3500,0.0,200.0,0.8623011708259583,,,,,,,,,soft_hard
9,10,3.0903425216674805,1676681442.2125423,3900,,,0.8465203046798706,2066.0,243.75,19.65625,,,,,,soft_hard
10,11,3.165151834487915,1676681442.2873518,4000,0.0,200.0,0.8426242470741272,,,,,,,,,soft_hard
11,12,3.257373332977295,1676681442.379573,4500,0.0,200.0,0.8229473829269409,,,,,,,,,soft_hard
12,13,3.276944398880005,1676681442.3991444,4900,,,0.8071665167808533,2363.0,245.0,18.549999237060547,,,,,,soft_hard
13,14,3.3590199947357178,1676681442.48122,5000,0.0,200.0,0.8032705187797546,,,,,,,,,soft_hard
14,15,4.753719091415405,1676681443.875919,5500,0.0,200.0,0.7835935950279236,,,,0.04388685151934624,0.0009717127541080116,0.0031840000301599503,-2.826940536499023,2449.96728515625,soft_hard
15,16,6.118450403213501,1676681445.2406504,5900,,,0.7678127884864807,1200.0,245.8333282470703,23.25,0.06424200534820557,0.0005726894014514983,0.0031840000301599503,-2.2455902099609375,4575.06591796875,soft_hard
16,17,6.456423282623291,1676681445.5786233,6000,97.0,200.0,0.7639167308807373,,,,0.06515558063983917,0.0006269147270359099,0.0031840000301599503,-1.218036651611328,5156.31591796875,soft_hard
17,18,8.612858057022095,1676681447.735058,6500,97.0,200.0,0.744239866733551,,,,0.0332108736038208,0.0006215570028871298,0.0031840000301599503,-2.0739917755126953,8331.8349609375,soft_hard
18,19,9.439958572387695,1676681448.5621586,6900,,,0.7284590005874634,837.0,246.42857360839844,31.071428298950195,0.02033720724284649,0.000827970274258405,0.0031840000301599503,-1.1173229217529297,11212.35546875,soft_hard
19,20,9.804327011108398,1676681448.926527,7000,97.0,200.0,0.72456294298172,,,,0.0333072729408741,0.00015508935030084103,0.0031840000301599503,-0.4213314056396485,11989.140625,soft_hard
20,21,11.5057852268219,1676681450.6279852,7500,97.0,200.0,0.7048860788345337,,,,0.019827311858534813,0.0003539583703968674,0.0031840000301599503,-1.022491455078125,16102.4677734375,soft_hard
21,22,12.787681341171265,1676681451.9098814,7900,,,0.689105212688446,681.0,246.875,38.40625,0.01756158657371998,0.00017786616808734834,0.0031840000301599503,-0.6034221649169922,19727.763671875,soft_hard
22,23,13.182464361190796,1676681452.3046644,8000,97.0,200.0,0.6852092146873474,,,,0.018238626420497894,0.00046250587911345065,0.0031840000301599503,-0.950958251953125,20687.919921875,soft_hard
23,24,14.646677494049072,1676681453.7688775,8500,97.0,200.0,0.6655322909355164,,,,0.011769946664571762,0.000721932970918715,0.0031840000301599503,-1.374887466430664,25711.75390625,soft_hard
24,25,15.67992067337036,1676681454.8021207,8900,,,0.6497514247894287,614.0,247.22222900390625,45.36111068725586,0.004441215191036463,0.0006654086173512042,0.0031840000301599503,-0.8442649841308594,30048.685546875,soft_hard
25,26,16.041374921798706,1676681455.163575,9000,97.0,200.0,0.6458554267883301,,,,0.01186344027519226,0.00036130353691987693,0.0031840000301599503,-0.6904220581054688,31182.712890625,soft_hard
26,28,19.009390354156498,1676681458.1315904,9900,,,0.6103976964950562,555.0,247.5,49.0,0.0013198846718296409,0.00019538703782018271,0.0031840000301599503,-0.4699630737304687,41755.0078125,soft_hard
27,29,19.40649962425232,1676681458.5286996,10000,97.0,200.0,0.6065016388893127,,,,0.031724441796541214,0.0006394299562089145,0.0031840000301599503,-1.145000457763672,42980.0078125,soft_hard
28,31,22.376685857772827,1676681461.498886,10900,,,0.5710439085960388,514.0,247.7272796630859,51.78409194946289,0.006445978302508593,1.8053613530355506e-05,0.0031840000301599503,-0.11973762512207033,54301.18359375,soft_hard
29,32,22.739518880844116,1676681461.861719,11000,97.0,200.0,0.5671479105949402,,,,0.0018130778335034847,0.0008481797412969172,0.0031840000301599503,-1.308868408203125,55595.78515625,soft_hard
30,34,25.733669757843018,1676681464.8558698,11900,,,0.5316901206970215,485.0,247.9166717529297,54.16666793823242,0.015299594961106775,5.497198435477912e-05,0.0031840000301599503,-0.2091712951660156,67487.28125,soft_hard
31,35,26.096678018569943,1676681465.218878,12000,97.0,200.0,0.5277941226959229,,,,0.0012109912931919098,0.0003969632089138031,0.0031840000301599503,-0.7899303436279297,68841.4453125,soft_hard
32,36,27.781901359558105,1676681466.9041014,12500,97.0,200.0,0.5081172585487366,,,,0.0013853036798536775,0.00021076192206237465,0.0031840000301599503,-0.34108734130859375,75673.2109375,soft_hard
33,37,29.05760407447815,1676681468.179804,12900,,,0.49233636260032654,463.0,248.0769195556641,56.78845977783203,0.0011481845285743475,0.0006613755249418318,0.0031840000301599503,-1.1973838806152344,81237.5,soft_hard
34,38,29.45814824104309,1676681468.5803485,13000,97.0,200.0,0.4884403347969055,,,,0.0011178003624081612,0.0004900704952888191,0.0031840000301599503,-1.0229415893554688,82657.2109375,soft_hard
35,39,31.11518621444702,1676681470.2373862,13500,97.0,200.0,0.4687634706497192,,,,0.025094741955399513,0.0005075735389254987,0.0031840000301599503,-1.433977127075195,89855.140625,soft_hard
36,41,32.80148720741272,1676681471.9236872,14000,97.0,200.0,0.44908657670021057,,,,0.0019778369460254908,0.0003882543533109129,0.0031840000301599503,-0.6540298461914062,97261.0078125,soft_hard
37,42,34.47000169754028,1676681473.5922017,14500,97.0,200.0,0.4294096827507019,,,,0.000730713305529207,0.00011445111158536748,0.0031840000301599503,-0.2394886016845703,104851.6171875,soft_hard
38,43,35.723880767822266,1676681474.8460808,14900,,,0.41362884640693665,431.0,248.3333282470703,62.69166564941406,0.0012568664969876409,0.0004391581169329584,0.0031840000301599503,-1.0958328247070312,111043.9765625,soft_hard
39,44,36.08242392539978,1676681475.204624,15000,97.0,200.0,0.4097328186035156,,,,0.0013790884986519814,0.000407968764193356,0.0031840000301599503,-0.7363624572753906,112611.265625,soft_hard
40,45,37.76458191871643,1676681476.886782,15500,97.0,200.0,0.39005592465400696,,,,0.00219517108052969,0.00011076253576902673,0.0031840000301599503,-0.3557281494140625,120528.6484375,soft_hard
41,46,39.03659176826477,1676681478.1587918,15900,,,0.3742750585079193,420.0,248.4375,65.078125,0.0015649155247956514,0.00026492204051464796,0.0031840000301599503,-0.6757564544677734,126963.953125,soft_hard
42,48,41.06907272338867,1676681480.1912727,16500,97.0,200.0,0.350702166557312,,,,0.0011139123234897852,0.0005482963169924915,0.0031840000301599503,-0.8620758056640625,136806.40625,soft_hard
43,49,42.36033535003662,1676681481.4825354,16900,,,0.33492130041122437,410.0,248.5294189453125,67.47058868408203,0.000927764573134482,0.0004980263183824718,0.0031840000301599503,-0.9501514434814452,143483.15625,soft_hard
44,50,42.76455307006836,1676681481.886753,17000,97.0,200.0,0.33102527260780334,,,,0.002161988290026784,0.000423901918111369,0.0031840000301599503,-1.1036510467529297,145169.921875,soft_hard
45,51,44.41426753997803,1676681483.5364676,17500,97.0,200.0,0.3113483786582947,,,,0.0010401165345683694,0.0002381477243034169,0.0031840000301599503,-0.5105991363525391,153668.453125,soft_hard
46,52,45.75184750556946,1676681484.8740475,17900,,,0.29556751251220703,401.0,248.61111450195312,69.49305725097656,0.002173518994823098,0.0006283379043452442,0.0031840000301599503,-1.2271080017089844,160557.546875,soft_hard
47,53,46.11985373497009,1676681485.2420535,18000,97.0,200.0,0.291671484708786,,,,0.026984646916389465,0.0007225671433843672,0.0031840000301599503,-1.1584243774414062,162294.875,soft_hard
48,54,47.80981969833374,1676681486.9320197,18500,97.0,200.0,0.27199462056159973,,,,0.0017053618794307113,0.0007342413300648332,0.0031840000301599503,-1.4132804870605469,171053.03125,soft_hard
49,55,49.11259627342224,1676681488.2347963,18900,,,0.2562137544155121,394.0,248.6842041015625,71.6118392944336,0.001710797427222133,0.0005531709757633507,0.0031840000301599503,-1.158966064453125,178154.796875,soft_hard
50,56,49.47889566421509,1676681488.6010957,19000,97.0,200.0,0.25231772661209106,,,,0.0015689450083300471,0.0002665638749022037,0.0031840000301599503,-0.6626605987548828,179945.09375,soft_hard
51,57,51.17044520378113,1676681490.2926452,19500,97.0,200.0,0.2326408475637436,,,,0.0014557563699781897,0.0004000580811407417,0.0031840000301599503,-0.8213062286376953,188958.609375,soft_hard
52,58,52.468337535858154,1676681491.5905375,19900,,,0.21685998141765592,388.0,248.75,73.6500015258789,0.002207542536780238,0.0005208450020290911,0.0031840000301599503,-0.8165168762207031,196259.296875,soft_hard
53,59,52.86421275138855,1676681491.9864128,20000,97.0,200.0,0.21296395361423492,,,,0.002302250126376748,0.00037199031794443727,0.0031840000301599503,-0.9396343231201172,198100.546875,soft_hard
54,60,54.50265598297119,1676681493.624856,20500,97.0,200.0,0.19328707456588745,,,,0.001712355762720108,0.0007724231109023094,0.0031840000301599503,-1.3784236907958984,207361.4375,soft_hard
55,61,55.84112238883972,1676681494.9633224,20900,,,0.1775062084197998,382.0,248.8095245361328,75.33928680419922,0.0025974828749895096,0.00022224080748856068,0.0031840000301599503,-0.5671710968017578,214846.078125,soft_hard
56,63,57.90391564369202,1676681497.0261157,21500,97.0,200.0,0.1539333015680313,,,,0.019673287868499756,0.0003924879420083016,0.0031840000301599503,-0.9184246063232422,226208.0625,soft_hard
57,64,59.18820929527283,1676681498.3104093,21900,,,0.13815245032310486,377.0,248.86363220214844,77.1647720336914,0.019427688792347908,0.0003637048648670316,0.0031840000301599503,-0.8005561828613281,233872.015625,soft_hard
58,65,59.56152892112732,1676681498.683729,22000,97.0,200.0,0.13425642251968384,,,,0.0021113294642418623,0.0003764710854738951,0.0031840000301599503,-0.8243503570556641,235801.140625,soft_hard
59,66,61.25802397727966,1676681500.380224,22500,97.0,200.0,0.11457953602075575,,,,0.0028200855012983084,0.0003938842855859548,0.0031840000301599503,-0.8585052490234375,245502.625,soft_hard
60,67,62.56645345687866,1676681501.6886537,22900,,,0.09879867732524872,373.0,248.9130401611328,78.80978393554688,0.014658261090517044,0.0008287111413665116,0.0031840000301599503,-1.4025306701660156,253338.078125,soft_hard
61,68,62.98062825202942,1676681502.1028285,23000,97.0,200.0,0.0949026495218277,,,,0.004345917142927647,0.001882568933069706,0.0031840000301599503,-2.1472415924072266,255308.328125,soft_hard
62,70,66.00814032554626,1676681505.1303403,23900,,,0.05944490432739258,368.0,248.9583282470703,80.390625,0.003890546038746834,0.0010568659054115417,0.0031840000301599503,-1.412006378173828,273207.84375,soft_hard
63,71,66.38008832931519,1676681505.5022883,24000,97.0,200.0,0.055548880249261856,,,,0.0026950726751238108,0.00045998929999768734,0.0031840000301599503,-1.1225223541259766,275217.625,soft_hard
64,72,68.06322836875916,1676681507.1854284,24500,97.0,200.0,0.05000000074505806,,,,0.0018069897778332231,0.0007176357903517783,0.0031840000301599503,-1.1172809600830078,285316.875,soft_hard
65,74,69.70822739601135,1676681508.8304274,25000,97.0,200.0,0.05000000074505806,,,,0.001849991618655622,0.0003580565971788019,0.0031840000301599503,-0.8764533996582031,295511.03125,soft_hard
66,75,71.37304449081421,1676681510.4952445,25500,97.0,200.0,0.05000000074505806,,,,0.001557903946377337,0.00029804898076690733,0.0031840000301599503,-0.56719970703125,305879.78125,soft_hard
67,76,72.67683720588684,1676681511.7990372,25900,,,0.05000000074505806,362.0,250.0,86.22000122070312,0.0019693998619914055,0.0007602309342473745,0.0031840000301599503,-1.1094207763671875,314359.53125,soft_hard
68,77,73.11067271232605,1676681512.2328727,26000,97.0,200.0,0.05000000074505806,,,,0.0026287196669727564,0.0012873660307377577,0.0031840000301599503,-1.547323226928711,316515.03125,soft_hard
69,78,74.82457184791565,1676681513.946772,26500,97.0,200.0,0.05000000074505806,,,,0.016526341438293457,0.0006646939436905086,0.0031840000301599503,-1.0331344604492188,327414.53125,soft_hard
70,79,76.11631226539612,1676681515.2385125,26900,,,0.05000000074505806,359.0,250.0,90.61000061035156,0.03156549483537674,0.00028392812237143517,0.0031840000301599503,-0.3958892822265625,336318.53125,soft_hard
71,80,76.47813868522644,1676681515.6003387,27000,97.0,200.0,0.05000000074505806,,,,0.0015553070697933435,0.0007058618357405066,0.0031840000301599503,-1.0794200897216797,338583.78125,soft_hard
72,82,79.46342754364014,1676681518.5856276,27900,,,0.05000000074505806,356.0,250.0,94.12000274658205,0.0023352308198809624,0.000658417004160583,0.0031840000301599503,-1.5173377990722656,359281.03125,soft_hard
73,83,79.82961440086365,1676681518.9518144,28000,97.0,200.0,0.05000000074505806,,,,0.015165344811975956,0.0004995999042876065,0.0031840000301599503,-0.8231468200683594,361634.03125,soft_hard
74,85,82.80964207649231,1676681521.931842,28900,,,0.05000000074505806,354.0,250.0,97.77999877929688,0.020919157192111015,0.0005042708362452686,0.0031840000301599503,-1.0466022491455078,383142.03125,soft_hard
75,87,84.84716057777405,1676681523.9693606,29500,97.0,200.0,0.05000000074505806,,,,0.01623237133026123,0.0002614651748444885,0.0031840000301599503,-0.45760345458984375,397924.03125,soft_hard
76,88,86.2064516544342,1676681525.3286517,29900,,,0.05000000074505806,351.0,250.0,101.9250030517578,0.0019408066291362047,0.00048791407607495785,0.0031840000301599503,-0.9666996002197266,407972.28125,soft_hard
77,89,86.56424808502197,1676681525.686448,30000,97.0,200.0,0.05000000074505806,,,,0.01521276868879795,0.0009128295932896436,0.0031840000301599503,-1.4695148468017578,410520.40625,soft_hard
78,92,89.94990134239197,1676681529.0721014,31000,97.0,200.0,0.05000000074505806,,,,0.0026831086724996567,0.0005837013013660908,0.0031840000301599503,-0.9843864440917968,436355.28125,soft_hard
79,94,92.90669584274292,1676681532.028896,31900,,,0.05000000074505806,347.0,250.0,106.43499755859376,0.0031224247068166733,0.0002620852319523692,0.0031840000301599503,-0.6400871276855469,460077.90625,soft_hard
80,95,93.2722179889679,1676681532.394418,32000,97.0,200.0,0.05000000074505806,,,,0.016366103664040565,0.0006156713934615254,0.0031840000301599503,-1.2441768646240234,462738.78125,soft_hard
81,97,96.27056813240053,1676681535.392768,32900,,,0.05000000074505806,346.0,250.0,107.61000061035156,0.019444556906819344,0.00044326053466647863,0.0031840000301599503,-0.9166011810302734,486791.03125,soft_hard
82,98,96.63084363937378,1676681535.7530437,33000,97.0,200.0,0.05000000074505806,,,,0.0018214748706668615,0.0011046812869608402,0.0031840000301599503,-1.561025619506836,489481.28125,soft_hard
83,101,100.01722025871275,1676681539.1394205,34000,97.0,200.0,0.05000000074505806,,,,0.0014997656689956784,0.0007380043971352279,0.0031840000301599503,-1.1882858276367188,516457.78125,soft_hard
84,102,101.70765042304993,1676681540.8298504,34500,97.0,200.0,0.05000000074505806,,,,0.003957265987992287,8.251470717368647e-05,0.0031840000301599503,-0.30483055114746094,530032.6875,soft_hard
85,103,102.99237895011902,1676681542.114579,34900,,,0.05000000074505806,342.0,250.0,109.81500244140624,0.0013576527126133442,9.798520477488636e-05,0.0031840000301599503,-0.26052093505859375,540967.6875,soft_hard
86,105,105.0802676677704,1676681544.2024677,35500,97.0,200.0,0.05000000074505806,,,,0.01537064928561449,0.0008395363111048937,0.0031840000301599503,-1.2604618072509766,557476.4375,soft_hard
87,107,106.78741669654846,1676681545.9096167,36000,97.0,200.0,0.05000000074505806,,,,0.0193709060549736,0.00024805564316920936,0.0031840000301599503,-0.4522113800048828,571342.0625,soft_hard
88,108,108.47041487693788,1676681547.592615,36500,97.0,200.0,0.05000000074505806,,,,0.015788527205586433,0.00019400208839215336,0.0031840000301599503,-0.48496055603027344,585297.9375,soft_hard
89,109,109.79348349571228,1676681548.9156835,36900,,,0.05000000074505806,339.0,250.0,112.86499786376952,0.0021032881923019886,0.000640435959212482,0.0031840000301599503,-0.9195632934570312,596538.9375,soft_hard
90,110,110.11797213554382,1676681549.240172,37000,97.0,200.0,0.05000000074505806,,,,0.002784459386020899,0.0006474892143160105,0.0031840000301599503,-0.8427886962890625,599360.5625,soft_hard
91,112,113.15980863571168,1676681552.2820086,37900,,,0.05000000074505806,338.0,250.0,114.05500030517578,0.020580951124429703,0.00039156718412414193,0.0031840000301599503,-0.5680522918701172,624898.1875,soft_hard
92,113,113.53207969665527,1676681552.6542797,38000,97.0,200.0,0.05000000074505806,,,,0.002198538277298212,0.0005500306724570692,0.0031840000301599503,-1.162160873413086,627749.5625,soft_hard
93,114,115.19274020195007,1676681554.3149402,38500,97.0,200.0,0.05000000074505806,,,,0.0017105035949498415,0.0008518523536622524,0.0031840000301599503,-1.2638587951660156,642026.4375,soft_hard
94,115,116.5643093585968,1676681555.6865094,38900,,,0.05000000074505806,337.0,250.0,114.66999816894533,0.004366101231426001,0.0013679737458005548,0.0031840000301599503,-1.592329025268555,653471.1875,soft_hard
95,116,116.89615178108215,1676681556.0183518,39000,97.0,200.0,0.05000000074505806,,,,0.0018657537875697017,0.0007854897994548082,0.0031840000301599503,-1.128570556640625,656337.9375,soft_hard
96,118,119.91328144073486,1676681559.0354817,39900,,,0.05000000074505806,336.0,250.0,115.4250030517578,0.0029261813033372164,0.0012267292477190497,0.0031840000301599503,-1.818441390991211,682205.0625,soft_hard
97,119,120.2480127811432,1676681559.3702128,40000,97.0,200.0,0.05000000074505806,,,,0.001592491869814694,0.00013171594764571637,0.0031840000301599503,-0.19066619873046875,685090.6875,soft_hard
98,120,121.94682383537292,1676681561.0690238,40500,97.0,200.0,0.05000000074505806,,,,0.0019491473212838173,2.809305260598194e-05,0.0031840000301599503,-0.13053131103515625,699537.3125,soft_hard
99,121,123.27648711204527,1676681562.3986871,40900,,,0.05000000074505806,335.0,250.0,116.12000274658205,0.0017668175278231502,0.0,0.0031840000301599503,0.0,711127.3125,soft_hard
100,122,123.59958815574646,1676681562.7217882,41000,97.0,200.0,0.05000000074505806,,,,0.001137657673098147,0.0,0.0031840000301599503,0.0,714030.3125,soft_hard
101,123,125.25948309898376,1676681564.381683,41500,97.0,200.0,0.05000000074505806,,,,0.0006849620840512216,1.4774363080505282e-05,0.0031840000301599503,-0.1488189697265625,728558.3125,soft_hard
102,124,126.6258144378662,1676681565.7480145,41900,,,0.05000000074505806,334.0,250.0,116.61000061035156,0.0017691850662231443,6.207540718605742e-05,0.0031840000301599503,-0.2925682067871094,740203.0625,soft_hard
103,126,128.64438939094543,1676681567.7665894,42500,97.0,200.0,0.05000000074505806,,,,0.0005881329416297376,5.660976967192255e-05,0.0031840000301599503,-0.12793350219726562,757708.1875,soft_hard
104,127,129.96003770828247,1676681569.0822375,42900,,,0.05000000074505806,333.0,250.0,117.125,0.0009228282142430544,4.970473582943669e-06,0.0031840000301599503,-0.05038642883300781,769403.4375,soft_hard
105,128,130.28362607955933,1676681569.405826,43000,97.0,200.0,0.05000000074505806,,,,0.0005287948297336698,2.0588918232533615e-06,0.0031840000301599503,-0.051788330078125,772331.5625,soft_hard
106,129,131.97351217269895,1676681571.0957122,43500,97.0,200.0,0.05000000074505806,,,,0.0014155011158436537,0.0,0.0031840000301599503,0.0,786970.9375,soft_hard
107,130,133.2968511581421,1676681572.4190512,43900,,,0.05000000074505806,332.0,250.0,117.1999969482422,0.0012984474888071418,7.0549494921579026e-06,0.0031840000301599503,-0.07032203674316406,798685.4375,soft_hard
108,131,133.6644208431244,1676681572.7866209,44000,97.0,200.0,0.05000000074505806,,,,0.01821184903383255,0.0,0.0031840000301599503,0.0,801615.4375,soft_hard
