,_step,_runtime,_timestamp,global_step,eval/mean_reward,eval/mean_ep_length,rollout/exploration_rate,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/loss,train/clip_loss,train/learning_rate,train/bound_violations,rollout/tot_ep_rew_mean,clip_method
0,0,5.965212345123291,1676684962.0129163,500,0.0,200.0,0.9803624749183656,,,,,,,,,soft_hard
1,1,7.604642868041992,1676684963.6523468,900,,,0.9645816087722778,477.0,225.0,10.375,,,,,,soft_hard
2,4,8.113040447235107,1676684964.1607444,1900,,,0.9252278208732604,791.0,237.5,8.8125,,,,,,soft_hard
3,5,8.270569086074829,1676684964.318273,2000,0.0,200.0,0.921331822872162,,,,,,,,,soft_hard
4,6,8.53739333152771,1676684964.5850973,2500,0.0,200.0,0.9016549587249756,,,,,,,,,soft_hard
5,7,8.64710283279419,1676684964.6948068,2900,,,0.8858740925788879,988.0,241.6666717529297,9.166666984558104,,,,,,soft_hard
6,8,8.808853387832642,1676684964.8565574,3000,0.0,200.0,0.8819780349731445,,,,,,,,,soft_hard
7,9,9.05016589164734,1676684965.09787,3500,0.0,200.0,0.8623011708259583,,,,,,,,,soft_hard
8,10,9.147315740585327,1676684965.1950195,3900,,,0.8465203046798706,1135.0,243.75,13.03125,,,,,,soft_hard
9,11,9.309457063674929,1676684965.357161,4000,0.0,200.0,0.8426242470741272,,,,,,,,,soft_hard
10,12,9.574810028076172,1676684965.622514,4500,0.0,200.0,0.8229473829269409,,,,,,,,,soft_hard
11,13,9.661783218383787,1676684965.7094872,4900,,,0.8071665167808533,1240.0,245.0,15.449999809265137,,,,,,soft_hard
12,14,9.807830095291138,1676684965.855534,5000,0.0,200.0,0.8032705187797546,,,,,,,,,soft_hard
13,16,14.369611263275146,1676684970.4173152,5900,,,0.7678127884864807,681.0,245.8333282470703,20.14583396911621,0.05646858364343643,0.0002305559755768627,0.0031840000301599503,-0.8671011924743652,3772.661376953125,soft_hard
14,18,18.02020382881165,1676684974.0679078,6500,97.0,200.0,0.744239866733551,,,,0.01983228139579296,1.7974742149817757e-05,0.0031840000301599503,-0.0704345703125,7026.4453125,soft_hard
15,19,19.314127683639526,1676684975.3618317,6900,,,0.7284590005874634,507.0,246.42857360839844,28.125,0.005610543768852949,0.00018580777395982295,0.0031840000301599503,-0.5542449951171875,9571.1748046875,soft_hard
16,21,21.68561291694641,1676684977.733317,7500,97.0,200.0,0.7048860788345337,,,,0.009471133351325989,2.6270581656717695e-05,0.0031840000301599503,-0.14748573303222656,13891.224609375,soft_hard
17,22,23.04377508163452,1676684979.091479,7900,,,0.689105212688446,455.0,246.875,33.109375,0.0008267884841188788,8.158807759173214e-05,0.0031840000301599503,-0.3163290023803711,17003.509765625,soft_hard
18,23,23.56084132194519,1676684979.6085453,8000,97.0,200.0,0.6852092146873474,,,,0.015593718737363815,0.00011084401194239037,0.0031840000301599503,-0.4271278381347656,17831.244140625,soft_hard
19,24,25.44894528388977,1676684981.4966493,8500,97.0,200.0,0.6655322909355164,,,,0.001809438457712531,4.6923287300160155e-05,0.0031840000301599503,-0.1999349594116211,22127.521484375,soft_hard
20,25,26.839518308639526,1676684982.8872223,8900,,,0.6497514247894287,421.0,247.22222900390625,37.41666793823242,0.010731808841228483,5.8575889852363616e-05,0.0031840000301599503,-0.2782869338989258,25763.42578125,soft_hard
21,26,27.34304690361023,1676684983.390751,9000,97.0,200.0,0.6458554267883301,,,,0.0003450694202911109,0.00013705395394936204,0.0031840000301599503,-0.4534835815429687,26698.841796875,soft_hard
22,27,29.27625036239624,1676684985.3239543,9500,97.0,200.0,0.6261785626411438,,,,0.00011717370944097638,3.799029582296498e-05,0.0031840000301599503,-0.19749736785888672,31524.671875,soft_hard
23,28,30.697017669677734,1676684986.7447217,9900,,,0.6103976964950562,396.0,247.5,41.95000076293945,0.014230936765670776,9.465721814194694e-05,0.0031840000301599503,-0.4490194320678711,35578.65234375,soft_hard
24,29,31.247588396072388,1676684987.2952924,10000,97.0,200.0,0.6065016388893127,,,,0.00045621205936186016,7.178349915193394e-05,0.0031840000301599503,-0.3698892593383789,36627.40234375,soft_hard
25,30,33.286317110061646,1676684989.334021,10500,97.0,200.0,0.5868247747421265,,,,0.00015489236102439463,3.422175723244436e-05,0.0031840000301599503,-0.16159820556640625,42019.0,soft_hard
26,32,35.306578159332275,1676684991.354282,11000,97.0,200.0,0.5671479105949402,,,,0.00027568245423026383,0.00010680017294362187,0.0031840000301599503,-0.43546009063720703,47646.26171875,soft_hard
27,33,37.36621332168579,1676684993.4139173,11500,97.0,200.0,0.5474709868431091,,,,0.00047940603690221906,5.4044878197601065e-05,0.0031840000301599503,-0.33675670623779297,53518.70703125,soft_hard
28,34,38.89351797103882,1676684994.941222,11900,,,0.5316901206970215,358.0,247.9166717529297,50.27083206176758,0.000635156815405935,3.3740128856152296e-05,0.0031840000301599503,-0.1921548843383789,58401.1875,soft_hard
29,35,39.452621936798096,1676684995.500326,12000,97.0,200.0,0.5277941226959229,,,,0.00024100883456412703,7.799475861247629e-05,0.0031840000301599503,-0.3857412338256836,59657.9609375,soft_hard
30,37,42.99742650985718,1676684999.0451305,12900,,,0.49233636260032654,345.0,248.0769195556641,54.028846740722656,0.0001784467312972993,3.9598337025381625e-05,0.0031840000301599503,-0.179931640625,71356.984375,soft_hard
31,38,43.56952977180481,1676684999.6172338,13000,97.0,200.0,0.4884403347969055,,,,0.0004637234378606081,9.348904859507456e-05,0.0031840000301599503,-0.46596813201904297,72707.7109375,soft_hard
32,39,45.65107274055481,1676685001.6987767,13500,97.0,200.0,0.4687634706497192,,,,0.00032342656049877405,0.00014651811216026545,0.0031840000301599503,-0.5610370635986328,79564.6875,soft_hard
33,40,47.15420317649841,1676685003.2019072,13900,,,0.4529826045036316,335.0,248.2142791748047,57.20535659790039,0.000719302159268409,0.00013923925871495155,0.0031840000301599503,-0.6523809432983398,85196.75,soft_hard
34,42,49.74444627761841,1676685005.7921505,14500,97.0,200.0,0.4294096827507019,,,,0.0005025884602218866,0.00021970337547827512,0.0031840000301599503,-0.7196969985961914,93876.71875,soft_hard
35,44,51.86292481422424,1676685007.9106288,15000,97.0,200.0,0.4097328186035156,,,,0.00030226967646740377,2.31822814384941e-05,0.0031840000301599503,-0.07998943328857422,101320.2578125,soft_hard
36,45,53.97243118286133,1676685010.0201352,15500,97.0,200.0,0.39005592465400696,,,,0.0007021685596555471,6.12993972026743e-05,0.0031840000301599503,-0.3413972854614258,108936.0546875,soft_hard
37,46,55.54355263710022,1676685011.5912566,15900,,,0.3742750585079193,319.0,248.4375,62.7890625,0.000610226474236697,5.734279329772107e-05,0.0031840000301599503,-0.19960308074951172,115142.859375,soft_hard
38,49,59.79323530197144,1676685015.8409393,16900,,,0.33492130041122437,312.0,248.5294189453125,65.06617736816406,0.018424414098262787,9.651332220528276e-05,0.0031840000301599503,-0.5171260833740234,131062.2578125,soft_hard
39,50,60.38446092605591,1676685016.432165,17000,97.0,200.0,0.33102527260780334,,,,0.0004246207536198199,0.00022812954557593912,0.0031840000301599503,-0.8449716567993164,132688.90625,soft_hard
40,52,64.11397862434387,1676685020.1616826,17900,,,0.29556751251220703,306.0,248.61111450195312,67.65277862548828,0.0007741321460343897,2.7252341169514693e-05,0.0031840000301599503,-0.24845504760742188,147580.015625,soft_hard
41,53,64.70038509368896,1676685020.748089,18000,97.0,200.0,0.291671484708786,,,,0.001776008284650743,2.6354300644015893e-05,0.0031840000301599503,-0.2031726837158203,149271.328125,soft_hard
42,54,66.84822607040405,1676685022.89593,18500,97.0,200.0,0.27199462056159973,,,,0.016410989686846733,0.00034619399229995906,0.0031840000301599503,-0.9123315811157228,157803.171875,soft_hard
