,_step,_runtime,_timestamp,global_step,eval/mean_reward,eval/mean_ep_length,rollout/exploration_rate,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/loss,train/clip_loss,train/learning_rate,train/bound_violations,rollout/tot_ep_rew_mean,clip_method
0,0,1.6093974113464355,1676684897.9076824,500,0.0,200.0,0.9803624749183656,,,,,,,,,soft_hard
1,1,2.069507598876953,1676684898.3677926,900,,,0.9645816087722778,1640.0,225.0,11.625,,,,,,soft_hard
2,3,2.2279458045959473,1676684898.5262308,1500,0.0,200.0,0.941008687019348,,,,,,,,,soft_hard
3,4,2.2449727058410645,1676684898.5432577,1900,,,0.9252278208732604,2623.0,237.5,12.875,,,,,,soft_hard
4,5,2.3131093978881836,1676684898.6113944,2000,0.0,200.0,0.921331822872162,,,,,,,,,soft_hard
5,6,2.3979783058166504,1676684898.6962633,2500,0.0,200.0,0.9016549587249756,,,,,,,,,soft_hard
6,7,2.414731979370117,1676684898.713017,2900,,,0.8858740925788879,3243.0,241.6666717529297,13.875,,,,,,soft_hard
7,9,2.5668413639068604,1676684898.8651264,3500,0.0,200.0,0.8623011708259583,,,,,,,,,soft_hard
8,10,2.583763360977173,1676684898.8820484,3900,,,0.8465203046798706,3668.0,243.75,16.875,,,,,,soft_hard
9,11,2.65086030960083,1676684898.9491453,4000,0.0,200.0,0.8426242470741272,,,,,,,,,soft_hard
10,12,2.734368085861206,1676684899.032653,4500,0.0,200.0,0.8229473829269409,,,,,,,,,soft_hard
11,13,2.751220703125,1676684899.0495057,4900,,,0.8071665167808533,3981.0,245.0,15.425000190734863,,,,,,soft_hard
12,14,2.81730580329895,1676684899.1155908,5000,0.0,200.0,0.8032705187797546,,,,,,,,,soft_hard
13,15,3.505739450454712,1676684899.8040245,5500,97.0,200.0,0.7835935950279236,,,,0.06376967579126358,0.0006094201235100627,0.0031840000301599503,-1.5833373069763184,2045.4083251953125,soft_hard
14,16,4.463413715362549,1676684900.7616987,5900,,,0.7678127884864807,2005.0,245.8333282470703,22.5625,0.034558288753032684,0.00030793820042163134,0.0031840000301599503,-0.7941093444824219,3983.995361328125,soft_hard
15,17,4.626997709274292,1676684900.9252827,6000,97.0,200.0,0.7639167308807373,,,,0.03372158855199814,0.0001589691237313673,0.0031840000301599503,-0.41756105422973633,4548.0576171875,soft_hard
16,18,5.3145363330841064,1676684901.612821,6500,97.0,200.0,0.744239866733551,,,,0.017819039523601532,0.0,0.0031840000301599503,0.0,7626.85595703125,soft_hard
17,19,5.842274904251099,1676684902.14056,6900,,,0.7284590005874634,1596.0,246.42857360839844,30.839284896850582,0.01817573420703411,2.635763303260319e-05,0.0031840000301599503,-0.12379932403564452,10454.3134765625,soft_hard
18,21,6.68997049331665,1676684902.9882555,7500,97.0,200.0,0.7048860788345337,,,,0.021976592019200325,9.533015690976754e-05,0.0031840000301599503,-0.2565040588378906,15339.7451171875,soft_hard
19,22,7.214693784713745,1676684903.5129788,7900,,,0.689105212688446,1387.0,246.875,38.875,0.008471528999507427,2.1000634660595097e-05,0.0031840000301599503,-0.0990009307861328,19004.93359375,soft_hard
20,23,7.37857985496521,1676684903.6768649,8000,97.0,200.0,0.6852092146873474,,,,0.02292598597705364,5.0077822379535064e-05,0.0031840000301599503,-0.24628543853759768,19976.80859375,soft_hard
