,_step,_runtime,_timestamp,global_step,eval/mean_reward,eval/mean_ep_length,rollout/exploration_rate,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/loss,train/clip_loss,train/learning_rate,train/bound_violations,rollout/tot_ep_rew_mean,clip_method
0,0,5.988482713699341,1676683156.3542206,500,0.0,200.0,0.9803624749183656,,,,,,,,,soft_hard
1,3,8.087846279144287,1676683158.4535842,1500,0.0,200.0,0.941008687019348,,,,,,,,,soft_hard
2,4,8.185773849487305,1676683158.5515118,1900,,,0.9252278208732604,771.0,237.5,10.625,,,,,,soft_hard
3,5,8.34415316581726,1676683158.709891,2000,0.0,200.0,0.921331822872162,,,,,,,,,soft_hard
4,6,8.591886758804321,1676683158.957625,2500,0.0,200.0,0.9016549587249756,,,,,,,,,soft_hard
5,7,8.685837030410767,1676683159.051575,2900,,,0.8858740925788879,978.0,241.6666717529297,11.791666984558104,,,,,,soft_hard
6,8,8.842010498046875,1676683159.2077484,3000,0.0,200.0,0.8819780349731445,,,,,,,,,soft_hard
7,9,9.086628198623655,1676683159.452366,3500,0.0,200.0,0.8623011708259583,,,,,,,,,soft_hard
8,10,9.182608366012571,1676683159.5483463,3900,,,0.8465203046798706,1127.0,243.75,15.625,,,,,,soft_hard
9,11,9.342568159103394,1676683159.708306,4000,0.0,200.0,0.8426242470741272,,,,,,,,,soft_hard
10,12,9.5920090675354,1676683159.957747,4500,0.0,200.0,0.8229473829269409,,,,,,,,,soft_hard
11,13,9.689841032028198,1676683160.055579,4900,,,0.8071665167808533,1235.0,245.0,16.549999237060547,,,,,,soft_hard
12,15,11.879655599594116,1676683162.2453935,5500,96.5,200.0,0.7835935950279236,,,,0.08033877611160278,0.0020206866320222616,0.0031840000301599503,-3.602972984313965,2063.195556640625,soft_hard
13,17,15.119992017745972,1676683165.48573,6000,96.5,200.0,0.7639167308807373,,,,0.0394427515566349,0.00026216747937723994,0.0031840000301599503,-0.547238826751709,4413.1708984375,soft_hard
14,18,16.896944284439087,1676683167.2626822,6500,97.0,200.0,0.744239866733551,,,,0.028716934844851497,0.0,0.0031840000301599503,0.0,7343.59423828125,soft_hard
15,19,19.62674307823181,1676683169.992481,6900,,,0.7284590005874634,496.0,246.42857360839844,30.178571701049805,0.03459567204117775,1.0728731467679609e-05,0.0031840000301599503,-0.13562965393066406,10084.4775390625,soft_hard
16,21,21.9839129447937,1676683172.3496509,7500,97.0,200.0,0.7048860788345337,,,,0.014681666158139706,7.042032666504383e-05,0.0031840000301599503,-0.28495216369628906,14809.78125,soft_hard
17,22,23.343462705612183,1676683173.7092006,7900,,,0.689105212688446,448.0,246.875,36.0,0.0017744790529832244,0.00013485283125191927,0.0031840000301599503,-0.4882802963256836,18287.49609375,soft_hard
18,24,25.74060606956482,1676683176.106344,8500,97.0,200.0,0.6655322909355164,,,,0.0004370145034044981,0.0001131279714172706,0.0031840000301599503,-0.4711370468139648,23837.373046875,soft_hard
19,25,27.12356114387512,1676683177.489299,8900,,,0.6497514247894287,415.0,247.22222900390625,40.63888931274414,0.0003438101848587394,2.8359383577480912e-05,0.0031840000301599503,-0.17510604858398438,27794.033203125,soft_hard
20,26,27.63147234916687,1676683177.9972105,9000,97.0,200.0,0.6458554267883301,,,,0.0005556453252211213,0.0001525839907117188,0.0031840000301599503,-0.5961227416992188,28810.005859375,soft_hard
21,27,29.51884889602661,1676683179.8845868,9500,97.0,200.0,0.6261785626411438,,,,0.010093066841363909,1.810453977668658e-05,0.0031840000301599503,-0.12912940979003906,33991.0625,soft_hard
22,28,30.991484880447388,1676683181.3572228,9900,,,0.6103976964950562,391.0,247.5,44.25,0.014651835896074772,7.044277299428359e-05,0.0031840000301599503,-0.3576030731201172,38276.72265625,soft_hard
23,29,31.534040689468384,1676683181.8997786,10000,97.0,200.0,0.6065016388893127,,,,0.00036295107565820217,0.00011648669897112995,0.0031840000301599503,-0.4851951599121094,39382.97265625,soft_hard
