,_step,_runtime,_timestamp,global_step,eval/mean_reward,eval/mean_ep_length,rollout/exploration_rate,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/loss,train/clip_loss,train/learning_rate,train/bound_violations,rollout/tot_ep_rew_mean,clip_method
0,0,3.957768440246582,1676681378.3222764,500,0.0,200.0,0.9803624749183656,,,,,,,,,soft_hard
1,1,4.856350660324097,1676681379.2208586,900,,,0.9645816087722778,892.0,225.0,10.125,,,,,,soft_hard
2,2,4.934532165527344,1676681379.29904,1000,0.0,200.0,0.9606856107711792,,,,,,,,,soft_hard
3,3,5.042016267776489,1676681379.4065242,1500,0.0,200.0,0.941008687019348,,,,,,,,,soft_hard
4,4,5.074862957000732,1676681379.4393709,1900,,,0.9252278208732604,1548.0,237.5,17.3125,,,,,,soft_hard
5,5,5.147722005844116,1676681379.51223,2000,0.0,200.0,0.921331822872162,,,,,,,,,soft_hard
6,7,5.282373666763306,1676681379.6468816,2900,,,0.8858740925788879,2021.0,241.6666717529297,18.375,,,,,,soft_hard
7,9,5.458620309829712,1676681379.8231282,3500,0.0,200.0,0.8623011708259583,,,,,,,,,soft_hard
8,10,5.491693735122681,1676681379.8562016,3900,,,0.8465203046798706,2371.0,243.75,16.8125,,,,,,soft_hard
9,11,5.56418251991272,1676681379.9286904,4000,0.0,200.0,0.8426242470741272,,,,,,,,,soft_hard
10,12,5.66701865196228,1676681380.0315266,4500,0.0,200.0,0.8229473829269409,,,,,,,,,soft_hard
11,13,5.699989557266235,1676681380.0644977,4900,,,0.8071665167808533,2645.0,245.0,15.100000381469728,,,,,,soft_hard
12,14,5.773547410964966,1676681380.138055,5000,0.0,200.0,0.8032705187797546,,,,,,,,,soft_hard
13,15,6.41027307510376,1676681380.774781,5500,96.5,200.0,0.7835935950279236,,,,0.0609283521771431,0.0010983806569129229,0.0031840000301599503,-2.4513206481933594,1849.3155517578125,soft_hard
14,16,7.678651571273804,1676681382.0431595,5900,,,0.7678127884864807,1540.0,245.8333282470703,18.27083396911621,0.033356960862874985,8.732589049031958e-05,0.0031840000301599503,-0.3777732849121094,3497.33935546875,soft_hard
15,17,7.876082420349121,1676681382.2405903,6000,96.0,200.0,0.7639167308807373,,,,0.047759827226400375,0.0005127352778799832,0.0031840000301599503,-1.201190948486328,3954.110107421875,soft_hard
16,18,8.561682224273682,1676681382.92619,6500,97.0,200.0,0.744239866733551,,,,0.016471251845359802,1.688255179033149e-05,0.0031840000301599503,-0.06826114654541016,6518.748046875,soft_hard
17,19,9.873910427093506,1676681384.2384183,6900,,,0.7284590005874634,1145.0,246.42857360839844,28.071428298950195,0.0016832707915455103,1.7884804037748836e-05,0.0031840000301599503,-0.07025814056396484,8996.34765625,soft_hard
18,20,10.056017398834229,1676681384.4205253,7000,97.0,200.0,0.72456294298172,,,,0.003285470884293318,8.922753295337316e-06,0.0031840000301599503,-0.049625396728515625,9698.1337890625,soft_hard
19,21,10.680810928344728,1676681385.0453188,7500,97.0,200.0,0.7048860788345337,,,,0.0006099662277847528,1.7799453416955657e-05,0.0031840000301599503,-0.07009029388427734,13383.9033203125,soft_hard
20,22,11.130738973617554,1676681385.495247,7900,,,0.689105212688446,1084.0,246.875,33.375,0.00019113784946966916,6.059498991817236e-05,0.0031840000301599503,-0.2508516311645508,16585.7578125,soft_hard
21,23,11.321681261062622,1676681385.6861892,8000,97.0,200.0,0.6852092146873474,,,,0.0002553198137320578,4.254661325830966e-05,0.0031840000301599503,-0.2262058258056641,17420.1328125,soft_hard
22,24,11.958203554153442,1676681386.3227117,8500,97.0,200.0,0.6655322909355164,,,,0.00021067944180686027,0.00012197738396935164,0.0031840000301599503,-0.4658374786376953,21675.982421875,soft_hard
23,25,12.423604249954224,1676681386.7881122,8900,,,0.6497514247894287,1037.0,247.22222900390625,38.05555725097656,0.018002497032284737,5.669243182637729e-05,0.0031840000301599503,-0.2882089614868164,25292.453125,soft_hard
24,26,12.60873818397522,1676681386.973246,9000,97.0,200.0,0.6458554267883301,,,,0.0003131439152639359,9.66071183938766e-06,0.0031840000301599503,-0.07155227661132812,26243.841796875,soft_hard
25,28,13.741226196289062,1676681388.105734,9900,,,0.6103976964950562,1000.0,247.5,42.76250076293945,0.00014546216698363423,5.041394251747988e-05,0.0031840000301599503,-0.302734375,35261.8046875,soft_hard
26,29,13.925662755966188,1676681388.290171,10000,97.0,200.0,0.6065016388893127,,,,0.01801096647977829,0.00011900701792910696,0.0031840000301599503,-0.5923042297363281,36330.8671875,soft_hard
27,33,15.960735082626345,1676681390.325243,11500,97.0,200.0,0.5474709868431091,,,,0.0002617571735754609,9.142190538113935e-05,0.0031840000301599503,-0.41257572174072266,53504.6796875,soft_hard
28,34,16.439542531967163,1676681390.8040504,11900,,,0.5316901206970215,945.0,247.9166717529297,50.38541793823242,0.0004425848019309342,0.00012889402569271624,0.0031840000301599503,-0.5276288986206055,58458.84375,soft_hard
29,35,16.638216495513916,1676681391.0027244,12000,97.0,200.0,0.5277941226959229,,,,0.014991135336458685,5.301351848174818e-05,0.0031840000301599503,-0.2849102020263672,59718.48046875,soft_hard
30,38,17.99897599220276,1676681392.363484,13000,97.0,200.0,0.4884403347969055,,,,0.0005890318425372243,5.994295861455612e-05,0.0031840000301599503,-0.27750205993652344,72725.9375,soft_hard
31,39,18.682557106018063,1676681393.047065,13500,97.0,200.0,0.4687634706497192,,,,0.0007666173041798174,8.007446740521118e-05,0.0031840000301599503,-0.2898273468017578,79561.75,soft_hard
32,40,19.246548891067505,1676681393.6110568,13900,,,0.4529826045036316,902.0,248.2142791748047,57.35714340209961,0.000561172200832516,0.00010259324335493147,0.0031840000301599503,-0.4741029739379883,85181.890625,soft_hard
33,41,19.43595314025879,1676681393.800461,14000,97.0,200.0,0.44908657670021057,,,,0.0004922882653772831,0.00014850875595584512,0.0031840000301599503,-0.5184850692749023,86615.8125,soft_hard
34,42,20.131879091262817,1676681394.496387,14500,97.0,200.0,0.4294096827507019,,,,0.0007024466758593917,0.0003007370396517217,0.0031840000301599503,-1.0889911651611328,93879.1484375,soft_hard
