,_step,_runtime,_timestamp,global_step,eval/mean_reward,eval/mean_ep_length,rollout/exploration_rate,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/loss,train/clip_loss,train/learning_rate,train/bound_violations,rollout/tot_ep_rew_mean,clip_method
0,0,3.943857431411743,1676681378.3083684,500,0.0,200.0,0.9803624749183656,,,,,,,,,soft_hard
1,1,4.855881690979004,1676681379.2203927,900,,,0.9645816087722778,874.0,225.0,11.25,,,,,,soft_hard
2,2,4.940559387207031,1676681379.3050704,1000,0.0,200.0,0.9606856107711792,,,,,,,,,soft_hard
3,3,5.050062656402588,1676681379.4145737,1500,0.0,200.0,0.941008687019348,,,,,,,,,soft_hard
4,4,5.082653045654297,1676681379.447164,1900,,,0.9252278208732604,1512.0,237.5,15.9375,,,,,,soft_hard
5,5,5.156818151473999,1676681379.5213292,2000,0.0,200.0,0.921331822872162,,,,,,,,,soft_hard
6,6,5.260113954544067,1676681379.624625,2500,0.0,200.0,0.9016549587249756,,,,,,,,,soft_hard
7,8,5.367130994796753,1676681379.731642,3000,0.0,200.0,0.8819780349731445,,,,,,,,,soft_hard
8,9,5.469781875610352,1676681379.834293,3500,0.0,200.0,0.8623011708259583,,,,,,,,,soft_hard
9,10,5.502207517623901,1676681379.8667183,3900,,,0.8465203046798706,2327.0,243.75,13.21875,,,,,,soft_hard
10,11,5.575920820236206,1676681379.9404318,4000,0.0,200.0,0.8426242470741272,,,,,,,,,soft_hard
11,12,5.678086757659912,1676681380.0425978,4500,0.0,200.0,0.8229473829269409,,,,,,,,,soft_hard
12,13,5.7107908725738525,1676681380.075302,4900,,,0.8071665167808533,2600.0,245.0,15.899999618530272,,,,,,soft_hard
13,14,5.786877155303955,1676681380.1513882,5000,0.0,200.0,0.8032705187797546,,,,,,,,,soft_hard
14,15,6.426300048828125,1676681380.790811,5500,0.0,200.0,0.7835935950279236,,,,0.09090709686279295,9.523991320747882e-05,0.0031840000301599503,-0.6303606033325195,1911.67578125,soft_hard
15,16,6.874189853668213,1676681381.2387009,5900,,,0.7678127884864807,1936.0,245.8333282470703,19.02083396911621,0.05476623773574829,0.0004150709428358823,0.0031840000301599503,-1.4281492233276367,3514.14599609375,soft_hard
16,17,7.1266913414001465,1676681381.4912024,6000,97.0,200.0,0.7639167308807373,,,,0.06184903159737587,0.0005780266947112978,0.0031840000301599503,-1.902099609375,3989.6669921875,soft_hard
