,_step,_runtime,_timestamp,global_step,eval/mean_reward,eval/mean_ep_length,rollout/exploration_rate,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/loss,train/clip_loss,train/learning_rate,train/bound_violations,rollout/tot_ep_rew_mean,clip_method
0,0,1.6323614120483398,1676685183.9902954,500,0.0,200.0,0.9803624749183656,,,,,,,,,soft_hard
1,1,2.049021005630493,1676685184.406955,900,,,0.9645816087722778,1787.0,225.0,17.25,,,,,,soft_hard
2,2,2.119470596313477,1676685184.4774046,1000,0.0,200.0,0.9606856107711792,,,,,,,,,soft_hard
3,3,2.2052721977233887,1676685184.5632062,1500,0.0,200.0,0.941008687019348,,,,,,,,,soft_hard
4,4,2.2217671871185303,1676685184.5797012,1900,,,0.9252278208732604,2808.0,237.5,16.0,,,,,,soft_hard
5,5,2.2872474193573,1676685184.6451814,2000,0.0,200.0,0.921331822872162,,,,,,,,,soft_hard
6,6,2.3683269023895264,1676685184.726261,2500,0.0,200.0,0.9016549587249756,,,,,,,,,soft_hard
7,8,2.451719045639038,1676685184.809653,3000,0.0,200.0,0.8819780349731445,,,,,,,,,soft_hard
8,9,2.534252643585205,1676685184.8921866,3500,0.0,200.0,0.8623011708259583,,,,,,,,,soft_hard
9,11,2.617893695831299,1676685184.9758277,4000,0.0,200.0,0.8426242470741272,,,,,,,,,soft_hard
10,12,2.7006185054779053,1676685185.0585525,4500,0.0,200.0,0.8229473829269409,,,,,,,,,soft_hard
11,13,2.7173192501068115,1676685185.0752532,4900,,,0.8071665167808533,4180.0,245.0,18.024999618530273,,,,,,soft_hard
12,14,2.783881664276123,1676685185.1418157,5000,0.0,200.0,0.8032705187797546,,,,,,,,,soft_hard
13,15,3.4875450134277344,1676685185.845479,5500,0.0,200.0,0.7835935950279236,,,,0.0798664391040802,8.659197192173451e-05,0.0031840000301599503,-0.4080400466918946,2249.837646484375,soft_hard
14,16,4.030184745788574,1676685186.3881187,5900,,,0.7678127884864807,2374.0,245.8333282470703,22.9375,0.05952975153923035,0.0003186027461197227,0.0031840000301599503,-1.1758041381835938,4286.89306640625,soft_hard
15,17,4.198243618011475,1676685186.5561776,6000,97.0,200.0,0.7639167308807373,,,,0.06072831153869629,4.611264739651233e-05,0.0031840000301599503,-0.34273529052734375,4860.33056640625,soft_hard
16,18,5.38045072555542,1676685187.7383847,6500,97.0,200.0,0.744239866733551,,,,0.02448476292192936,1.7704947822494432e-05,0.0031840000301599503,-0.10794830322265624,7978.0517578125,soft_hard
17,19,5.920196771621704,1676685188.2781308,6900,,,0.7284590005874634,1577.0,246.42857360839844,29.696428298950195,0.020450282841920853,0.0001974604383576661,0.0031840000301599503,-0.43331050872802734,10771.8544921875,soft_hard
18,20,6.088562250137329,1676685188.4464962,7000,97.0,200.0,0.72456294298172,,,,0.02270510420203209,2.760074676189106e-05,0.0031840000301599503,-0.16137313842773438,11514.265625,soft_hard
19,21,6.791889905929565,1676685189.149824,7500,97.0,200.0,0.7048860788345337,,,,0.0032333689741790295,2.6718140361481343e-05,0.0031840000301599503,-0.16182994842529297,15451.6015625,soft_hard
20,22,7.352210998535156,1676685189.710145,7900,,,0.689105212688446,1360.0,246.875,35.796875,0.001965811476111412,3.8417638279497623e-05,0.0031840000301599503,-0.2224750518798828,18862.220703125,soft_hard
21,23,7.51760196685791,1676685189.875536,8000,97.0,200.0,0.6852092146873474,,,,0.0017672533867880702,0.00011338863259879872,0.0031840000301599503,-0.5686845779418945,19757.142578125,soft_hard
22,25,8.757791519165039,1676685191.1157255,8900,,,0.6497514247894287,1233.0,247.22222900390625,40.83333206176758,0.00024806198780424893,2.0664216208388098e-05,0.0031840000301599503,-0.10429096221923828,28346.59765625,soft_hard
