,_step,_runtime,time/fps,_timestamp,global_step,rollout/ep_len_mean,rollout/ep_rew_mean,rollout/exploration_rate,eval/mean_reward,eval/mean_ep_length,train/loss,train/clip_loss,train/learning_rate,train/bound_violations,rollout/tot_ep_rew_mean,clip_method
0,1,2.0819098949432373,1692.0,1676691495.5843809,900,225.0,10.375,0.9645816087722778,,,,,,,,soft_hard
1,2,2.153480291366577,,1676691495.6559513,1000,,,0.9606856107711792,0.0,200.0,,,,,,soft_hard
2,3,2.230334520339966,,1676691495.7328055,1500,,,0.941008687019348,0.0,200.0,,,,,,soft_hard
3,5,2.316003799438477,,1676691495.8184748,2000,,,0.921331822872162,0.0,200.0,,,,,,soft_hard
4,6,2.3995885848999023,,1676691495.9020596,2500,,,0.9016549587249756,0.0,200.0,,,,,,soft_hard
5,7,2.4166104793548584,3346.0,1676691495.9190814,2900,241.6666717529297,9.708333015441896,0.8858740925788879,,,,,,,,soft_hard
6,8,2.484135150909424,,1676691495.986606,3000,,,0.8819780349731445,0.0,200.0,,,,,,soft_hard
7,9,2.5674545764923096,,1676691496.0699255,3500,,,0.8623011708259583,0.0,200.0,,,,,,soft_hard
8,10,2.5846168994903564,3769.0,1676691496.087088,3900,243.75,9.25,0.8465203046798706,,,,,,,,soft_hard
9,11,2.6520960330963135,,1676691496.154567,4000,,,0.8426242470741272,0.0,200.0,,,,,,soft_hard
10,13,2.7524428367614746,4074.0,1676691496.2549138,4900,245.0,10.725000381469728,0.8071665167808533,,,,,,,,soft_hard
11,14,2.8206398487091064,,1676691496.3231108,5000,,,0.8032705187797546,0.0,200.0,,,,,,soft_hard
12,15,3.5263004302978516,,1676691497.0287714,5500,,,0.7835935950279236,0.0,200.0,0.06987742334604263,0.00044683172018267214,0.0031840000301599503,-0.740363597869873,1367.2457275390625,soft_hard
13,16,4.071442604064941,2339.0,1676691497.5739136,5900,245.8333282470703,16.39583396911621,0.7678127884864807,,,0.06388550251722336,0.0011313784634694457,0.0031840000301599503,-0.9658231735229492,2712.799072265625,soft_hard
14,17,4.240975618362427,,1676691497.7434466,6000,,,0.7639167308807373,96.5,200.0,0.034272052347660065,0.0006265820702537894,0.0031840000301599503,-0.7913012504577637,3122.695068359375,soft_hard
