,_step,_runtime,_timestamp,global_step,eval/mean_reward,eval/mean_ep_length,rollout/exploration_rate,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/loss,train/clip_loss,train/learning_rate,train/bound_violations,rollout/tot_ep_rew_mean,clip_method
0,0,0.4588799476623535,1676683393.333848,500,0.0,200.0,0.9803624749183656,,,,,,,,,soft_hard
1,1,0.94568133354187,1676683393.8206494,900,,,0.9645816087722778,1521.0,225.0,11.375,,,,,,soft_hard
2,2,1.0196022987365725,1676683393.8945704,1000,0.0,200.0,0.9606856107711792,,,,,,,,,soft_hard
3,3,1.1102638244628906,1676683393.985232,1500,0.0,200.0,0.941008687019348,,,,,,,,,soft_hard
4,4,1.1287615299224854,1676683394.0037296,1900,,,0.9252278208732604,2452.0,237.5,8.625,,,,,,soft_hard
5,5,1.2017996311187744,1676683394.0767677,2000,0.0,200.0,0.921331822872162,,,,,,,,,soft_hard
6,6,1.3076958656311035,1676683394.182664,2500,0.0,200.0,0.9016549587249756,,,,,,,,,soft_hard
7,8,1.399031639099121,1676683394.2739997,3000,0.0,200.0,0.8819780349731445,,,,,,,,,soft_hard
8,9,1.4892044067382812,1676683394.3641725,3500,0.0,200.0,0.8623011708259583,,,,,,,,,soft_hard
9,10,1.5069289207458496,1676683394.381897,3900,,,0.8465203046798706,3382.0,243.75,11.25,,,,,,soft_hard
10,12,1.66333270072937,1676683394.5383008,4500,0.0,200.0,0.8229473829269409,,,,,,,,,soft_hard
11,13,1.6813015937805176,1676683394.5562696,4900,,,0.8071665167808533,3691.0,245.0,13.399999618530272,,,,,,soft_hard
12,14,1.7552428245544434,1676683394.6302109,5000,0.0,200.0,0.8032705187797546,,,,,,,,,soft_hard
13,16,3.178416967391968,1676683396.053385,5900,,,0.7678127884864807,2089.0,245.8333282470703,15.4375,0.061343420296907425,0.0012313362676650286,0.0031840000301599503,-2.599956512451172,3010.802001953125,soft_hard
14,17,3.4012980461120605,1676683396.276266,6000,97.0,200.0,0.7639167308807373,,,,0.038597170263528824,0.0006525017670355737,0.0031840000301599503,-2.616418838500977,3396.739501953125,soft_hard
15,19,5.234590530395508,1676683398.1095586,6900,,,0.7284590005874634,1413.0,246.42857360839844,22.48214340209961,0.013160373084247112,0.0003226914268452674,0.0031840000301599503,-0.8436813354492188,7538.0517578125,soft_hard
16,22,6.79371452331543,1676683399.6686826,7900,,,0.689105212688446,1226.0,246.875,29.265625,0.011839342303574084,7.622500561410561e-05,0.0031840000301599503,-0.22310256958007812,13728.0361328125,soft_hard
17,24,7.748682737350464,1676683400.6236508,8500,97.0,200.0,0.6655322909355164,,,,0.016941459849476814,0.0004553115868475288,0.0031840000301599503,-0.8460350036621094,18312.875,soft_hard
18,25,8.379204034805298,1676683401.254172,8900,,,0.6497514247894287,1109.0,247.22222900390625,35.83333206176758,0.006414961535483599,0.0005057499511167407,0.0031840000301599503,-0.8945827484130859,21694.74609375,soft_hard
19,26,8.558555126190186,1676683401.4335232,9000,97.0,200.0,0.6458554267883301,,,,0.00831987988203764,0.0006251593586057425,0.0031840000301599503,-0.9212398529052734,22590.578125,soft_hard
20,27,9.318668127059937,1676683402.1936362,9500,97.0,200.0,0.6261785626411438,,,,0.0028413226827979088,0.00015619496116414666,0.0031840000301599503,-0.2770576477050781,27205.51171875,soft_hard
21,28,10.002920627593994,1676683402.877889,9900,,,0.6103976964950562,1026.0,247.5,40.462501525878906,0.0020494319032877684,0.0004094642063137144,0.0031840000301599503,-0.7664222717285156,31101.109375,soft_hard
22,30,11.686205863952637,1676683404.561174,10500,97.0,200.0,0.5868247747421265,,,,0.0011241434840485454,0.0002872322511393577,0.0031840000301599503,-0.6063442230224609,37294.5078125,soft_hard
23,31,13.007197380065918,1676683405.8821654,10900,,,0.5710439085960388,861.0,247.7272796630859,44.897727966308594,0.004877723753452301,0.00017416193441022187,0.0031840000301599503,-0.4682331085205078,41638.359375,soft_hard
24,32,13.344761371612549,1676683406.2197294,11000,97.0,200.0,0.5671479105949402,,,,0.0012824616860598326,0.0004385851789265871,0.0031840000301599503,-0.7644119262695312,42760.8046875,soft_hard
25,33,15.136326551437378,1676683408.0112946,11500,97.0,200.0,0.5474709868431091,,,,0.01454611774533987,0.0005636712303385139,0.0031840000301599503,-1.1732063293457031,48499.046875,soft_hard
26,34,16.521378993988037,1676683409.396347,11900,,,0.5316901206970215,736.0,247.9166717529297,48.75,0.001083887880668044,0.000476979766972363,0.0031840000301599503,-0.8571701049804688,53261.234375,soft_hard
27,35,16.848284006118774,1676683409.723252,12000,97.0,200.0,0.5277941226959229,,,,0.0022453998681157827,0.00029013754101470113,0.0031840000301599503,-0.5152721405029297,54479.984375,soft_hard
28,36,18.5031213760376,1676683411.3780894,12500,97.0,200.0,0.5081172585487366,,,,0.0018077566055580976,0.0002187703212257475,0.0031840000301599503,-0.5858707427978516,60671.8515625,soft_hard
29,37,19.894097089767456,1676683412.7690651,12900,,,0.49233636260032654,660.0,248.0769195556641,52.46154022216797,0.0014671054668724537,0.0006633674493059516,0.0031840000301599503,-1.2690982818603516,65782.0859375,soft_hard
30,38,20.22210717201233,1676683413.0970752,13000,97.0,200.0,0.4884403347969055,,,,0.001810348010621965,0.0011223003966733811,0.0031840000301599503,-1.6625938415527344,67093.625,soft_hard
31,39,21.90377187728882,1676683414.77874,13500,97.0,200.0,0.4687634706497192,,,,0.001920147449709475,0.00031244734418578446,0.0031840000301599503,-0.7300014495849609,73757.3984375,soft_hard
32,40,23.244180917739868,1676683416.119149,13900,,,0.4529826045036316,607.0,248.2142791748047,55.57143020629883,0.0023901849053800106,0.0005140890134498477,0.0031840000301599503,-0.9459266662597656,79235.3359375,soft_hard
33,41,23.605428218841553,1676683416.4803965,14000,97.0,200.0,0.44908657670021057,,,,0.0010386431822553277,0.0004399261379148811,0.0031840000301599503,-0.8348159790039062,80624.6171875,soft_hard
34,42,25.27802872657776,1676683418.1529968,14500,97.0,200.0,0.4294096827507019,,,,0.0010302744340151548,0.0002081485145026818,0.0031840000301599503,-0.5667648315429688,87658.2265625,soft_hard
35,44,26.99453639984131,1676683419.8695045,15000,97.0,200.0,0.4097328186035156,,,,0.0009788109455257654,0.0005055044894106686,0.0031840000301599503,-0.9301891326904296,94871.6328125,soft_hard
36,45,28.71068739891052,1676683421.5856557,15500,97.0,200.0,0.39005592465400696,,,,0.014790554530918598,0.0004294159880373627,0.0031840000301599503,-0.7547283172607422,102246.28125,soft_hard
37,47,30.401031970977783,1676683423.276,16000,97.0,200.0,0.3703790307044983,,,,0.0018960676388815043,0.0003971198748331517,0.0031840000301599503,-0.8263072967529297,109795.0,soft_hard
38,49,33.443158864974976,1676683426.318127,16900,,,0.33492130041122437,510.0,248.5294189453125,63.31617736816406,0.0027875369414687157,0.0015505014453083277,0.0031840000301599503,-2.1279163360595703,123753.3046875,soft_hard
39,50,33.85175108909607,1676683426.7267191,17000,97.0,200.0,0.33102527260780334,,,,0.0017949050525203347,0.0007224477594718337,0.0031840000301599503,-1.1926345825195312,125336.2109375,soft_hard
40,52,36.895063400268555,1676683429.7700317,17900,,,0.29556751251220703,489.0,248.61111450195312,65.76388549804688,0.0015293627511709929,0.0003395844832994044,0.0031840000301599503,-0.7272739410400391,139833.21875,soft_hard
41,55,40.300477027893066,1676683433.175445,18900,,,0.2562137544155121,473.0,248.6842041015625,67.99342346191406,0.009155278094112871,0.0004670244816225022,0.0031840000301599503,-0.9799480438232422,156501.078125,soft_hard
42,56,40.6279194355011,1676683433.5028875,19000,97.0,200.0,0.25231772661209106,,,,0.019459856674075127,0.0007290251087397337,0.0031840000301599503,-1.2898063659667969,158200.90625,soft_hard
